author,genre (manual),genre (automatic),URI (PRI),December 2019 Isnad %,April 2020 Isnad %,isnads tagged?,In mARkdown/completed,In auto-tags folder or reviewed tags folder,In human tags,Post-April Priority,Free running comment
0390Muqaddasi.AhsanTaqasim,Geography,,Shamela0023696,1.68,0.93%,Y,Y,Y,,,
0403IbnFaradi.TarikhCulamaAndalus,,,JK001462,14.35,3.68%,Y,Y,Y,,,Why sharp drop?
0405HakimNaysaburi.TalkhisTarikhNaysabur,History,,Shamela0004017,40.78,0.31%,Y,Y,Y,,,Started only; short work 29K words
0412Sulami.TabaqatSufiya,biography,,Shamela0006686,15.93,,,Y,Y,,,
0421Miskawayh.Tajarib,,,SHAMELA0012396,,0.20%,N,Y,,,,
0427HamzaJurjani.TarikhJurjan,History,,Shamela0011077,35.64,26.43%,,Y,Y,,,
0429AbuMansurThacalibi.ThimarQulub,,,SHAMELA0006896,,,N,Y ,,,,
0430AbuNucaymIsbahani.ArbacunaCalaMadhhabMutahaqqiqinMinSufiyya,,,Shamela0008246,,49.56%,Y,N,Y,,,
0458Bayhaqi.ArbacunaSughra,,,JK000733,,47.87%,Y,N,Y,,,
0458Bayhaqi.DalailNubuwwa,,,JK006838,27.11,27.15%,Y,Y,Y,,,Needs more lines (only starting lines)
0460ShaykhTusi.IkhtiyarMacrifaRijal,,,SHIA002932VOLS,,,N,Y,,,,
0463IbnCabdBarr.IsticabFiMacrifaAshab,,,JK000778,11.54,7.30%,,Y,Y,,,
0463KhatibBaghdadi.TarikhBaghdad,History,,Shamela0023764,39.32,27.67%,Y,Y,Y,,,
0494IbnCaliMawsili.ArbacunaWacdaniyya,,,Shamela0012882,,37.28%,Y,N,Y,,,
0510IbnMascudBaghawi.Tafsir,,,SHAMELA0000041,,,N,Y,,,,
0521IbnMuhammadBatalyawsi.MushkilatMuwatta,,,needs to be chosen,,,N,,,,,
0526IbnAbiYacla.TabaqatHanabila,biography,,JK000213,14.07,,,Y,Y,,,
0548IbnCabdKarimShahrastani.MilalWaNihal,,,SHAMELA0011812,,,N,Y,,,,
0561Samcani.Ansab,Genealogy,,Shamela0012317,18.46,,,Y,Y,,,
0565IbnZaydBayhaqi.TarikhBayhaq,History,,Shamela0011758,16.45,4.73%,Y,Y,Y,,,In a single section of 2K lines
0571IbnCasakir.ArbacunaBuldaniyya,,,JK010919,,43.67%,Y,N,Y,,,
0571IbnCasakir.ArbacunaFiHathth,,,JK000616,,40.84%,Y,N,Y,,,
0571IbnCasakir.TarikhDimashq,History,,JK000916,43.88%,41.27%,Y,Y,Y,,,
0595IbnCabdQadirBaghdadiJilani.ArbacunaJilaniyya,,,Shamela0006439,,63.43%,Y,N,Y,,,
0597IbnJawzi.Muntazam,,,Shamela0012406,14.4,,,Y,Y,,,
0600IbnCumarShaficiNaysaburi.ArbacunaMinMasanid,,,Shamela0009376,,41.95%,Y,N,Y,,,
0626YaqutHamawi.MucjamBuldan,Geography,,Shamela0023735,6.8,1.46%,Y,Y,Y,,,started only
0626YaqutHamawi.MucjamUdaba,biography,,Shamela0009788,8.84,2.40%,Y,Y,Y,,,started only
0630IbnAthirCizzDin.Kamil,History,,JK000911,1.99,,,Y,Y,,,
0630IbnAthirCizzDin.UsdGhaba,,, SHAMELA0023700,,,N,Y,,,,
0660IbnCadim.ZubdaHalab,,,SHAMELA0009872,,,N,Y,,,,
0681IbnKhallikan.WafayatAcyan,,,Shamela0001000,4.15,0.48%,,Y,Y,,,
0711IbnManzurIfriqi.MukhtasarTarikhDimashq,History,,Shamela0003118,5.27,1.70%,,Y,Y,,,
0728IbnTaymiyya.ArbacunaTaymiyya,,,Shamela0009370,,78.03%,Y,N,Y,,,
0733Nuwayri.NihayaArab,,,Shamela0010283,2.75,,,N,Y,,,
0742Mizzi.TahdhibKamal,,,Shamela0003722,22.39,12.86%,Y,Y,Y,,,Needs more lines 
0748Dhahabi.SiyarCalamNubala,,,SHAMELA0010906,,,N,Y,,,,
0748Dhahabi.TarikhIslam,History,,Shamela0035100,14.31,,,Y,Y,,,
0764Safadi.WafiBiWafayat,,,JK003609,9.68,,,Y,Y,,,
0771Subki.TabaqatShaficiyaKubra,biography,,JK000914,10.8,,,Y,Y,,,
0774IbnKathir.Bidaya,History,,Shamela0004445,8.55,,,N,Y,,,
0774IbnKathir.TafsirQuran,Tafsir,,Shamela0023604,"9.30%
",,,N,Y,,,
0806IbnHusaynZaynDinCiraqi.ArbacunaCushariyya,,,JK000663,,51.44%,Y,N,Y,,,
0845Maqrizi.Suluk,,, SHAMELA0006667,,,N,Y,,,,
0874IbnTaghribirdi.NujumZahira,,,JK001330,6.27,0.66%,,Y,Y,,,
0902Sakhawi.Buldaniyyat,,, JK007062,,,N,Y,,,,
0909IbnMibradHanbali.ArbacunaMinHadithAbiHanifa,,,Shamela0008827,,63.71%,Y,N,Y,,,
0909IbnMibradHanbali.ArbacunaMusalsala,,,Shamela0010469,,79.02%,Y,N,Y,,,
