begin	begin2	end	end2	gid	gid2	id	id2	matches	s1	s2	seq	seq2	uid	uid2	bw1	ew1	bw2	ew2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
404	867	524	992	-5211760143430319471	-812960164341536448	Shia001131Vols-ara1.completed.ms019	Shamela0002864-ara1.ms0375	88	ن-ا-- -عند ذل---ك قول ----رسول الله صلع -ل--تسلكن -سبل -الامم ---ممن كان قبلكم حذو النعل بالنعل و-القذة بالقذة حتي لو دخلوا جحر ضب لدخلتموه	ن ابي سعيد الخدري قال قال رسول الله صلي الله عليه وسلم لتتبعن سنن من كان قبلكم حذ---------------و القذة بالقذة حتي لو دخلوا جحر ضب لدخلتموه	19	375	8492129219265891727	8142969476506962006	5424	5424	112226	112226	67	140	62.85714340209961	10	Shia001131Vols-ara1.completed	Shamela0002864-ara1
675	326	855	532	-5211760143430319471	-812960164341536448	Shia001131Vols-ara1.completed.ms019	Shamela0002864-ara1.ms1336	106	الذين افترض طاعتهم في ذلك كمن حكي ا-لله- عز -وجل -نباه -من -ا-لا--مم ال---سا-لفة بقوله سبحانه اتخذوا احبارهم ورهبانهم اربابا من دون الله و--روينا عن جعفر -بن -محمد انه ----تلا هذه- ----ا-لاية فقال- -و---الله -ما	ال-له ممتنع واعت--قاد ذلك -في ح-ق احد هو من اعظم الشرك ومن باب اتخاذ البشر اربابا قال- -تعالي اتخذوا احبارهم ورهبانهم اربابا من دون الله والمسيح ابن مريم وما امروا الا ليعبدوا الها واحدا لا اله الا هو سبحانه عما	19	1336	8492129219265891727	7906130838824795926	5436	5436	400541	400541	74	213	49.7652587890625	9	Shia001131Vols-ara1.completed	Shamela0002864-ara1
721	493	855	666	-5211760143430319471	-812960164341536448	Shia001131Vols-ara1.completed.ms019	Shamela0002864-ara1.ms1352	87	نباه من ----الامم -السالفة -ب--ق-وله- --سبحان-------ه اتخذوا احبارهم ورهبانهم اربابا من دون الله و--روينا عن جعفر -بن -محمد انه ----تلا هذه- ----ا-لاية فقال- -و---الله -ما	يضاهءون قول الذين كفروا من قبل قاتلهم الله اني يءفكون اتخذوا احبارهم ورهبانهم اربابا من دون الله والمسيح ابن مريم وما امروا الا ليعبدوا الها واحدا لا اله الا هو سبحانه عما	19	1352	8492129219265891727	-7966439838472929472	5426	5426	405333	405333	64	173	50.28901672363281	8	Shia001131Vols-ara1.completed	Shamela0002864-ara1
448	1007	604	1187	-5211760143430319471	-812960164341536448	Shia001131Vols-ara1.completed.ms021	Shamela0002864-ara1.ms0001	100	ه الي م-ا -ه-اجر اليه والايما-ن شه--ا-دة ان الا اله الا الله وحده لا شريك له و-----ان محمدا عبده ورسوله --وان -الجنة -حق وال-----نار- حق والبعث -حق و-ان -الساعة اتي-ة -لا -ريب -فيها وال	ه فلا مضل له ومن يضلل -فلا هادي له واشهد ان -لا اله الا الله وحده لا شريك له واشهد ان محمدا عبده ورسوله ارسله بالهدي ودين الحق ليظهره علي الدين كله وكفي بال--له شهيدا صلي الله عليه- وعل	21	1	-6504084382943731545	-4047927848413200647	6033	6033	38	38	69	185	54.054054260253906	12	Shia001131Vols-ara1.completed	Shamela0002864-ara1
449	406	629	602	-5211760143430319471	-812960164341536448	Shia001131Vols-ara1.completed.ms021	Shamela0002864-ara1.ms0042	107	الي ما هاجر اليه والا-يمان شهادة ان -الا -ا-له الا الله و----ح-ده --لا شريك له وان محمدا عبده و--رسول-ه وان الجنة حق والنار حق والبعث حق وان الساعة اتية لا ريب فيها و---التصدي--ق -----با-نب---ياء الله ---ورسله	اله واحد لا ال-ه -الا هو فرد صمد لم يتخذ صاحبة ولا ولدا وان محمدا عبده ور-سوله -ارسله با-لهدي ودين الحق وان الجنة حق والنار ----------حق وان الساعة اتية لا ريب فيها وان الله يبعث من في القبور وان الله مستو علي	21	42	-6504084382943731545	5389260584913129596	6037	6037	12343	12343	77	211	50.710899353027344	14	Shia001131Vols-ara1.completed	Shamela0002864-ara1
449	1148	679	1401	-5211760143430319471	-812960164341536448	Shia001131Vols-ara1.completed.ms021	Shamela0002864-ara1.ms0393	136	الي --ما هاجر اليه --وا-----لا-يما-ن شهاد---ة ان الا اله الا الله وحده لا--- شريك ل-ه وان محمدا عبده ورسوله وان الجنة حق والنار حق والبعث حق وان الساعة اتية لا ريب فيها وا--لتصديق بانبياء الله ورسله والاءمة ومعرفة اما---م الزمان ---وال----تصديق به وا--ل-تسليم -لا	ذلك شيءا وا-ن الله سبحانه وتعالي اله واحد فرد صمد لا اله غيره ل-م يتخذ صاحبة ولا ولدا وان محمدا عبده ورسوله وان الجنة حق وا-ن-- ----النار حق وان الساعة اتية لا-ريب فيها وان اله يبعث من في ال-قبور وان الله علي عرشه كما قال الرحمن علي العرش استوي طه وان له يدين بلا	21	393	-6504084382943731545	8095451757189120709	6044	6044	117654	117654	101	264	51.51515197753906	16	Shia001131Vols-ara1.completed	Shamela0002864-ara1
449	160	629	355	-5211760143430319471	-812960164341536448	Shia001131Vols-ara1.completed.ms021	Shamela0002864-ara1.ms0413	120	الي --ما هاجر اليه ---وال--ا-يمان شهادة ان الا اله الا الله وحده لا--- شريك ل-ه وان محمدا عبده ورسوله وان الجنة حق والنار حق والبعث حق وان الساعة اتية لا ريب فيها وا---لتصدي--ق -----با-نب---ياء الله ---ورسله	ذلك شيءا وا-ن الله عز وجل واحد احد فرد- صمد لا اله غيره ل-م يتخذ صاحبة ولا ولدا وان محمدا عبده ورسوله وان الجنة حق والنار ----------حق وان الساعة اتية لا-ريب فيها وان الله يبعث من في القبور وان الله مستو علي	21	413	-6504084382943731545	3158164969759835728	6037	6037	123632	123643	90	209	57.41626739501953	18	Shia001131Vols-ara1.completed	Shamela0002864-ara1
488	178	629	330	-5211760143430319471	-812960164341536448	Shia001131Vols-ara1.completed.ms021	Shamela0002864-ara1.ms0506	95	-ا-له الا الله و--حده لا شريك ل-ه وان محمدا عبده ورسوله وان الجنة حق والنار حق والبعث حق وان الساعة اتية لا ريب فيها وا---لتصدي--ق -----با-نب---ياء الله ---ورسله	صاحبة ولا ولدا وان محمدا صلي الله عليه وسلم عبده ورسوله وان الجنة حق والنار ----------حق وان الساعة اتية لا-ريب فيها وان الله يبعث من في القبور وان الله مستو علي	21	506	-6504084382943731545	-3880917434079965833	6029	6029	151532	151532	72	163	58.28220748901367	15	Shia001131Vols-ara1.completed	Shamela0002864-ara1
461	811	679	1043	-5211760143430319471	-812960164341536448	Shia001131Vols-ara1.completed.ms021	Shamela0002864-ara1.ms0516	132	-اليه -والايما-ن شهاد---ة ان الا اله الا الله وحده لا--- شريك ل-ه وان محمدا عبده ورسوله وان الجنة حق والنار حق والبعث حق وان الساعة اتية لا ريب فيها و---التصديق بانبياء الله ورسله والاءمة ومعرفة اما---م الزمان ---وال----تصديق به وا--ل-تسليم -لا	والله تعال-ي اله واحد فرد صمد لا اله غيره ل-م يتخذ صاحبة ولا ولدا وان محمدا عبده ورسوله وان الجنة حق والنار ----------حق وان الساعة اتية لا ريب فيها وان الله يبعث من في ال-قبور وان الله علي عرشه كما قال الرحمن علي العرش استوي طه وان له يدين بلا	21	516	-6504084382943731545	5684152951535509470	6041	6041	154550	154550	100	245	53.8775520324707	17	Shia001131Vols-ara1.completed	Shamela0002864-ara1
240	1160	430	1370	-5211760143430319471	-812960164341536448	Shia001131Vols-ara1.completed.ms021	Shamela0002864-ara1.ms1171	147	هو الثابت الذي لا --يجزي- -غيره و--قد -روينا- عن رسول -الله صلع ا-نه -----قال- انما الاعمال بالنيات وانما --ل-امرء ما نوي فمن كانت هجرته الي الله ورسوله فهجرته الي الله ورسوله ومن كانت هجرته -ل-امراة يتزوجها او	هو ربي لا اله الا هو عليه توكلت واليه متاب الرعد وقول نبينا صلي الله عليه وسلم انما الاعمال بالنيات وانما لكل امرء ما نوي فمن كانت هجرته الي الله ورسوله فهجرته الي الله ورسوله ومن كانت هجرته الي دنيا ي-صيبها او	21	1171	-6504084382943731545	3166410508543416519	6037	6037	351042	351042	112	211	69.66824340820312	22	Shia001131Vols-ara1.completed	Shamela0002864-ara1
