begin	begin2	end	end2	gid	gid2	id	id2	matches	s1	s2	seq	seq2	uid	uid2	bw1	ew1	bw2	ew2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
950	216	1100	379	1684180232976004576	1772412992146626924	EShia0071536-ara1.completed.ms039	LMN20200820-ara1.completed.ms01	94	عقد والر---ضي والت--سليم- -بان الله هو الواحد لا اله الا --هو وحده لا شريك له الها-- واحدا -احدا صمدا ل-م -يتخذ --صاحبة ولا ولدا وان محمدا عبده ورسوله صل-ي --الله عل-يه و	علي وافر نعمه ونستزيده من مواد كرمه -ونشهد ان لا اله الا الله وحده لا شريك له -شهادة شاهدة باخلا-ص ما لها من سر وعلانية و--نشهد- -ان محمدا عبده ورسوله الذي شيد به الدين و	39	1	9210985223523165235	5134781673944761771	11431	11431	34	34	66	170	55.29411697387695	11	EShia0071536-ara1.completed	LMN20200820-ara1.completed
921	1350	1141	1616	1684180232976004576	1772412992146626924	EShia0071536-ara1.completed.ms039	LMN20200820-ara1.completed.ms10	133	الا-ي-مان الاقرا-ر- والمعرفة والعقد والرضي والت-سل-يم --بان الله --هو ----الوا-حد ---لا اله الا --هو وحده لا شريك له الها-- -و-احدا ا-حدا-- صمدا ----ل-م- --يتخذ صا-حبة -ولا ولدا وان محمدا عبده ورسوله صل-ي --الله عل-ي---ه-- و--اله والاقرا--ر -بما- كان من عند الله من- نبي ا	الاعين منها في الروض ال-انف- والطافه ال-تي وقفت الشكر عليها فليس عنها منصرف واشهد ان لا اله الا الله وحده لا شريك له -شهادة توجب من المخاوف امنا وتسهل من الامور ما كان حزنا واشهد ان محمدا عبده ورسوله الذي جبر من الدين وهنا ورسوله -الذي اظهر من المكا-رم- فنونا لا فنا صلي ا	39	10	9210985223523165235	-2824493650250929253	11444	11444	2754	2754	96	273	48.71794891357422	11	EShia0071536-ara1.completed	LMN20200820-ara1.completed
1391	75	1436	120	1684180232976004576	1772412992146626924	EShia0071536-ara1.completed.ms046	LMN20200820-ara1.completed.ms20	45	اطيعوا الله واطيعوا الرسول واولي الامر منكم	اطيعوا الله واطيعوا الرسول واولي الامر منكم	46	20	-2196721664125180130	8027054608337095444	13508	13508	5708	5708	37	45	100.0	8	EShia0071536-ara1.completed	LMN20200820-ara1.completed
494	0	571	76	1684180232976004576	1772412992146626924	EShia0071536-ara1.completed.ms128	LMN20200820-ara1.completed.ms01	48	ثاني في ذكر طهارات الاطعمة بسم الله الرحمن الرح---------------يم الحمد لله الذي اعجز ----العقول	---- ----------------مقدمة بسم الله الرحمن الرحيم رب يسر يا كريم الحمد لله الذي احيا ذكر الملوك	128	1	6995945082886137205	5134781673944761771	38114	38114	0	12	37	96	50.0	6	EShia0071536-ara1.completed	LMN20200820-ara1.completed
324	0	468	149	1684180232976004576	1772412992146626924	EShia0071536-ara1.completed.ms179	LMN20200820-ara1.completed.ms01	72	وهم السبيل والفرقة الثانية بسم الله الرحمن الرح---------------يم الحمد لله الذي تعبد ----العباد ب-ما به تعبده-م -لغير حاجة منه- ---الي- عبادتهم وارسل اليهم الرسل لارشادهم	--- -----------مق------دمة بسم الله الرحمن الرحيم رب يسر يا كريم الحمد لله الذي احيا ذكر الملوك بايامهم الزاهرة و سيرهم التي هي بتفاصيل احوالهم ساءرة واشهد حل-ية -احوالهم	179	1	3362057704545673226	5134781673944761771	53425	53425	0	24	52	171	42.105262756347656	6	EShia0071536-ara1.completed	LMN20200820-ara1.completed
1368	0	1504	143	1684180232976004576	1772412992146626924	EShia0071536-ara1.completed.ms184	LMN20200820-ara1.completed.ms01	69	الجزء الثالث في ذكر الصلاة بسم الله الرحمن الرح---------------يم الحمد لله الذ----ي- جعل ال-حمد مفتا--ح كتابه وقو-ل اهل الجنة اذ حلوا محل -ثوابه- -وصلي -الله علي- مح	----- ---------------مقدمة بسم الله الرحمن الرحيم رب يسر يا كريم الحمد لله الذي احيا ذكر الملوك بايامهم الزاهرة و سيرهم ال-تي هي بتفا-صيل احوالهم ساءرة واشهد حلية اح	184	1	6090343447188780717	5134781673944761771	54926	54926	0	23	49	165	41.818180084228516	5	EShia0071536-ara1.completed	LMN20200820-ara1.completed
978	0	1088	124	1684180232976004576	1772412992146626924	EShia0071536-ara1.completed.ms190	LMN20200820-ara1.completed.ms01	63	ث في ذكر الرغاءب في الصلاة بسم الله الرحمن الرح---------------يم الحمد لله الذي لا تحويه الم----شا---هد ول-ا--- --تدركه الشواهد ---وصلي ا--لله-	- -------------------مقدمة بسم الله الرحمن الرحيم رب يسر يا كريم الحمد لله الذي احيا ذكر الملوك بايامهم الزاهرة و سيرهم التي هي بتفاصيل احوالهم	190	1	-8721193580781644408	5134781673944761771	56721	56721	0	20	47	144	43.75	6	EShia0071536-ara1.completed	LMN20200820-ara1.completed
395	0	504	124	1684180232976004576	1772412992146626924	EShia0071536-ara1.completed.ms203	LMN20200820-ara1.completed.ms01	66	لثالث في ذكر مواقيت الصلاة بسم الله الرحمن الرح---------------يم الحمد لله الذي --لا تراه ال-نو---ا---ظر ول-ا--- تحوي-ه- السراءر ---وصلي ا--لله-	----- -------م--ق------دمة بسم الله الرحمن الرحيم رب يسر يا كريم الحمد لله الذي احيا -ذكر الملوك بايامهم الزاهرة و سيرهم التي هي بتفاصيل احوالهم	203	1	8059776630541805588	5134781673944761771	60620	60620	0	20	49	145	45.517242431640625	6	EShia0071536-ara1.completed	LMN20200820-ara1.completed
969	0	1050	88	1684180232976004576	1772412992146626924	EShia0071536-ara1.completed.ms209	LMN20200820-ara1.completed.ms01	50	لثاني في ذكر مواقيت الصلاة بسم الله الرحمن الرح---------------يم الحمد لله ال--صا-دق -في --م---يعا--ده- القا	----- -------م--ق------دمة بسم الله الرحمن الرحيم رب يسر يا كريم الحمد لله الذي احيا ذكر الملوك بايامهم الزا	209	1	8119735731081503598	5134781673944761771	62414	62414	0	14	39	108	46.296295166015625	5	EShia0071536-ara1.completed	LMN20200820-ara1.completed
508	1	602	124	1684180232976004576	1772412992146626924	EShia0071536-ara1.completed.ms216	LMN20200820-ara1.completed.ms01	62	م-امة بسم الله الرحمن الرح---------------يم الحمد لله ال----عدل علي العباد -في حكمه ال-محسن -الي-هم --في -قسمه وصلي ا--لله-	مقدمة بسم الله الرحمن الرحيم رب يسر يا كريم الحمد لله الذي احيا ذكر الملوك بايامهم- الزاهرة و سيرهم التي هي بتفاصيل احوالهم	216	1	8477574913152085854	5134781673944761771	64518	64518	0	23	46	124	50.0	5	EShia0071536-ara1.completed	LMN20200820-ara1.completed
