begin	begin2	end	end2	gid	gid2	id	id2	matches	s1	s2	seq	seq2	uid	uid2	bw1	ew1	bw2	ew2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
61	8	186	170	1684180232976004576	6168338140435636036	EShia0071536-ara1.completed.ms044	Shamela0011780-ara1.completed.ms005	95	-ال--جزء ال--او-ل في باب الولاية بسم الله الرحمن الرحيم الحمد لله ال-حميد ب--ما ا----ولي من الاء------ه وصلي الله علي---- -----محمد -نب-------يه وعلي الا-ءمة -من	بالاعمال المجموعة اليها- المقدمة بسم الله الرحمن الرحيم الحمد لله المحمود بنعمه المشكور علي الاءه وقسمه وصلي الله علي خير خلقه محمد وابرار عترته وسلم اما بعد فان	44	5	-4483241334090267459	2894960465041374846	12910	12925	1201	1229	72	163	58.28220748901367	9	EShia0071536-ara1.completed	Shamela0011780-ara1.completed
0	0	152	171	1684180232976004576	6168338140435636036	EShia0071536-ara1.completed.ms057	Shamela0011780-ara1.completed.ms005	95	من الجزء الا--ول --في ذكر الطها------رة بسم الله الرحمن الرحيم الحمد لله كما هو اهل الحمد -لما اولي من جزيل نعماءه والاءه وصلي الله علي---- -----محمد -نب-------يه وعلي ا-لصفوة -من ا	ما تفرد بالاعمال المجموعة اليها المقدمة بسم الله الرحمن الرحيم الحمد لله --ا-لمحمود بنعمه الم-شكو-ر ---علي- -الاءه و-قسمه وصلي الله علي خير خلقه محمد وابرار عترته وسلم اما بعد فان ا	57	5	-3221907197510819947	2894960465041374846	16800	16827	1200	1228	70	182	52.19780349731445	10	EShia0071536-ara1.completed	Shamela0011780-ara1.completed
512	32	625	159	1684180232976004576	6168338140435636036	EShia0071536-ara1.completed.ms128	Shamela0011780-ara1.completed.ms005	70	الاطعمة بسم الله الرحمن الرحيم الحمد لله ال---ذي -اعجز ال-عقول ع-ن تحديد -صفته وفطر جميع البرايا عل-ي يقين -معر---فت--ه وصلي ا	المقدمة بسم الله الرحمن الرحيم الحمد لله المحمود بنعمه المشكور علي الاءه وقسمه وصلي الله علي خير خلقه محمد وابرار عترته وسلم ا	128	5	6995945082886137205	2894960465041374846	38121	38121	1206	1223	49	127	55.11811065673828	8	EShia0071536-ara1.completed	Shamela0011780-ara1.completed
727	32	874	162	1684180232976004576	6168338140435636036	EShia0071536-ara1.completed.ms133	Shamela0011780-ara1.completed.ms005	86	ال-تنظف بسم الله الرحمن الرحيم الحمد لله الذي قصر العقول عن ان تحيط بصفته وفطر العباد علي اثباته ومعرفته وصلي الله علي افضل رسله محمد -نب-------يه وال-اءمة	المقدمة بسم الله الرحمن الرحيم الحمد لله ال--------محمود بنعمه ------المشكو--ر -------علي ا-لاءه و--قسمه وصلي الله علي -خير خلقه محمد وابرار عترته وسلم اما	133	5	4116051188993495898	2894960465041374846	39628	39628	1206	1224	64	157	54.777069091796875	12	EShia0071536-ara1.completed	Shamela0011780-ara1.completed
737	32	932	217	1684180232976004576	6168338140435636036	EShia0071536-ara1.completed.ms162	Shamela0011780-ara1.completed.ms005	103	ال--حيض بسم الله الرحمن الرحيم الحمد لله الذي صدق اولياءه وعده واورثهم الارض يتبوءون من الجنة ما يشاءون عنده وصلي الله علي خير ----بريته وا-فضل عباده ---م-حمد نبيه واءمة ا-لامة من بعده ا-ولاده وال---ذي -ي-تل--و- --ما	المقدمة بسم الله الرحمن الرحيم الحمد لله المحمود- -------بنعمه -ا-------ل----مشكو--ر ---عل--ي -ا--لاءه وقسمه وصلي الله علي خير خلقه محمد وابرار عترته وسلم اما -بعد فا--ن احق من رقي الي المكارم فحل منها في الذروة وسما	162	5	-5419031189385988265	2894960465041374846	48337	48337	1206	1235	74	218	47.24770736694336	11	EShia0071536-ara1.completed	Shamela0011780-ara1.completed
448	40	547	161	1684180232976004576	6168338140435636036	EShia0071536-ara1.completed.ms174	Shamela0011780-ara1.completed.ms005	76	بسم الله الرحمن الرحيم الحمد لله الذي رضي الحمد ---شكرا لعظيم نعماء------ه وصلي الله علي---- -----محمد -نب-------يه وعلي الا	بسم الله الرحمن الرحيم الحمد لله ال-محمود بنعمه المشكور -علي- -الاءه وقسمه وصلي الله علي خير خلقه محمد وابرار عترته وسلم اما	174	5	-474876935466807052	2894960465041374846	51919	51919	1207	1222	58	125	60.79999923706055	9	EShia0071536-ara1.completed	Shamela0011780-ara1.completed
327	8	396	90	1684180232976004576	6168338140435636036	EShia0071536-ara1.completed.ms179	Shamela0011780-ara1.completed.ms005	54	-ال-سبيل وال--فرقة ال-ثا-----نية بسم الله الرحمن الرحيم الحمد لله ال---ذي -تعبد ال	بالاعمال -المجموعة اليها المقدمة بسم الله الرحمن الرحيم الحمد لله المحمود بنعمه ال	179	5	3362057704545673226	2894960465041374846	53412	53412	1201	1213	42	83	65.06024169921875	8	EShia0071536-ara1.completed	Shamela0011780-ara1.completed
1387	32	1525	161	1684180232976004576	6168338140435636036	EShia0071536-ara1.completed.ms184	Shamela0011780-ara1.completed.ms005	84	ال-صلاة بسم الله الرحمن الرحيم الحمد لله الذي جعل الحم-د مفتاح كتابه وقول اهل الجنة اذ حلوا محل ثوابه وصلي الله علي---- -----محمد خا--تم -رسله وعلي الا	المقدمة بسم الله الرحمن الرحيم الحمد لله ال--------محمود بنعمه --ا-لمشكور -عل-----ي ا---ل-ا--ءه وقسمه وصلي الله علي خير خلقه محمد وابرار عترته وسلم اما	184	5	6090343447188780717	2894960465041374846	54927	54927	1206	1223	63	152	55.26315689086914	9	EShia0071536-ara1.completed	Shamela0011780-ara1.completed
986	17	1105	145	1684180232976004576	6168338140435636036	EShia0071536-ara1.completed.ms190	Shamela0011780-ara1.completed.ms005	79	ال-رغاءب -في-- ال-صلاة بسم الله الرحمن الرحيم الحمد لله الذي لا تحويه المشاهد ولا تدركه الشواهد وصلي الله علي ---صفوته --من -العا	المجموعة اليها المقدمة بسم الله الرحمن الرحيم الحمد لله المحمود بنعمه المشكور علي الاءه -وقسمه- وصلي الله علي خير خلقه محمد وابرا	190	5	-8721193580781644408	2894960465041374846	56722	56722	1203	1222	58	130	60.769229888916016	10	EShia0071536-ara1.completed	Shamela0011780-ara1.completed
408	22	508	126	1684180232976004576	6168338140435636036	EShia0071536-ara1.completed.ms203	Shamela0011780-ara1.completed.ms005	71	مو---اقي-ت ال-صلاة بسم الله الرحمن الرحيم الحمد لله الذي لا -تراه النواظر ولا تحويه السراءر وصلي الله علي	موعة اليها المقدمة بسم الله الرحمن الرحيم الحمد لله المحمود بنعمه المشكور علي الاءه وقس--مه وصلي الله علي	203	5	8059776630541805588	2894960465041374846	60618	60618	1203	1218	54	106	66.98113250732422	9	EShia0071536-ara1.completed	Shamela0011780-ara1.completed
