section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
,581,0,0,0
 فصل,1,0,0,0
 ذكر ما كان عليه الكافة قبل قيام ملة الاسلام,772,0,0,0
 فصل,1,0,0,0
 ذكر القاءمين بالملة الاسلامية من الخلفاء,2574,0,0,0
 ذكر دولة بني بويه الديلم,1801,0,0,0
 ذكر دولة السلجوقية,4356,9,1,0.2066115702479339
 سنة ثمان وستين وخسماءة,373,0,0,0.0
 سنة تسع وستين وخمسماءة,1188,0,0,0
 سنة سبعين وخمسماءة,626,0,0,0
 سنة احدي وسبعين وخمسماءة,316,0,0,0
 سنة اثنتين وسبعين,410,0,0,0
 سنة ثلاث وسبعين وخمسماءة,392,0,0,0
 سنة اربع وسبعين وخمسماءة,239,0,0,0
 دخلت سنة خمس وسبعين وخمسماءة,572,0,0,0
 ودخلت سنة ست وسبعين وخمسماءة,231,0,0,0
 ثم دخلت سنة سبع وسبعين وخمسماءة,1360,0,0,0.0
 سنة ثمان وسبعين وخمسماءة,678,0,0,0.0
 سنه تسع وسبعين وخمسماءة,482,17,1,3.5269709543568464
 سنة ثمانين وخمسماءة,683,0,0,0
 تتمة سنة ثمانين وخمسماءة,541,0,0,0
 سنة احدي وثمانين وخمسماءة,198,0,0,0
 ومات في هده السنة,198,0,0,0
 سنة اثنتين وثمانين وخمسماءة,269,0,0,0
 سنة ثلاث وثمانين وخمسماءة,1312,0,0,0
 سنة اربع وثمانين وخمسماءة,418,0,0,0
 سنة خمس وثمانين وخمسماءة,403,0,0,0
 سنة ست وثمانين وخمسماءة,327,0,0,0
 سنة سبع وثمانين وخمسماءة,591,0,0,0
 سنة ثمان وثمانين وخمسماءة,746,0,0,0
 سنة تسع وثمانين وخمسماءة,783,0,0,0
 سنة تسعين وخمسماءة,992,0,0,0
 تتمة سنة تسعين وخمسماءة,515,0,0,0
 سنة احدي وتسعين وخمسماءة,1294,0,0,0
 سنة اثنتين وتسعين وخمسماءة,1841,0,0,0
 وتوفي في هذه السنة,188,0,0,0
 سنة ثلاث وتسعين وخمسماءة,166,0,0,0
 سنة اربع وتسعين وخمسماءة,586,0,0,0
 سنة خمس وتسعين وخمسماءة,1199,0,0,0
 سنة ست وتسعين وخمسماءة,1022,0,0,0
 سنة سبع وتسعين وخمسماءه,1142,0,0,0
 سنة ثمان وتسعين وخمسماءة,378,0,0,0
 سنة تسع وتسعين وخمسماءة,405,0,0,0
 سنة ستماءة,276,0,0,0
 سنة احدي وستماءة,239,0,0,0
 سنة اثنتين وستماءة,73,0,0,0
 سنة ثلاث وستماءة,197,0,0,0
 سنة اربع وستماءة,609,0,0,0
 سنة خمس وستماءة,158,0,0,0
 سنة ست وستماءة,231,0,0,0
 سنة سبع وستماءة,409,0,0,0
 سنة ثمان وستماءة,336,0,0,0
 سنة تسع وستماءة,254,0,0,0
 سنة عشر وستماءة,229,0,0,0
 تتمة سنة عشر وستماءة,89,0,0,0
 سنة احدي عشر وستماءة,260,0,0,0
 سنة اثنتي عشرة وستماءة,696,0,0,0
 سنة ثلاث عشرة وستماءة,180,0,0,0
 سنة اربع عشرة وستماءة,441,0,0,0
 سنة خمس عشرة وستماءة,2898,10,1,0.3450655624568668
 سنة ست عشرة وستماءة,847,0,0,0
 سنة سبع عشرة وستماءة,380,0,0,0
 سنة ثمان عشرة وستماءة,1503,0,0,0
 سنة تسع عشرة وستماءة,190,0,0,0
 سنة عشرين وستماءة,132,0,0,0
 سنة احدي وعشرين وستماءة,83,0,0,0
 سنة اثنتين وعشرين وستماءة,921,0,0,0
 سنة ثلاث وعشرين وستماءة,408,0,0,0
 سنة اربع وعشرين وستماءة,699,0,0,0
 سنة خمس وعشرين وستماءة,911,0,0,0
 سنة ms0156 ست وعشرين وستماءة,1733,0,0,0
 سنة سبع وعشرين وستماءة,493,0,0,0
 سنة ثمان وعشرين وستماءة,256,0,0,0
 سنة تسع وعشرين وستماءة,442,0,0,0
 سنة ثلاثين وستماءة,364,0,0,0
 سنة احدي وثلاثين وستماءة,407,0,0,0
 سنة اثنتين وثلاثين وستماءة,190,0,0,0
 سنة ثالث وثلاثين وستماءة,482,0,0,0
 سنة اربع وثلاثين وستماءة,626,16,1,2.5559105431309903
 سنة خمس وثلاثين وستماءة,2524,0,0,0
 سنة ست وثلاثين وستماءة,1529,0,0,0
 سنة سبع وثلاثين وستماءة,3334,52,2,1.5596880623875224
 سنة ثمان وثلاثين وستماءة,1540,0,0,0
 سنة تسع وثلاثين وستماءة,515,0,0,0
 سنة اربعين وستماءة,545,0,0,0
 سنة احدي واربعين وستماءة,416,0,0,0
 سنة اثنتين واربعين وستماءة,882,0,0,0
 سنة ثالث واربعين وستماءة,750,0,0,0
 سنة اربع واربعين وستماءة,837,0,0,0
 سنة خمس واربعين وستماءة,260,0,0,0
 سنة ستة واربعين وستماءة,559,0,0,0
 سنة سبع واربعين وستماءة,4597,30,1,0.6525995214270176
 سنة ثمان واربعين وستماءة,4453,0,0,0
 (تابع سنة ثمان واربعين وستماءة),447,0,0,0
 ومات في هذه السنة من الاعيان,121,0,0,0
 سنة تسع واربعين وستماءة,185,0,0,0
 ومات في هذه السنة من الاعيان,128,41,1,32.03125
 سنة خمسين وستماءة,327,0,0,0
 (ذكر من مات في هذه السنة من الاعيان),169,46,1,27.218934911242602
 سنة احدي وخمسين وستماءة,748,0,0,0
 ومات في هذه السنة من الاعيان,86,15,1,17.441860465116278
 سنة اثنتين وخمسين وستماءة,1081,0,0,0
 سنة ثالث وخمسين وستماءة,209,0,0,0
 ومات في هذه السنة من الاعيان,105,0,0,0
 سنة اربع وخمسين وستماءة,582,0,0,0
 ومات في هذه السنة من الاعيان,123,27,1,21.951219512195124
 سنة خمس وخمسين وستماءة,1177,0,0,0
 ومات في هذه السنة من الاعيان,105,0,0,0
 سنة ست وخمسين وستماءة,563,0,0,0
 ومات في هذه السنة من الاعيان,444,38,1,8.558558558558559
 سنة سبع وخمسين وستماءة,1440,16,1,1.1111111111111112
 ومات في هذه السنة من الاعيان,114,0,0,0
 سنة ثمان وخمسين وستماءة,3741,27,1,0.7217321571772253
 ومات في هذه السنة من الاعيان,259,0,0,0
 سنة تسع وخمسين وستماءة,4373,104,2,2.378230048021953
 ومات في هذه السنة من الاعيان,86,0,0,0
 سنة ستين وستماءة,1553,71,2,4.571796522858983
 سنة ms0309 احدي وستين وستماءة,4225,31,1,0.7337278106508875
 تابع سنة احدي وستين وستماءة,556,0,0,0
 سنة اثنتين وستين وستماءة,3411,27,1,0.79155672823219
 ومات في هذه السنة من الاعيان,182,0,0,0
 سنة ثالث وستين وستماءة,2916,0,0,0
 تابع سنة اثنتين وستين وستماءة,992,61,1,6.149193548387097
 ومات في هذه السنة من الاعيان,65,0,0,0
 سنة اربع وستين وستماءة,2311,27,1,1.1683254002596277
 ومات في هذه السنة من الاعيان,65,0,0,0
 سنة خمس وستين وستماءة,1534,0,0,0
 سنة ست وستين وستماءة,1877,18,1,0.9589770911028237
 ومات في هذه السنة من الاعيان,139,15,1,10.79136690647482
 سنة سبع وستين وستماءة,2181,0,0,0
 ومات في هذه السنة من الاعيان,90,0,0,0
 سنة ثمان وستين وستماءة,1336,13,1,0.9730538922155689
 ومات في هذه السنة من الاعيان,178,0,0,0
 سنة تسع وستين وستماءة,1001,0,0,0
 ومات في هذه السنة من الاعيان,192,0,0,0
 سنة سبعين وستماءة,1379,0,0,0
 ومات في هذه السنة من الاعيان,121,0,0,0
 سنة احدي وسبعين وستماءة,860,0,0,0
 سنة اثنتين وسبعين وستماءة,874,0,0,0
 ومات في هذه السنة من الاعيان,245,0,0,0
 سنة ثالث وسبعين وستماءة,588,0,0,0
 ومات فيها من الاعيان,94,0,0,0
 سنة اربع وسبعين وستماءة,900,0,0,0
 ومات في هذه السنة من الاعيان,129,0,0,0
 سنة خمس وسبعين وستماءة,1796,0,0,0
 سنة ست وسبعين وستماءة,2547,14,1,0.5496662740478995
 ومات في هذه السنة من الاعيان,156,0,0,0
 سنة سبع وسبعين وستماءة,642,0,0,0
 سنة ثمان وسبعين وستماءة,3674,96,2,2.6129559063690797
 ومات في هذه السنة,169,0,0,0
 سنة تسع وسبعين وستماءة,2123,0,0,0
 ومات في هذه السنة,144,0,0,0
 سنة ثمانين وستماءة,4204,16,1,0.3805899143672693
 ومات في هذه السنة من الاعيان,366,48,1,13.114754098360656
 سنة احدي وثمانين وستماءة,877,0,0,0
 ومات في هذه السنة من الاعيان,200,0,0,0
 سنة اثنين وثمانين وستماءة,2143,108,4,5.039664022398506
 سنة ثلاث وثمانين وستماءة,1073,43,1,4.007455731593663
 ومات في هذه السنة من الاعيان,254,60,3,23.62204724409449
 سنة اربع وثمانين وستماءة,399,0,0,0
 ومات في هذه السنة من الاعيان,87,0,0,0
 سنة خمس وثمانين وستماءة,566,0,0,0
 ومات في هذه السنة من الاعيان,228,40,1,17.543859649122805
 سنة ست وثمانين وستماءة,1020,23,1,2.2549019607843137
 ومات في هذه السنة من الاعيان,212,0,0,0
 سنة سبع وثمانين وستماءة,1649,57,1,3.4566403881140086
 ومات في هذه السنة من الاعيان,164,0,0,0
 سنة ثمان ثمانين وستماءة,790,0,0,0
 سنة تسع وثمانين وستماءة,1717,0,0,0
 ومات فيها من الاعيان,168,27,1,16.071428571428573
 سنة تسعين وستماءة,3240,0,0,0
 ومات في هذه السنة من الاعيان,262,0,0,0
 سنة احدي وتسعين وستماءة,887,0,0,0
 ومات فيها من الاعيان,233,22,1,9.44206008583691
 سنة اثنين وتسعين وستماءة,1086,0,0,0
 ومات في هذه السنة من الاعيان,212,40,1,18.867924528301888
 سنة ثلاث وتسعين وستماءة,3815,27,1,0.7077326343381389
 ومات في هذه السنة من الاعيان,164,0,0,0
 سنة اربع وتسعين وستماءة,1109,18,1,1.6230838593327321
 ومات في هذه السنة من الاعيان,220,33,1,15.0
 سنة خمس وتسعين وستماءة,1533,0,0,0
 ومات في هذه السنة من الاعيان,222,0,0,0
 سنة ست وتسعين وستماءة,2621,22,1,0.8393742846241892
 ومات في هذه السنة من الاعيان,199,32,1,16.08040201005025
 سنة سبع وتسعين في ستماءة,3550,0,0,0
 ومات في هذه السنة ممن له ذكر,393,0,0,0
 سنة ثمان وتسعين وستماءة,6095,0,0,0
 ومات في هذه السنة ممن له ذكر,277,0,0,0
 سنة تسع وتسعين وستماءة,4475,0,0,0
 ومات في هذه السنة ممن له ذكر,494,0,0,0
 سنة سبعماءة,2264,0,0,0
 ومات في هده السنة ممن له ذكر,203,0,0,0
 سنة احدي وسبعماءة,1190,17,1,1.4285714285714286
 ومات في هذه السنة من الاعيان,700,0,0,0
 سنة اثنتين وسبعماءة,4184,0,0,0
 ومات في هذه السنة ممن له ذكر,617,0,0,0
 سنة ثلاث وسبعماءة,2138,0,0,0
 سنة اربع وسبعماءة,2034,0,0,0
