section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
 [مقدمة],2770,25,1,0.9025270758122743
 الباب الاول - جدة,973,209,2,21.479958890030833
 البلد الثاني - مكة,672,139,3,20.684523809523807
 البلد الثالث - المدينة,779,257,3,32.99101412066752
 البلد الرابع - بيت المقدس,878,190,4,21.64009111617312
 البلد الخامس - بلد الخليل,877,133,1,15.16533637400228
 البلد السادس - اسكندرية,1100,287,2,26.090909090909093
 البلد السابع - اطرابلس,293,98,1,33.44709897610921
 البلد الثامن - انبابة,814,211,2,25.921375921375923
 البلد التاسع - بدر,498,155,1,31.12449799196787
 البلد العاشر - برزة,838,209,1,24.94033412887828
 البلد الحادي عشر - برطس,659,234,2,35.50834597875569
 البلد الثاني عشر - بركة الحاج,576,92,2,15.972222222222221
 البلد الثالث عشر - بعلبك,849,308,3,36.27797408716137
 البلد الرابع عشر - بلبيس,965,198,1,20.51813471502591
 البلد الخامس عشر - بولاق,533,230,1,43.151969981238274
 البلد السادس عشر - ترسا,379,229,1,60.4221635883905
 البلد السابع عشر - تفهنا,265,9,1,3.3962264150943398
 البلد الثامن عشر - جبرين,654,236,1,36.08562691131498
 البلد التاسع عشر - جزيرة الفيل,378,107,2,28.306878306878307
 البلد العشرون - الجزيرة الوسطي,318,136,1,42.76729559748428
 البلد الحادي والعشرون - الجعرانة,207,40,1,19.32367149758454
 البلد الثاني والعشرون - الجيزة,616,182,2,29.545454545454547
 البلد الثالث والعشرون - حلب,543,146,2,26.887661141804784
 البلد الرابع والعشرون - حماة,437,142,1,32.494279176201374
 البلد الخامس والعشرون - حمص,485,208,2,42.88659793814433
 البلد السادس والعشرون - الخانقاة السرياقوسية,592,182,3,30.743243243243246
 البلد السابع والعشرون - الخطارة,550,171,2,31.09090909090909
 البلد الثامن ms065 والعشرون - خليص,241,121,1,50.20746887966805
 البلد التاسع والعشرون - داريا,725,199,2,27.448275862068964
 البلد الثلاثون - دسوق,649,235,2,36.209553158705695
 البلد الحادي والثلاثون - دمشق,833,358,3,42.97719087635054
 البلد الثاني والثلاثون - دمياط,648,132,1,20.37037037037037
 البلد الثالث والثلاثون - دنجية,73,0,0,0
 البلد الرابع والثلاثون - ام دينار,48,0,0,0
 البلد الخامس والثلاثون - رابغ,370,155,1,41.891891891891895
 البلد السادس والثلاثون - رشيد,435,189,2,43.44827586206896
 البلد السابع والثلاثون - الرملة,362,145,1,40.055248618784525
 البلد الثامن والثلاثون - الزبداني,404,107,1,26.48514851485149
 البلد التاسع والثلاثون - سرس,70,0,0,0
 البلد الاربعون - سرمين,105,0,0,0
 البلد الحادي والاربعون - سرياقوس,337,168,1,49.85163204747774
 البلد الثاني والاربعون - سمنود,208,85,1,40.86538461538461
 البلد الثالث والاربعون - شبري الخيمة,291,143,1,49.140893470790374
 البلد الرابع والاربعون - صالحية دمشق,486,127,1,26.13168724279835
 البلد الخامس والاربعون - صالحية القاهرة,134,0,0,0
 البلد السادس والاربعون - الطالبية,317,164,1,51.73501577287066
 البلد السابع والاربعون - الطاءف,496,98,2,19.758064516129032
 البلد الثامن والاربعون - طنان,157,0,0,0
 البلد التاسع والاربعون - الطور,142,0,0,0
 البلد الخمسون - عرفات,400,49,1,12.25
 البلد الحادي والخمسون - عقبة ايلة,362,201,1,55.52486187845304
 البلد الثاني والخمسون - عمريط,53,0,0,0
 البلد الثالث والخمسون - غزة,332,0,0,0
 البلد الرابع والخمسون - فارسكور,143,0,0,0
 البلد الخامس والخمسون - فوة,364,86,1,23.626373626373624
 البلد السادس والخمسون - فيشا الصغري,80,0,0,0
 البلد السابع والخمسون - القاهرة المعزية,531,106,1,19.962335216572505
 البلد الثامن والخمسون - القرافة,354,101,1,28.53107344632768
 البلد التاسع والخمسون - قطيا,84,0,0,0
 البلد الستون - قليوب,109,0,0,0
 البلد الحادي والستون - كفر بطنا,357,176,1,49.299719887955185
 البلد الثاني والستون - كوم الريش,374,117,1,31.283422459893046
 البلد الثالث والستون - المجدل,73,0,0,0
 البلد الرابع والستون - المحلة,683,175,2,25.622254758418737
 البلد الخامس والستون - المرج,150,0,0,0
 البلد السادس والستون - المزة,372,116,1,31.182795698924732
 البلد السابع والستون - مصر,551,118,1,21.415607985480946
 البلد الثامن والستون - معرة النعمان,358,153,2,42.737430167597765
 البلد التاسع والستون - منشاة المهراني,181,0,0,0
 البلد السبعون - المنصورة,429,173,1,40.32634032634033
 البلد الحادي والسبعون - منوف,634,257,1,40.536277602523654
 البلد الثاني والسبعون - منية الامراء,354,134,1,37.85310734463277
 البلد الثالث والسبعون - منية الرديني,321,198,1,61.6822429906542
 البلد الرابع والسبعون - منية عساس,249,126,1,50.602409638554214
 البلد الخامس والسبعون - منية عقبة,147,0,0,0
 البلد السادس والسبعون - منية نابت,259,105,1,40.54054054054054
 البلد السابع والسبعون - مني,366,116,1,31.693989071038253
 البلد ms119 الثامن والسبعون - نابلس,377,190,2,50.397877984084886
 البلد التاسع والسبعون - وسيم,271,170,1,62.73062730627307
 البلد الثمانون - ينبع,439,17,1,3.8724373576309796
 السماعات,580,0,0,0
