section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
 ,401,0,0,0
 اخبار ابن هرمة,201,0,0,0
 بشار بن برد,1696,21,2,1.2382075471698113
 اخبار السيد الحميري,758,23,3,3.034300791556728
 اخبار سديف,969,18,1,1.8575851393188854
 اخبار مروان بن ابي حفصة,1850,20,2,1.0810810810810811
 اخبار ابي دلامة,1833,40,4,2.182214948172395
 اخبار ابي نخلية,535,0,0,0
 اخبار حماد عجرد,318,9,1,2.8301886792452833
 اخبار الحمادين,607,9,1,1.4827018121911038
 اخبار ابي الشيص,2198,12,1,0.5459508644222021
 اخبار والبة بن الحباب,404,12,1,2.9702970297029703
 اخبار صالح بن عبد القدوس,584,7,1,1.1986301369863013
 اخبار ابراهيم بن سيابة,190,7,1,3.684210526315789
 اخبار مطيع بن اياس,417,10,1,2.3980815347721824
 اخبار الخليل بن احمد,715,33,2,4.615384615384616
 اخبار سلم الخاسر,1025,0,0,0
 اخبار ابن ميادة,596,16,1,2.684563758389262
 اخبار العماني,722,32,3,4.43213296398892
 اخبار الحسين بن مطير,702,11,1,1.566951566951567
 اخبار ابن مناذر,1120,36,3,3.214285714285714
 اخبار ابي الشمقمق,572,11,1,1.9230769230769231
 اخبار ابي الينبغي,430,13,1,3.0232558139534884
 اخبار ابي الخطاب البهدلي,572,14,1,2.4475524475524475
 اخبار ابي الهندي,1163,21,2,1.8056749785038695
 اخبار ابي حية النميري,583,27,1,4.631217838765009
 اخبار خلف الاحمر,362,31,3,8.56353591160221
 اخبار ابي الغول,250,11,1,4.3999999999999995
 اخبار عمر بن سلمة,418,0,0,0
 اخبار ابي الهول الحميري,343,0,0,0
 اخبار نصيب الاصغر,465,0,0,0
 اخبار ربيعة الرقي,2176,10,1,0.4595588235294118
 اخبار علي بن جبلة ويعرف بالعكوك,1870,17,2,0.9090909090909091
 اخبار عوف بن محلم الخزاعي,1384,0,0,0
 اخبار ابي نواس,4430,122,11,2.7539503386004514
 اخبار بكر بن النطاح ويكني ابا واءل,1329,0,0,0
 اخبار الرقاشي,257,20,2,7.782101167315175
 اخبار ابي العتاهية,1265,54,5,4.2687747035573125
 اخبار مسلم بن الوليد الانصاري,926,0,0,0
 اخبار ابان بن عبد الحميد اللاحقي,303,0,0,0
 اخبار منصور النمري,1110,0,0,0
 اخبار البطين,484,7,1,1.4462809917355373
 اخبار اشجع السلمي,516,0,0,0
 اخبار العباس بن الاحنف,576,34,3,5.902777777777778
 اخبار سعيد بن وهب,905,12,1,1.3259668508287292
 اخبار العتابي,445,24,3,5.393258426966292
 اخبار دعبل بن علي الخزاعي,726,12,1,1.6528925619834711
 اخبار الحسين بن الضحاك الباهلي,432,10,1,2.314814814814815
 اخبار ابراهيم بن سيار النظام,226,0,0,0
 اخبار ابي محمد اليزيدي,438,36,2,8.21917808219178
