section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
,22,0,0,0
 كتاب الأربعين المختارة ,13,0,0,0
 ,56,0,0,0
 الحديث الأول,2,0,0,0
 ,17,0,0,0
 ص ,69,0,0,0
 الحديث الثاني,2,0,0,0
 ,50,0,0,0
 ص ,35,0,0,0
 ص ,13,0,0,0
 الحديث الثالث,2,0,0,0
,9,0,0,0
 ص ,51,0,0,0
 ص ,44,0,0,0
 ص ,49,0,0,0
 الحديث الرابع,2,0,0,0
 ,24,0,0,0
 ,20,0,0,0
 ص ,29,0,0,0
 ص ,19,0,0,0
 الحديث الخامس,2,0,0,0
 ,25,0,0,0
 ,18,0,0,0
 ص ,22,0,0,0
 ص ,21,0,0,0
 الحديث السادس,2,0,0,0
,40,0,0,0
 ,31,0,0,0
 ص ,16,0,0,0
 الحديث السابع,2,0,0,0
 ,9,0,0,0
 ص ,116,0,0,0
 الحديث الثامن,2,0,0,0
,32,0,0,0
 الحديث التاسع,2,0,0,0
 ,20,0,0,0
 ص ,104,0,0,0
 الحديث العاشر,2,0,0,0
 ,30,0,0,0
 الحديث الحادي عشر,3,0,0,0
 ,11,0,0,0
 ص ,196,0,0,0
 الحديث الثاني عشر,3,0,0,0
 ,65,0,0,0
 الحديث الثالث عشر,3,0,0,0
 ,37,0,0,0
 ص ,73,0,0,0
 الحديث الرابع عشر,3,0,0,0
 ,26,0,0,0
 ص ,25,0,0,0
,42,0,0,0
 ص ,93,0,0,0
 الحديث الخامس عشر,3,0,0,0
 ,19,0,0,0
 ص ,56,0,0,0
 ,9,0,0,0
 ص ,65,0,0,0
 الحديث السادس عشر,3,0,0,0
 ,20,0,0,0
 ,71,0,0,0
 الحديث السابع عشر,3,0,0,0
 ,9,0,0,0
 ص ,70,0,0,0
,21,0,0,0
 الحديث الثامن عشر,3,0,0,0
,27,0,0,0
 ,66,0,0,0
 الحديث التاسع عشر,3,0,0,0
 ,85,0,0,0
 ,11,0,0,0
 ص ,26,0,0,0
 الحديث العشرون,2,0,0,0
 ,68,0,0,0
 ,29,0,0,0
 ص ,106,0,0,0
 الحديث الحادي والعشرون,3,0,0,0
 ,25,0,0,0
 ,51,0,0,0
 الحديث الثاني والعشرون,3,0,0,0
 ,29,0,0,0
 ص ,52,0,0,0
 الحديث الثالث والعشرون,3,0,0,0
 ,88,0,0,0
 الحديث الرابع والعشرون,3,0,0,0
 ,64,0,0,0
 الحديث الخامس والعشرون ,3,0,0,0
 ,18,0,0,0
 ص ,67,0,0,0
 ص ,27,0,0,0
 الحديث السادس والعشرون,3,0,0,0
 ,37,0,0,0
 ص ,15,0,0,0
 الحديث السابع والعشرون,3,0,0,0
 ,39,0,0,0
 الحديث الثامن والعشرون,3,0,0,0
 ,34,0,0,0
 الحديث التاسع والعشرون,3,0,0,0
 ,49,0,0,0
 ص ,55,0,0,0
 الحديث الثلاثون,2,0,0,0
 ,19,0,0,0
 ص ,80,0,0,0
 الحديث الحادي والثلاثون,3,0,0,0
 ,52,0,0,0
 ص ,29,0,0,0
 الحديث الثاني والثلاثون,3,0,0,0
 ,69,0,0,0
 الحديث الثالث ‪‬والثلاثون,3,0,0,0
 ,91,0,0,0
 الحديث الرابع والثلاثون,3,0,0,0
 ,53,0,0,0
 الحديث الخامس والثلاثون,3,0,0,0
 ,61,0,0,0
 الحديث السادس والثلاثون,3,0,0,0
 ,62,0,0,0
 الحديث السابع والثلاثون,3,0,0,0
 ,65,0,0,0
 الحديث الثامن والثلاثون,3,0,0,0
 ,46,0,0,0
 الحديث التاسع والثلاثون,3,0,0,0
 ,73,0,0,0
 الحديث الأربعون,2,0,0,0
 ,184,0,0,0
