section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
EDITOR| [المجلد الاول] ,2,0,0,0
EDITOR| [مقدمة التحقيق],1352,0,0,0
EDITOR| ابن السمعاني,5877,25,1,0.42538710226305937
 مقدمة المءلف,839,119,2,14.183551847437425
 فصل في الحث علي تعلم الانساب ومعرفتها,1965,1283,20,65.29262086513995
 فصل في نسب رسول الله صلي الله عليه وسلم,736,286,4,38.858695652173914
 فصل في نسب بني هاشم,418,296,5,70.81339712918661
 فصل في نسب قريش,435,249,4,57.24137931034483
 فصل في نسب العرب واصلهم,623,282,4,45.26484751203853
 فصل في نسب مضر,361,154,2,42.65927977839335
 فصل في العرب التي كانت باليمن منهم ولد قحطان,143,71,1,49.65034965034965
 فصل في نسب كهلان وسبا,288,138,2,47.91666666666667
 فصل في قضاعة,99,83,1,83.83838383838383
 فصل في نسب جماعة من القباءل المتفرقة,309,171,3,55.33980582524271
 فصل فيمن ينسب من قباءل العرب الي اللءم والدناءة,888,275,9,30.96846846846847
 فصل في ذكر جماعة لم يعرفوا الانساب وقبحها,324,29,1,8.950617283950617
 فصل في معرفة العرب بالانساب وفيه ذكر نسب عدة من القباءل,6957,738,12,10.608020698576972
 باب الالفين وما يثلثهما [1],4073,24,2,0.5892462558310827
 باب الالف والباء,3864,10,1,0.2587991718426501
 باب الالف والتاء [1],130,0,0,0
 باب الالف والثاء,1047,0,0,0
 باب الالف والجيم,123,0,0,0
 باب الالف والحاء,2262,46,2,2.033598585322723
 باب الالف والخاء,1709,22,1,1.2873025160912814
 باب الالف والدال [2],1430,0,0,0
 باب الالف والذال [المعجمة [4]],276,33,2,11.956521739130435
 باب الالف والراء,4858,10,1,0.20584602717167558
 باب الالف والزاي [1],2307,16,2,0.693541395752059
 باب الالف والسين,11767,110,4,0.9348177105464435
 باب الالف والشين [1],4174,10,1,0.23957834211787254
 باب الالف والصاد,3207,44,2,1.3719987527284068
 باب الالف والطاء,802,0,0,0
 باب الالف والعين [6],2415,48,3,1.9875776397515528
 باب الالف والغين,599,0,0,0
 باب الالف والفاء [4],1072,0,0,0
 باب الالف والقاف,567,0,0,0
 باب الالف والكاف,553,0,0,0
 باب الالف واللام [1],422,0,0,0
 باب الالف والميم,1763,0,0,0
 باب الالف والنون,4085,34,3,0.832313341493268
 باب الالف والواو,1602,16,1,0.9987515605493134
 باب الالف والهاء [3],542,0,0,0
 باب الالف والياء,2132,0,0,0
 حرف الباء,2,0,0,0
 باب الباء والالف,12743,130,5,1.0201679353370479
 باب الباء مع الباء,223,0,0,0
 باب الباء والتاء,871,0,0,0
 باب الباء والجيم,1528,104,3,6.806282722513089
 باب الباء والحاء,1540,0,0,0
 باب الباء والخاء,555,0,0,0
 باب الباء مع الدال,1843,76,3,4.123711340206185
 باب ms0329 الباء والذال,532,0,0,0
 باب الباء والراء,10475,73,5,0.6968973747016706
 باب الباء مع الزاي,2942,75,2,2.549286199864038
 باب الباء والسين,3025,62,1,2.0495867768595044
 باب الباء والشين,2286,0,0,0
 باب الباء والصاد,760,33,1,4.342105263157895
 باب الباء والطاء,1186,50,1,4.215851602023609
 باب الباء والعين,504,0,0,0
 باب الباء والغين,2090,0,0,0
 باب الباء والقاف [1],802,0,0,0
 باب الباء والكاف ms0411,1934,92,3,4.756980351602896
 باب الباء واللام,3100,26,2,0.8387096774193548
 باب الباء والميم [1],289,0,0,0
 باب الباء والنون [6],2158,109,2,5.050973123262279
 باب الباء الواو,3956,18,1,0.455005055611729
 باب الباء والهاء,1018,41,1,4.027504911591356
 باب الباء واللام الف,647,0,0,0
 باب الباء والياء [7],4862,103,2,2.118469765528589
 حرف التاء,2,0,0,0
 باب التاء مع الالف,1353,39,1,2.882483370288248
 باب التاء والباء [8],825,16,1,1.9393939393939394
 باب التاء والجيم [2],268,0,0,0
 باب التاء والخاء [3],390,0,0,0
 باب التاء والدال,723,0,0,0
 باب التاء والراء,3014,7,1,0.232249502322495
 باب التاء والزاي,187,0,0,0
 باب التاء والسين [3],326,27,1,8.282208588957054
 باب التاء والطاء,84,0,0,0
 باب التاء والعين,259,0,0,0
 باب التاء والغين,498,0,0,0
 باب التاء والفاء,505,0,0,0
 باب التاء والكاف,383,0,0,0
 باب التاء واللام [1],731,0,0,0
 باب التاء والميم,1753,8,1,0.4563605248146035
 باب التاء والنون,2186,27,2,1.2351326623970724
 باب التاء والواو,2335,14,1,0.5995717344753747
 باب التاء والياء [3],1949,81,3,4.155977424320164
 حرف الثاء,2,0,0,0
 باب الثاء والالف,545,26,1,4.770642201834862
 باب الثاء والباء [5],180,0,0,0
 باب الثاء والعين,385,0,0,0
 باب الثاء والغين [8],134,0,0,0
 باب الثاء والقاف [3],1275,36,1,2.823529411764706
 باب الثاء واللام,369,0,0,0
 باب الثاء والميم,769,0,0,0
 باب الثاء والواو [2],1481,83,2,5.604321404456448
 حرف الجيم,2,0,0,0
 باب الجيم والالف,2812,32,2,1.1379800853485065
 باب الجيم والباء [3],3703,19,1,0.5130974885228193
 باب الجيم والجيم [3],415,0,0,0
 باب الجيم والخاء [1],134,0,0,0
 باب الجيم والدال,1587,21,1,1.3232514177693762
 باب الجيم والذال,559,16,1,2.862254025044723
 باب الجيم والراء,5821,143,5,2.4566225734409897
 باب الجيم والزاي,1020,0,0,0
 باب الجيم والسين,386,32,2,8.290155440414509
 باب الجيم والشين @Auto_ISE@ [1],611,0,0,0.0
 باب الجيم والصاد,418,0,0,0
 باب الجيم والعين,1533,0,0,0
 باب الجيم والغين,141,0,0,0
 باب الجيم والفاء,362,20,1,5.524861878453039
 باب الجيم والكاف,125,0,0,0
 باب الجيم واللام [1],1651,0,0,0
 باب الجيم والميم,7340,210,9,2.861035422343324
 باب الجيم والواو,9349,42,2,0.4492459086533319
 باب الجيم والهاء [2],1134,0,0,0
 باب الجيم واللام الف,826,0,0,0
 باب الجيم والياء [1],2412,16,2,0.6633499170812603
 حرف الحاء,2,0,0,0
 باب الحاء مع الالف,4928,41,2,0.8319805194805194
 باب الحاء والباء,3604,139,5,3.8568257491675917
 باب الحاء والتاء [1],29,0,0,0
 باب الحاء والجيم,2100,200,5,9.523809523809524
 باب الحاء والدال,2598,28,1,1.077752117013087
 باب الحاء والذال,830,160,3,19.27710843373494
 باب الحاء والراء,6633,120,4,1.8091361374943467
 باب الحاء والزاي [2],1300,0,0,0
 باب الحاء والسين,2516,34,1,1.3513513513513513
 باب الحاء والشين [1],233,0,0,0
 باب الحاء والصاد [1],1208,219,3,18.129139072847682
 باب الحاء والضاد [3],1101,0,0,0
 باب الحاء والطاء,779,26,1,3.3376123234916557
 باب الحاء والفاء,1387,52,1,3.749098774333093
 باب الحاء والقاف,170,0,0,0
 باب الحاء والكاف [5],1051,14,1,1.3320647002854424
 باب الحاء واللام [1],1985,0,0,0
 باب الحاء والميم,6886,199,8,2.8899215800174267
 باب الحاء والنون,3888,165,6,4.243827160493828
 باب الحاء والواو [4],1838,81,4,4.4069640914037
 باب الحاء واللام الف [1],1129,16,1,1.41718334809566
 باب الحاء والياء,1922,21,1,1.09261186264308
 حرف الخاء,2,0,0,0
 باب الخاء والالف [1],4595,0,0,0
 باب الخاء والباء,1800,8,1,0.4444444444444444
 باب الخاء والتاء,1095,0,0,0
 باب الخاء والثاء,253,0,0,0
 باب الخاء والجيم,608,0,0,0
 باب الخاء والدال,1190,0,0,0
 باب الخاء والذال [2],65,0,0,0
 باب الخاء والراء,6725,98,6,1.4572490706319703
 باب الخاء والزاي,2879,20,1,0.6946856547412296
 باب الخاء والسين,459,0,0,0.0
 باب الخاء والشين @Auto_ISE@ ,3045,0,0,0.0
 باب الخاء والصاد,487,0,0,0
 باب الخاء والضاد [1],549,0,0,0
 باب الخاء والطاء,2148,34,1,1.5828677839851024
 باب الخاء والفاء,963,0,0,0
 باب الخاء واللام,1920,78,2,4.0625
 باب الخاء والميم [1],1205,0,0,0
 باب الخاء والنون,2221,48,2,2.1611886537595675
 باب الخاء والواو,4149,27,2,0.6507592190889371
 باب الخاء واللام الف,1011,43,1,4.253214638971316
 باب الخاء والياء [2],3228,44,2,1.3630731102850062
 حرف الدال,2,0,0,0
 باب الدال والالف,5393,151,4,2.7999258297793435
 باب الدال والباء [1],2328,25,2,1.0738831615120275
 باب الدال والثاء,42,0,0,0
 باب الدال والجيم,283,0,0,0
 باب الدال والحاء,410,11,1,2.682926829268293
 باب الدال والخاء,679,33,1,4.860088365243005
 باب الدال والراء,2558,0,0,0
 باب الدال والزاي,95,0,0,0
 باب الدال والسين,649,0,0,0
