section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
,21373,703,49,3.2891966499789453
 [مقدمة المءلف],864,0,0,0
 مبتدا الخلق,1022,21,1,2.054794520547945
 حلية ادم,5485,302,12,5.505925250683682
 عدد الرسل,102,23,2,22.54901960784314
 28/ التاريخ,250,39,2,15.6
 ذكر من كان علي Milestone300 دين قبل مبعث النبي صلي الله عليه وسلم [1],554,15,1,2.707581227436823
 انساب العرب [1],619,0,0,0
 قريش,498,0,0,0
 نسب [2] بني هاشم,131,0,0,0
 نسب بني Milestone300 امية,2424,15,1,0.6188118811881188
 ثقيف,1505,44,2,2.9235880398671097
 نسب اليمن,1145,23,2,2.0087336244541487
 نسب الاوس والخزرج,165,0,0,0
 نسب الاوس بن حارثة,843,14,1,1.6607354685646498
 ابو النبي وعمومته وعماته صلي الله عليه وسلم,85,0,0,0
 57/ اسماء عماته صلي الله عليه وسلم,33,0,0,0
 [الامهات [1],103,0,0,0
 اخوال عمومته وابيه صلي الله عليه وسلم,1524,97,4,6.36482939632546
 ذكر عماته صلي الله عليه وسلم,160,0,0,0.0
 ام النبي صلي الله عليه وسلم,80,0,0,0.0
 جدات النبي صلي الله عليه وسلم,217,0,0,0
 جدات النبي لامه صلي الله عليه وسلم,137,0,0,0
 اظار النبي صلي الله عليه وسلم,100,0,0,0
 65/ ازواج النبي صلي الله عليه وسلم,1272,133,7,10.455974842767295
 اولاد النبي صلي الله عليه وسلم,424,34,2,8.018867924528301
 موالي رسول الله صلي الله عليه وسلم,964,63,3,6.535269709543569
 خيل رسول الله ومراكبه صلي الله عليه وسلم,110,0,0,0
 احوال الرسول صلي الله عليه وسلم,430,0,0,0
 غزوة بدر,157,0,0,0
 اسماء المتخلفين عن بدر,133,0,0,0
 اسماء المطعمين من قريش في غزوة ‪@ISB@‬ بدر,66,45,1,68.18181818181817
 عدة من قتل ومن اسر يوم بدر,376,0,0,0
 ذكر من استشهد من المسلمين يوم بدر,710,21,1,2.9577464788732395
 يوم الخندق وما بعده,971,58,3,5.9732234809474765
 ابو ابي بكر وامه,140,0,0,0
 اسلام ابي بكر والاختلاف في ذلك,179,100,2,55.865921787709496
 حلية ابي بكر,35,0,0,0
 بيعة ابي بكر وخلافته ووفاته,323,0,0,0
 سن ابي بكر,111,21,1,18.91891891891892
 ولد ابي بكر لصلبه واعقابهم,495,0,0,0
 موالي ابي بكر وولده [1] رضي الله عنه,437,9,1,2.059496567505721
 ابو عمر وامه واخوه زيد وامه,257,14,1,5.447470817120623
 حلية عمر رضي الله عنه,79,0,0,0
 خلافة عمر بن الخطاب رضي الله عنه,199,0,0,0.0
 سن عمر بن الخطاب رضي الله عنه,84,20,1,23.809523809523807
 ولد عمر بن الخطاب لصلبه واعقابهم,197,0,0,0
 ولد عبد الله بن عمر رضي الله عنهم,506,0,0,0
 موالي عمر بن الخطاب رضي الله عنه,262,0,0,0
 نسب عثمان,45,0,0,0
 ابو عثمان وامه,51,0,0,0
 حلية عثمان واخباره,71,0,0,0
 اذا دعا بالميزان,259,0,0,0
 خلافة عثمان رضي الله عنه,619,0,0,0
 ولد عثمان رضي الله عنه,630,0,0,0
 102/ موالي عثمان رضي الله عنه,66,0,0,0
 نسب علي بن ابي طالب رضي الله عنه,26,0,0,0
 ابوه واخوته واخواته,902,0,0,0
 خلافة علي بن ابي طالب رضي الله عنه,295,0,0,0
 حلية علي وسنه رضي الله عنه,89,0,0,0
 ولد علي رضي الله عنه,144,0,0,0
 بنات علي رضي ‪@ISB@‬ الله عنه,1366,19,2,1.390922401171303
 موالي ال ابي طالب [1],86,0,0,0
 نسب الزبير,286,0,0,0
 حلية الزبير رضي الله عنه,57,11,1,19.298245614035086
 ولد الزبير رضي الله عنه,892,0,0,0
 117/ موالي الزبير واله,117,21,1,17.94871794871795
 نسب طلحة,327,0,0,0
 سن طلحة وحليته رضي الله عنه,137,18,1,13.138686131386862
 ولد طلحة بن عبيد الله [1],529,55,2,10.396975425330812
 موالي طلحة رضي الله عنه,138,0,0,0
 نسب عبد الرحمن بن عوف,205,0,0,0
 حلية عبد الرحمن بن عوف رضي الله عنه,62,0,0,0
 ولد عبد الرحمن بن عوف رضي الله عنه,537,12,1,2.2346368715083798
 نسب سعد,298,0,0,0
 حلية ‪@ISB@‬ سعد رضي الله عنه,44,17,1,38.63636363636363
 ولد سعد,173,16,2,9.248554913294797
 نسب سعيد,303,0,0,0
 حلية سعيد رضي الله عنه,196,0,0,0
 حلية ابي عبيدة رضي الله عنه,156,22,1,14.102564102564102
 حلية عبد الله بن مسعود رضي الله عنه,34,0,0,0
 ولد ‪@ISB@‬ عبد الله بن مسعود رضي الله عنه,116,8,1,6.896551724137931
 عتبة بن مسعود اخو عبد الله بن مسعود Milestone300 رضي الله عنه,13150,792,46,6.022813688212928
 من تاخر موته من الصحابة ‪@ISB@‬ رضي الله عنهم,179,24,2,13.40782122905028
 اسماء المءلفة قلوبهم,98,21,1,21.428571428571427
 اسماء المنافقين,104,0,0,0
 اسماء الثلاثة الذين خلفوا ونزل فيهم القران,18,0,0,0
 175/ اسماء الخلفاء,8008,462,26,5.769230769230769
 المشهورون من الاشراف واصحاب [1] السلطان والخارجين عليهم,4677,388,21,8.295916185589054
 التابعون ومن بعدهم,10071,749,58,7.4371959090457755
 اصحاب الراي,970,156,8,16.082474226804123
