section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
,6,0,0,0
 ما جاء في تفضيل ابي تمام,7,0,0,0
 نسبه,18,0,0,0
 فضله,7625,101,8,1.3245901639344262
 اخبار ابي تمام مع احمد بن ابي دءاد,1562,0,0,0
 اخبار ابي تمام مع خالد بن يزيد الشيباني,758,21,2,2.7704485488126647
 اخبار ابو تمام مع الحسن بن رجاء,1887,53,5,2.808691043985162
 اخبار ابي تمام مع الحسن بن وهب ومحمد بن عبد الملك الزيات ,2518,16,1,0.6354249404289118
 اخبار ابي تمام مع ال طاهر بن الحسين,1441,10,1,0.6939625260235947
 اخبار ابي تمام مع ابي سعيد محمد بن يوسف الثغري الطاءي الحميدي,282,18,1,6.382978723404255
 اخبار ابي تمام مع احمد بن المعتصم,296,0,0,0
 اخبار ابي تمام مع مخلد بن بكار الموصلي,893,0,0,0
 ما روي من معاءب ابي تمام,464,19,2,4.094827586206897
 ما رواه ابو تمام,1326,316,24,23.83107088989442
 صفة ابي تمام واخبار اهله,398,0,0,0
 اخبار لابي تمام متفرقة,817,59,3,7.221542227662178
 وفاة ابي تمام ومبلغ سنه,148,0,0,0
 مراثي ابي تمام,478,0,0,0
