begin	begin2	end	end2	gid	gid2	id	id2	matches	s1	s2	seq	seq2	uid	uid2	bw1	ew1	bw2	ew2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
2	1184	58	1244	-8513222754224368155	-5211760143430319471	GVDB20200120-ara1.completed.ms024	Shia001131Vols-ara1.completed.ms572	50	امر- ان يقاتل الناس حتي يقولوا لا اله الا الله وليس -ال-ا-سل	امرت ان اقاتل الناس حتي يقولوا لا اله الا الله فاذا قالوا ذل	24	572	382502034868481916	6562804670340581628	6900	6911	171312	171312	39	60	83.33333587646484	8	GVDB20200120-ara1.completed	Shia001131Vols-ara1.completed
395	527	682	727	-8513222754224368155	-5211760143430319471	GVDB20200120-ara1.completed.ms031	Shia001131Vols-ara1.completed.ms105	122	ن منها ---في ال----روض -ال--انف والطافه ا-لت-ي و-قف -ال-شكر عليها فليس له --عنها- منصرف واشهد ان لا اله الا الله وحده لا شريك له شهادة توجب من المخاوف امنا وتسهل من الامور ما كان حزنا واشهد ان محمدا عبده الذي جبر من الدين وهنا ورسوله الذي اظهر من المكارم فنونا لا فنا صلي الله عليه وعلي اله----- -الذي-ن اضحت من-ا	ن محمد صلوات الله عليه واله انه قال اذا اردت الوضوء فقل بسم الله وعلي ملة رسول الله صلع -اشهد ان لا اله الا الله وحده --------ل---------------------------ا ------------ش-ر---يك-- --له واشهد ان محم-----د--ا--- -------عبد----ه-- ور---------------------------سو---له ----صلي الله عليه وعلي اله فهذا كالذي ذكرناه من ا	31	105	1748583707125249957	-6021101351375073522	9059	9059	31243	31243	91	313	38.97763442993164	13	GVDB20200120-ara1.completed	Shia001131Vols-ara1.completed
416	716	506	822	-8513222754224368155	-5211760143430319471	GVDB20200120-ara1.completed.ms031	Shia001131Vols-ara1.completed.ms196	62	--والطا-فه التي ---وق-ف ا--لشكر- عليها فليس له -عنها- -منصرف-- واشه-د- ان لا اله الا الله وحده لا شريك له	صلوات الله عليه انه قال اذا حضرت الميت المس-لم قبل ان يموت فلقنه شهادة ان لا اله الا الله وحده لا شريك له	31	196	1748583707125249957	-3011402966539248526	9020	9020	58524	58524	44	107	57.94392395019531	10	GVDB20200120-ara1.completed	Shia001131Vols-ara1.completed
450	428	625	565	-8513222754224368155	-5211760143430319471	GVDB20200120-ara1.completed.ms031	Shia001131Vols-ara1.completed.ms296	76	-له ع--نه--ا- --منصر-----ف- ---واشهد ان لا اله الا الله وحده لا شريك له شهادة توجب من المخاوف امنا وتسهل من الامور ما كان حزنا واشهد ان محمدا عبده ---ال-ذي جبر -من الدين وهنا -ورسوله --الذي --اظهر -من ا	علي ع انه كان اذا برز للسفر قال اشهد ان لا اله ال--ا-------- -ا------ل-----------------ل--------------ه- -------و---------ح-ده واشهد ان محمدا عبده ورسوله الحمد لله الذي هدانا للاسلام وجعلنا من خير امة ا	31	296	1748583707125249957	-5481961432858773049	9038	9038	88530	88530	54	203	37.43842315673828	9	GVDB20200120-ara1.completed	Shia001131Vols-ara1.completed
400	961	581	1099	-8513222754224368155	-5211760143430319471	GVDB20200120-ara1.completed.ms031	Shia001131Vols-ara1.completed.ms410	85	ا ---في الروض الانف والطافه التي و---ق-ف ال-شكر -عليها- فليس له عنها -منصرف-- واشهد ان لا اله الا الله وحده لا شريك له شهادة توجب من المخاوف امنا وتسهل من الامور ما كان حزنا واشهد ان محمدا عبده	ا تشربي ال-دم ولا تفوري علي الفم وانتقلي الي من يزعم ان مع الله الها اخرا فانا اشهد ان لا اله الا الله وحده --------ل---------------------------ا ------------ش-ر---يك-- --له واشهد ان محمدا عبده	31	410	1748583707125249957	542431286524676985	9038	9038	122731	122731	61	194	43.81443405151367	12	GVDB20200120-ara1.completed	Shia001131Vols-ara1.completed
410	904	562	1082	-8513222754224368155	-5211760143430319471	GVDB20200120-ara1.completed.ms031	Shia001131Vols-ara1.completed.ms535	88	ال-انف والطافه التي وقف ال-شكر عل--ي--ه-ا ----فلي--س -ل-ه عن--ها- منص--رف واشهد ان لا اله الا الله وحده لا شريك له شهادة توجب من المخاو-ف ا-منا وتسه-ل --من ا----لامور ما كان حزنا و	اللطيف -الخبير بسم الله الرحمن الرحيم هذا ما اوصي به فلان بن فلان اوصي انه يشهد ان لا اله الا الله وحده لا شريك له -وان محمدا عبده ورسوله ارسله بالهدي ودين الحق لينذر من كان ح-يا و	31	535	1748583707125249957	7342175561293758602	9032	9032	160238	160238	60	181	48.6187858581543	12	GVDB20200120-ara1.completed	Shia001131Vols-ara1.completed
410	461	556	630	-8513222754224368155	-5211760143430319471	GVDB20200120-ara1.completed.ms031	Shia001131Vols-ara1.completed.ms537	82	الان-ف و-الطافه التي -وقف ال-شكر -عل-يها فليس له- عنها منصرف و-اشهد ان لا اله الا الله وحده لا شريك له شهادة توجب من المخاو-ف -ام-نا --و-ت---سه--ل-- --من الامو-ر ما كان-	الدنيا وهو صاءر ال-ي برزخ الموتي والرحيل عن الاهل والاخلاء وهو يشهد ان لا اله الا الله وحده لا شريك له -وان محمدا عبده ورسوله وامينه صلوات الله عليه وعلي اله وعلي اخوانه	31	537	1748583707125249957	4989457686793665632	9031	9031	160834	160834	58	171	47.953216552734375	10	GVDB20200120-ara1.completed	Shia001131Vols-ara1.completed
1430	446	1598	632	-8513222754224368155	-5211760143430319471	GVDB20200120-ara1.completed.ms051	Shia001131Vols-ara1.completed.ms021	108	ر-ه علي ----دفع ال-اعدا-ء وا--شه-د- ان -لا اله الا الله وحده لا شريك له واشهد ان محمدا عبده ورسوله صلي الله عليه وعل-ي اله وصحب-ه -نجو-م ال-اهتدا--ء وا-ءمة ---ا-لاقت-داء الارب-عة الخلفاء و-علي -ال	رته الي ما هاجر اليه والايمان شهادة ان الا اله الا الله وحده لا شريك له و-----ان محمدا عبده ورسوله وان ال-جنة حق والنار حق والبعث حق وان الساعة اتية لا ريب فيها والتصديق -بانبياء ال-ل--ه ورسله وال	51	21	-7919122516947288088	-6504084382943731545	15032	15032	6037	6037	80	196	55.1020393371582	12	GVDB20200120-ara1.completed	Shia001131Vols-ara1.completed
1431	730	1541	860	-8513222754224368155	-5211760143430319471	GVDB20200120-ara1.completed.ms051	Shia001131Vols-ara1.completed.ms022	79	ه- عل-ي د-فع ال--ا-عداء واشه--د --ان لا اله- -ا-لا الله وحده لا شريك ---له و-ا-شهد- -ان محمدا عبده ورسوله صلي الله عليه وعلي اله و	هو الواحد لا اله الا هو وحده لا شريك له الها واحدا احدا صمدا لم يتخذ صاحبة ولا ولدا وان محمدا عبده ورسوله صلي الله عليه وعلي اله و	51	22	-7919122516947288088	1860343402994368412	15024	15024	6328	6328	56	130	60.769229888916016	9	GVDB20200120-ara1.completed	Shia001131Vols-ara1.completed
662	239	760	348	-8513222754224368155	-5211760143430319471	GVDB20200120-ara1.completed.ms051	Shia001131Vols-ara1.completed.ms047	64	ل- ال-له والامر بالمعروف والنهي عن المنكر -وجهاد -اعد--اء ----الله واخذ اموال الله --بحقها وصرفها ف-ي- --مستحقها و	لي الخير والامر بالمعروف والنهي عن المنكر فمن لم توجد فيه صفة الله --عز --وجل التي وصف بها -الامة فكيف يكون منها و	51	47	-7919122516947288088	8606785948060954680	15017	15017	13822	13822	47	114	56.140350341796875	6	GVDB20200120-ara1.completed	Shia001131Vols-ara1.completed
1376	525	1540	705	-8513222754224368155	-5211760143430319471	GVDB20200120-ara1.completed.ms051	Shia001131Vols-ara1.completed.ms105	120	من لدنه سلطا-نا--- نصير -ا احمده علي السرا-ء والضراء ---واس-تنصره -علي دفع -----الاعداء واشهد ان لا اله الا الله وحده لا شريك له واشهد ان محمدا عبده ورسوله صلي الله عليه وعلي اله	بن محمد صلوات الله عليه واله انه قال اذا اردت الوضوء فقل بسم الله وعلي ملة رسول الله صلع اشهد ان لا اله الا الله وحده لا شريك له واشهد ان محمدا عبده ورسوله صلي الله عليه وعلي اله	51	105	-7919122516947288088	-6021101351375073522	15034	15034	31240	31240	89	180	66.66666412353516	20	GVDB20200120-ara1.completed	Shia001131Vols-ara1.completed
