begin	begin2	end	end2	gid	gid2	id	id2	matches	s1	s2	seq	seq2	uid	uid2	bw1	ew1	bw2	ew2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
1183	461	1366	586	-8351899070528524983	-5211760143430319471	JK001330-ara1.completed.ms0001	Shia001131Vols-ara1.completed.ms021	83	ال--زلال- وا--شه-د- ان -لا اله الا الله وحده لا شريك له شهادة لا ينقص قدر ايمانها بعد تاكده ولا يخفض مجد اتقانها بعد تشيده واشهد ان سيدنا محمدا عبده ورسوله -الذي كان لق-و-ل ا-لحق -ا-هلا ---ومن ---جعل بت	اليه والايمان شهادة ان الا اله الا الله وحده --------ل----ا-- ---------شر--ي------------ك-- -ل----------------ه- ----------وا-----ن ------محمدا عبده ورسوله وان الجنة حق والنار حق والبعث حق وان الساعة ات	1	21	2081119088109694816	-6504084382943731545	38	38	6026	6026	63	203	40.88669967651367	9	JK001330-ara1.completed	Shia001131Vols-ara1.completed
1131	655	1360	872	-8351899070528524983	-5211760143430319471	JK001330-ara1.completed.ms0001	Shia001131Vols-ara1.completed.ms022	116	من خلل وان حوي احسن -ال-خلال و-ل--ا من زلل وان طاب مورده ال---زلا-ل و--ا--شهد ا----ن لا اله الا الله وحده لا شريك له شهادة لا ينقص قدر ايمانها بعد تاكده ولا يخفض مجد اتقانها بعد تشيده واشهد ان سيدنا محمدا عبده ورسوله الذي -كان -ل--قو-ل- الحق ا--هلا- ومن	من الايمان فالاقرار والمعرفة والعقد والرضا وا-لتسليم بان الله تبارك وتعالي هو الواحد لا اله الا --هو وحده لا شريك له --ا--لها ---واحدا احدا--- صمد--ا--- -ل-------م-- يتخذ صاحب-ة --ولا و--لد-ا- -وان- محمدا عبده ورسوله صل-ي الله عليه وعلي اله والاقرار بما	1	22	2081119088109694816	1860343402994368412	49	49	6342	6342	80	255	45.490196228027344	12	JK001330-ara1.completed	Shia001131Vols-ara1.completed
1121	533	1356	710	-8351899070528524983	-5211760143430319471	JK001330-ara1.completed.ms0001	Shia001131Vols-ara1.completed.ms105	109	ول-ا- انزه----ه --من خلل وان حوي احسن الخلال -ولا من زلل- و-ان طاب مورده ال-زلال واشهد ان لا اله الا الله وحده لا شريك له شهادة لا ينقص قدر ايمانها بعد تاكده ولا يخفض مجد اتقانها بعد تشيده واشهد ان سيدنا محمدا عبده ورسوله الذي -كان -ل--قو-ل- الحق اهلا	صلوات الله عليه واله انه قال اذا اردت الوضوء فقل بسم الله وعلي ملة -رسول الله صلع اشهد ان لا اله الا الله وحده ل------------ا-- ---------شر--ي------------ك-- -ل----------------ه- ---------و-اشهد ان ------محمدا عبده ورسوله صل-ي الله عليه وعلي ال-ه فهذا	1	105	2081119088109694816	-6021101351375073522	50	50	31239	31239	75	253	43.083003997802734	11	JK001330-ara1.completed	Shia001131Vols-ara1.completed
1193	781	1378	904	-8351899070528524983	-5211760143430319471	JK001330-ara1.completed.ms0001	Shia001131Vols-ara1.completed.ms196	80	شه-د- ان لا اله الا الله وحده لا شريك له شهادة لا ينقص قدر ايمانها بعد تاكده ولا يخفض مجد اتقانها بعد تشيده واشهد ان سيدنا محمدا عبده ورسوله الذي -كان لقول -----ال---ح-ق ا-هلا- ومن -جعل -بتشريعه طرق ال	شهادة ان لا اله الا الله وحده --------ل----ا-- ---------شر--ي------------ك-- -ل----------------ه- ----------وا-----ن ------محمدا عبده ورسوله وعنه ع انه قال يستحب لمن حضر المنازع ان يقرا عند راسه اية ال	1	196	2081119088109694816	-3011402966539248526	38	38	58527	58527	59	201	39.800994873046875	10	JK001330-ara1.completed	Shia001131Vols-ara1.completed
1145	395	1360	556	-8351899070528524983	-5211760143430319471	JK001330-ara1.completed.ms0001	Shia001131Vols-ara1.completed.ms296	96	ي ا--حسن- ال---خلال ولا من--- ----زلل -وان- طاب --مورده ال---زلال واشهد ان لا اله الا الله وحده لا شريك له شهادة لا ينقص قدر ايمانها بعد تاكده ولا يخفض مجد اتقانها بعد تشيده واشهد ان سيدنا محمدا عبده ورسوله ال----------ذي -كان- لقول الحق -اهل-ا ومن	ي المدينة ولم يتلقه لما انصرف وعن علي ع انه كان اذا برز للسفر قال -اشهد ان لا اله الا---------- -ا------ل--------ل----------------ه- وحد-----ه و-ا-----------------------ش--ه-----د ان ------محمدا عبده ورسوله الحمد لله الذي هدانا ل--لاسلام وجعلنا -من	1	296	2081119088109694816	-5481961432858773049	45	45	88534	88534	69	249	38.55421829223633	9	JK001330-ara1.completed	Shia001131Vols-ara1.completed
1113	945	1365	1150	-8351899070528524983	-5211760143430319471	JK001330-ara1.completed.ms0001	Shia001131Vols-ara1.completed.ms410	118	ا وا-نيسا---- ولا انزهه --من خلل --وان حوي احسن الخلال- ولا من -زلل وان --طاب مورده- ا--لزلال واشهد ان لا اله الا الله وحده لا شريك له شهادة لا ينقص قدر ايمانها بعد تاكده ولا يخفض مجد اتقانها بعد تشيده واشهد ان سيدنا محمدا عبده ورسوله -ال--ذي -كان لقول --الحق ----اهلا ومن جع-ل ب	ا تاكلي اللحم ولا تشربي الدم ولا تفوري علي الفم وانتقلي الي من يزعم -ان مع الله الها اخرا فانا اشهد ان لا اله الا الله وحده ل------------ا-- ---------شر--ي------------ك-- -ل----------------ه- ---------و-اشهد ان ------محمدا عبده ورسوله قال علي ع ففعلتها فعوفيت من ساعتي وعن جعفر ب	1	410	2081119088109694816	542431286524676985	53	53	122744	122744	82	279	42.293907165527344	14	JK001330-ara1.completed	Shia001131Vols-ara1.completed
1149	920	1403	1126	-8351899070528524983	-5211760143430319471	JK001330-ara1.completed.ms0001	Shia001131Vols-ara1.completed.ms535	113	سن الخلال ولا من زل---ل وان طاب مو--رده --ا----لزلال -و---ا----شهد ان لا اله الا الله وحده لا شريك له شهادة لا ينقص قدر ايمانها بعد تاكده ولا يخفض مجد اتقانها بعد تشيده واشهد ان سيدنا محمدا عبده ورسوله ا-لذي كا---ن لقول الحق اهلا ومن جعل -بتشريعه طرق-- ال--فل-ا-ح لسال--ك سننه سهلا -صلي	سم ال-ل-ه الرحمن الرحيم هذا ما- اوصي به فلان بن فلان اوصي انه يشهد ان لا اله الا الله وحده --------ل----ا-- ---------شر--ي------------ك-- -ل----------------ه- ----------وا-----ن ------محمدا عبده ورسوله ارسله بالهدي ودين الحق لينذر من كان حيا ويحق القول علي الكافرين اللهم اني اشهدك وكفي	1	535	2081119088109694816	7342175561293758602	52	52	160243	160243	80	287	39.37282180786133	11	JK001330-ara1.completed	Shia001131Vols-ara1.completed
1116	439	1372	646	-8351899070528524983	-5211760143430319471	JK001330-ara1.completed.ms0001	Shia001131Vols-ara1.completed.ms537	112	اني-سا- ولا-- انزهه من خلل وان حوي احسن ال--خلال ولا من زلل وان طاب مورده -ال-زلال و---اشهد ان لا اله الا الله وحده لا شريك له شهادة لا ينقص قدر ايمانها بعد تاكده ولا يخفض مجد اتقانها بعد تشيده واشهد ان سيدنا محمدا عبده ورسوله -ا-لذي --كان -ل--قول-- الحق ا-ه---ل--ا ومن- ---جعل- بتشريعه	ابي طالب لاخر ايامه من الدنيا- وهو صاءر الي برزخ الموتي والرحيل -عن الاهل والاخلاء وهو يشهد ان لا اله الا الله وحده --------ل----ا-- ---------شر--ي------------ك-- -ل----------------ه- ----------وا-----ن ------محمدا عبده ورسوله وامينه صلوات الله عليه وعلي اله وعلي اخوانه المرسلين وذريته	1	537	2081119088109694816	4989457686793665632	53	53	160840	160840	80	287	39.024391174316406	10	JK001330-ara1.completed	Shia001131Vols-ara1.completed
799	20	852	71	-8351899070528524983	-5211760143430319471	JK001330-ara1.completed.ms0008	Shia001131Vols-ara1.completed.ms287	43	--والق-ت--ال حتي يحكم الله بيننا وبينكم وهو خير الحاكمين	ابوا قاتلتهم حتي يحكم الله بيننا -------وهو خير الحاكمين	8	287	6464401573337948278	6265068504665112004	2110	2110	85804	85810	34	58	74.13793182373047	8	JK001330-ara1.completed	Shia001131Vols-ara1.completed
281	1167	390	1291	-8351899070528524983	-5211760143430319471	JK001330-ara1.completed.ms0057	Shia001131Vols-ara1.completed.ms739	71	د بن- ا--لوليد ابن المغيرة بن عبد الله بن عمر بن مخزوم -ال--قرشي المخزومي ابو سليمان -سيف ---الله كذا -لقبه -النبي -صل--ي -ال	د بنت ابي امية -بن المغيرة بن عبد الله بن عمر بن مخزوم ي لما خطب الخ حش ي الحيس طعام يتخذ من اقط وسمن الخبز واللبن والتمر وال	57	739	-6149674883151802349	4472808727107180857	16822	16822	221428	221428	51	125	56.79999923706055	9	JK001330-ara1.completed	Shia001131Vols-ara1.completed
