begin	begin2	end	end2	gid	gid2	id	id2	matches	s1	s2	seq	seq2	uid	uid2	bw1	ew1	bw2	ew2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
196	1026	339	1183	1772412992146626924	7635508410481802022	LMN20200820-ara1.completed.ms01	Shamela0000176-ara1.completed.ms001	88	هم--مهم ال-عا--لية -----نحمده -علي وافر --نعمه ونستزيده من مواد ك-رمه ونشهد ان لا اله الا الله وحده لا شريك له شهادة شاهدة باخلاص م-ا-- له-ا من سر--- وعلانية ونشه-د-	هم كلهم للحساب بين يديه احمده حمدا يليق بجلاله وينبغي-- لعظمته وكماله واشهد ان لا اله الا الله وحده لا شريك له ولا-- -ظهير --ولا- معاون له فيما يريده و-لا وزير شهادة	1	1	5134781673944761771	-619729244154946691	29	29	32	32	63	166	53.012046813964844	9	LMN20200820-ara1.completed	Shamela0000176-ara1.completed
1423	1093	1479	1154	1772412992146626924	7635508410481802022	LMN20200820-ara1.completed.ms10	Shamela0000176-ara1.completed.ms001	48	واشهد ان لا اله الا الله وحده لا شريك له شها--دة توجب م---ن	واشهد ان لا اله الا الله وحده لا شريك له ولا ظهير ولا معاون	10	1	-2824493650250929253	-619729244154946691	2714	2714	15	15	35	61	78.68852233886719	11	LMN20200820-ara1.completed	Shamela0000176-ara1.completed
238	778	308	864	1772412992146626924	7635508410481802022	LMN20200820-ara1.completed.ms10	Shamela0000176-ara1.completed.ms232	58	-الامر بالمعروف والنهي عن المنكر وال-----جها-د في -سبيل ال-ل--ه وا---خذ -اموال ال-له	والامر بالمعروف والنهي عن المنكر والا يخوض احد في احوال السلطان واوامره واسرار الملك	10	232	-2824493650250929253	6192812924470879608	2713	2713	69315	69315	45	86	67.44186401367188	6	LMN20200820-ara1.completed	Shamela0000176-ara1.completed
1170	1355	1294	1519	1772412992146626924	7635508410481802022	LMN20200820-ara1.completed.ms18	Shamela0000176-ara1.completed.ms149	92	ر المباي-عة للا-ما-م بامر الله ابي العباس- احمد امير المءمنين رضي- الله عنه ----ل-----م-ا --كان ----------ي---وم الخميس --ثا-------من المحرم سنة احدي و--ستين و--ستم-ءة	ر اسماعيل ابن القاءم بامر الله ابي ال-قاسم محمد ا-بن الم-هدي- عبيد الله امه ام ولد واسمها درزان ولد بالمهدية يوم الخميس الرابع عشر من المحرم سنة اربع واربعين وثلاثماءة	18	149	2464191880890190652	5759242660738781975	5123	5123	44430	44430	70	168	54.761905670166016	8	LMN20200820-ara1.completed	Shamela0000176-ara1.completed
1250	1065	1338	1171	1772412992146626924	7635508410481802022	LMN20200820-ara1.completed.ms36	Shamela0000176-ara1.completed.ms001	62	ب--ال--وزن--- -----الو--افي ونشهد ان لا اله الا الله وحده لا شريك له شها---دة عبد كثر الله عدده وعدده و-ا	بجلاله وينبغي لعظمته وكماله واشهد ان لا اله الا الله وحده لا شريك له ولا ظهير ولا معاون له فيما يريده ولا	36	1	4908225398117630220	-619729244154946691	10519	10519	22	22	44	106	58.49056625366211	10	LMN20200820-ara1.completed	Shamela0000176-ara1.completed
918	1033	1014	1148	1772412992146626924	7635508410481802022	LMN20200820-ara1.completed.ms90	Shamela0000176-ara1.completed.ms001	66	--حساب --احسابه-م م-ن -الابتداء ب--التخوي-ل وال-ابت----دا-ع واشهد ان لا اله الا الله وحده لا شريك له و--نصلي- علي	للحساب بين يديه احمده حمدا يليق بجلاله وينبغي لعظمته وكماله واشهد ان لا اله الا الله وحده لا شريك له ولا ظهير ولا	90	1	716981025381855714	-619729244154946691	26719	26719	24	24	49	115	57.39130401611328	11	LMN20200820-ara1.completed	Shamela0000176-ara1.completed
