section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
EDITOR|,26,0,0,0
 المجلد الاول,2,0,0,0
EDITOR|,1559,0,0,0
 مقدمة ابن الاثير,2210,0,0,0
 فصل,31,0,0,0
 تفسير القران المجيد لابي اسحاق الثعلبي [1] :,109,51,1,46.788990825688074
 الوسيط @Auto_ISE@ في التفسير ايضا للواحدي [2] :,87,62,1,71.26436781609196
 صحيح محمد بن اسماعيل البخاري [1],124,40,1,32.25806451612903
 صحيح مسلم بن الحجاج [2],107,0,0,0.0
 الموطا لمالك بن انس [4] رواية يحيي بن يحيي [5],95,0,0,0
 الموطا لمالك ايضا رواية القعنبي [1],75,0,0,0
 مسند احمد بن حنبل [2],75,0,0,0
 مسند @Auto_ISE@ ابي ms0015 داود الطيالسي [3],74,63,1,85.13513513513513
 الجامع الكبير للترمذي [4],108,0,0,0.0
 سنن ابي داود السجستاني [1],71,0,0,0
 سنن @Auto_ISE@ ابي عبد الرحمن النساءي [2],82,0,0,0.0
 مسند @Auto_ISE@ ابي يعلي الموصلي [3],53,0,0,0.0
 مغازي ابن اسحاق [4],94,0,0,0.0
 الاحاد والمثاني لابن ابي عاصم [1],88,68,1,77.27272727272727
 طبقات محدثي الموصل,68,0,0,0.0
 مسند المعافي بن عمران [2],86,0,0,0.0
 فصل نذكر فيه من يطلق عليه اسم الصحبة,478,16,1,3.3472803347280333
 محمد رسول الله صلي الله عليه وسلم,794,40,2,5.037783375314862
 ذكر وفاة امه وجده وكفالة عمه ابي طالب له,455,0,0,0
 ذكر تزوج رسول الله صلي الله عليه وسلم خديجة وذكر اولاده,262,7,1,2.6717557251908395
 ذكر بناء الكعبة ووضع رسول الله صلي الله عليه وسلم الحجر الاسود,345,0,0,0
 ذكر المبعث,658,82,4,12.462006079027356
 ذكر وفاة خديجة وابي طالب وذهاب رسول الله صلي الله عليه وسلم الي الطاءف وعوده,297,15,1,5.05050505050505
 ذكر الاسراء,402,58,1,14.427860696517413
 الهجرة الي المدينة,122,0,0,0
 ذكر الحوادث بعد الهجرة,941,77,2,8.182784272051009
 ذكر صفته وشء من اخلاقه صلي الله عليه وسلم,1092,213,4,19.505494505494507
 تفسير غريبه,651,0,0,0
 ذكر جمل من اخلاقه ومعجزاته صلي الله عليه وسلم,275,0,0,0
 واما معجزاته صلي الله عليه وسلم ms0040 فهي اكثر من ان تحصي,210,0,0,0
 ذكر لباسه وسلاحه ودوابه صلي الله عليه وسلم,572,0,0,0
 ذكر اعمامه وعماته صلي الله عليه وسلم,389,0,0,0
 ذكر زوجاته وسراريه صلي الله عليه وسلم,266,12,1,4.511278195488721
 ذكر وفاته ومبلغ عمره صلي الله عليه وسلم,467,48,1,10.278372591006423
 باب الهمزة,2,0,0,0
 باب الهمزة مع الالف وما يثلثهما,255,75,1,29.411764705882355
 باب الهمزة والباء وما يثلثهما,6975,1082,33,15.512544802867383
 باب الهمزة مع الجيم ومع الحاء وما يثلثهما:,1839,135,5,7.3409461663947795
 باب الهمزة مع الدال المهملة ومع الذال المعجمة,697,35,1,5.0215208034433285
 باب الهمزة مع الراء,1701,259,7,15.22633744855967
 باب الهمزة مع الزاي وما يثلثهما,483,23,1,4.761904761904762
 باب الهمزة والسين وما يثلثهما,13761,1862,50,13.530993387108495
 باب الهمزة والشين المعجمة وما يثلثهما,1055,242,5,22.938388625592417
 باب الهمزة والصاد وما يثلثهما,856,87,1,10.163551401869158
 باب الهمزة مع الضاد وما يثلثهما,96,0,0,0
 باب الهمزة مع العين وما يثلثهما,829,78,2,9.408926417370326
 باب الهمزة والغين وما يثلثهما,727,110,2,15.130674002751032
 باب الهمزة والفاء وما يثلثهما,596,66,2,11.073825503355705
 باب الهمزة والقاف وما يثلثهما,1509,234,6,15.50695825049702
 باب الهمزة مع الكاف وما يثلثهما,1321,134,2,10.143830431491295
 باب الهمزة والميم وما يثلثهما,2783,429,12,15.41501976284585
