section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
 [تهذيب الكمال في اسماء الرجال],54,0,0,0
 قالوا في الامام المزي,4,0,0,0
 1- ,35,0,0,0
 2- ,25,0,0,0
 3- ,14,0,0,0
 4- ,15,0,0,0
 5- ,51,0,0,0
 قالوا في التهذيب,3,0,0,0
 1- ,23,0,0,0
 2- ,11,0,0,0
 3- ,24,0,0,0
 4- ,39,0,0,0
 مقدمة المحقق,86,0,0,0
 الفصل الاول,2,0,0,0
 حياة المزي ومكانته العلمية,4,0,0,0
 مصادر ترجمته:,164,0,0,0
 بءة المزي ونشاته,781,0,0,0
 سماعه وشيوخه,1592,0,0,0
 منزلة المزي العلمية,3,0,0,0
 1 ابرز اثاره,483,0,0,0
 2- مناصبه العلمية,495,0,0,0
 3- تلاميذه,262,0,0,0
 4- اراء العلماء فيه,1186,0,0,0
 الفصل الثاني,2,0,0,0
 تهذيب الكمال في اسماء الرجال,129,0,0,0
 1- ,9,0,0,0
 2- ,11,0,0,0
 3- ,49,0,0,0
 4- ,117,0,0,0
 1- ,36,0,0,0
 2- ,25,0,0,0
 3- ,45,0,0,0
 4- ,58,0,0,0
 5- ,231,0,0,0
 1- ,20,0,0,0
 2- ,25,0,0,0
 3- ,115,0,0,0
 التهذيب ليس مختصرا للكمال,177,0,0,0
 تفضيل التهذيب علي الكمال في المحتوي,56,0,0,0
 1- ,4,0,0,0
 2- ,5,0,0,0
 3- ,3,0,0,0
 4- ,4,0,0,0
 5- ,7,0,0,0
 6- ,5,0,0,0
 7- ,2,0,0,0
 8- ,5,0,0,0
 9- ,3,0,0,0
 10- ,10,0,0,0
 11- ,3,0,0,0
 12- ,17,0,0,0
 13- ,7,0,0,0
 14- ,3,0,0,0
 15- ,4,0,0,0
 16- ,11,0,0,0
 17- ,6,0,0,0
 18- ,9,0,0,0
 19- ,92,0,0,0
 1- ,15,0,0,0
 2- ,13,0,0,0
 3- ,6,0,0,0
 4- ,99,0,0,0
 التهذيب ثلاثة اضعاف الكمال,65,0,0,0
 تفضيل التهذيب علي الكمال في التنظيم,790,0,0,0
 الفصل الثالث ,2,0,0,0
 عناية العلماء بتهذيب الكمال,4,0,0,0
 المختصرون والمستدركون,392,0,0,0
 1- ,78,0,0,0
 (2) الكاشف في معرفة من له رواية في الكتب الستة (2) :,273,0,0,0
 3- ,38,0,0,0
 4- ,386,0,0,0
 1- ,17,0,0,0
 2- ,15,0,0,0
 3- ,14,0,0,0
 4- ,16,0,0,0
 5- ,21,0,0,0
 1- ,6,0,0,0
 2- ,39,0,0,0
 3- ,25,0,0,0
 4- ,39,0,0,0
 5- ,22,0,0,0
 6- ,1116,0,0,0
 1- ,22,0,0,0
 2- ,7,0,0,0
 3- ,46,0,0,0
 4- ,75,0,0,0
 1- ,78,0,0,0
 2- ,62,0,0,0
 3- ,576,0,0,0
 الفصل الرابع,883,34,1,3.8505096262740657
 1- ,28,0,0,0
 2- ,25,0,0,0
 3- ,12,0,0,0
 4- ,16,0,0,0
 5- ,475,0,0,0
 رموزبعض الفاظ التحمل:,468,0,0,0
 صيغ بداية الاجزاء وانتهاءها,230,0,0,0
 1- ,39,0,0,0
 2- ,20,0,0,0
 3- ,88,0,0,0
 العناية بضبط النص,122,0,0,0
 اهمية كتب المشتبه في ضبط النص,196,0,0,0
 ضبط النص بالحركات,432,0,0,0
 تعليقاتنا علي النص واهميتها,45,0,0,0
 1- ,46,0,0,0
 2- ,452,0,0,0
 وصف النسخ المعتمدة في هذا المجلد,65,0,0,0
 1- ,223,36,1,16.143497757847534
 2- ,122,0,0,0
 3- ,194,0,0,0
 4- ,700,171,1,24.428571428571427
 1- ,76,0,0,0
 2- ,89,0,0,0
 3- ,109,0,0,0
 4- ,111,0,0,0
 5- ,205,0,0,0
 6- ,95,0,0,0
 7- ,267,141,1,52.80898876404494
 8- ,74,0,0,0
 9- ,71,0,0,0
 10- ,162,0,0,0
 1- ,45,0,0,0
 2- ,52,0,0,0
 3- ,40,0,0,0
 1- ,47,0,0,0
 2- ,82,0,0,0
 1- ,913,100,1,10.952902519167578
 تهذيب الكمال في اسماء الرجال,5,0,0,0
 للحافظ المتقن جمال الدين ابي الحجاج يوسف المزي 654، 742 ه,20,0,0,0.0
 مقدمة المءلف @Auto_ISE@ ,2452,0,0,0.0
 فصل,1753,432,12,24.64346833998859
 فصل,1338,49,3,3.662182361733931
 فصل,1975,113,3,5.721518987341772
 فصل,575,127,3,22.086956521739133
 فصل,377,0,0,0
 فصل,373,0,0,0
 فصل,463,0,0,0
 فصل,646,0,0,0
 فصل,488,0,0,0
 فصل,101,0,0,0
 فصل,685,0,0,0
 فصل,2986,594,4,19.892833221701274
 فصل,558,0,0,0
 فصل,946,0,0,0
 باب الالف,2,0,0,0
 من اسمه احمد,49143,4074,129,8.290092179964594
 المجلد الثاني,2,0,0,0
 من اسمه ابان,371,41,2,11.05121293800539
 ومن الاوهام:,2249,82,5,3.646064917741218
 من اسمه ابراهيم,24558,1642,49,6.686212232266471
 ومن الاوهام:,6377,335,6,5.25325388113533
 ومن الاوهام:,1093,42,2,3.8426349496797805
 من اسمه ابي وابي اللحم (1) وابيض,2152,500,9,23.234200743494423
 من اسمه اجلح واحزاب واحمر واحنف,1622,74,4,4.562268803945746
 من اسمه احوص واخضر واخنس,1022,50,3,4.892367906066536
 من اسمه ادرع وادريس وادم,1667,130,5,7.798440311937613
 من اسمه اربدة وارطاة وارقم,577,40,1,6.932409012131716
 من اسمه ازداد وازرق,354,0,0,0
 من اسمه ازهر,1231,13,1,1.0560519902518277
 من اسمه اسامة,2612,451,11,17.26646248085758
 من اسمه اسباط,793,0,0,0
 من اسمه اسحاق,19683,1708,59,8.67753899303968
 ومن الاوهام:,145,0,0,0
 من اسمه اسد واسراءيل,2938,0,0,0
 من اسمه اسعد واسقع,428,0,0,0
 من اسمه اسلم,493,0,0,0
 من اسمه اسماء,416,28,1,6.730769230769231
 المجلد الثالث,2,0,0,0
 من اسمه اسماعيل,27092,1746,52,6.444706924553374
 ومن الاوهام:,52,0,0,0
 من اسمه اسمر واسود,2191,364,9,16.61341853035144
 من اسمه اسيد,2866,494,11,17.236566643405443
 من اسمه اسير واشتر,22,0,0,0
 من اسمه اشج واشعث,5244,248,10,4.729214340198322
 من اسمه اشهب واشهل,709,30,2,4.231311706629055
 من اسمه اصبغ,1328,24,2,1.8072289156626504
 من اسمه اعين واغر,511,0,0,0
 من اسمه افلت وافلح واقرع,773,6,1,0.7761966364812419
 من اسمه امي وامية,2178,130,2,5.968778696051423
 من اسمه انس,6480,1110,23,17.12962962962963
 من اسمه انيس,198,0,0,0
 من اسمه اهبان,408,55,2,13.480392156862745
 من اسمه اوس,1187,151,2,12.721145745577084
 ومن الاوهام:,75,0,0,0
 من اسمه اياد واياس,8046,920,39,11.4342530449913
 من اسمه ايفع وايمن,1605,301,5,18.753894080996886
 من اسمه ايوب,6127,389,7,6.348947282519994
 ومن Milestone300 الاوهام:,821,119,2,14.494518879415347
 المجلد الرابع,2,0,0,0
 باب الباء,2,0,0,0
 من اسمه باب وباذام وبجالة وبجير,791,259,2,32.743362831858406
 من اسمه بحر وبحير وبختري,1625,322,7,19.815384615384616
 من اسمه بدر وبدل وبديل,792,15,1,1.893939393939394
 من اسمه البراء وبرد وبركة وبرمة,2873,236,6,8.214410024364776
 من اسمه بسام وبسر وبسطام,3464,250,6,7.2170900692840645
 من اسمه بشار وبشر,6856,1114,32,16.248541423570593
 ومن الاوهام:,5217,542,10,10.38911251677209
 من اسمه بشير,2048,73,1,3.564453125
 من اسمه بشير,654,168,3,25.688073394495415
 من اسمه بصرة وبعجة وبقية,1537,32,3,2.081977878985036
 من اسمه بكار وبكر,3066,276,4,9.001956947162427
 ومن الاوهام:,1150,110,3,9.565217391304348
 من اسمه بكير Milestone300,2360,259,5,10.974576271186441
 من اسمه بهز وبهلول وبور,1139,96,1,8.428446005267778
 من اسمه بلاد وبلال,5336,601,16,11.26311844077961
 من اسمه بيان وبيهس,625,9,1,1.44
 باب التاء,2,0,0,0
 من اسمه تبيع وتلب وتليد,2302,780,8,33.883579496090356
 من اسمه تمام وتميم وتوبة,563,21,1,3.7300177619893424
 ومن الاوهام:,1686,236,6,13.997627520759192
 باب الثاء,2,0,0,0
 من اسمه ثابت,6099,663,15,10.870634530250861
 من اسمه ثبات,145,52,2,35.86206896551724
 من اسمه ثعلبة,878,44,1,5.0113895216400905
 ومن الاوهام.,1660,272,8,16.3855421686747
 من اسمه ثواب وثوبان وثور وثوير Milestone300,3024,222,11,7.341269841269842
 باب الجيم,2,0,0,0
 من اسمه جابان وجابر,4152,609,12,14.667630057803468
 ومن الاوهام:,1214,112,2,9.225700164744646
 من اسمه جارود وجارية وجامع,1952,104,3,5.327868852459016
 من اسمه جبارة وجبر وجبريل وجبلة,1286,166,3,12.908242612752721
 من @Auto_ISB@ اسمه جبير,1633,222,3,13.59461114513166
 من اسمه الجراح,1265,13,1,1.0276679841897234
 من اسمه جرهد وجرير وجري,5086,612,21,12.033031852143138
 من اسمه جسر وجعثل وجعد وجعدة,1817,450,6,24.76609796367639
 المجلد الخامس,6,0,0,0
 من اسمه جعفر وجعيل,16078,2854,63,17.750964050255007
 من اسمه جمعة وجمهان وجميع وجميل,1273,114,3,8.955223880597014
 من اسمه جنادة وجندب,1986,289,5,14.551863041289023
 من اسمه جندرة وجندل وجنيد,705,96,2,13.617021276595745
 من اسمه جهضم وجهم,207,0,0,0
 من اسمه جواب وجودان وجون,1062,89,3,8.380414312617702
 من اسمه جويبر وجويرية,1679,238,5,14.175104228707564
 باب الحاء,2,0,0,0
 من اسمه حابس وحاتم وحاجب 990 ق: حابس بن سعد (1) ، ويقال: حابس بن ربيعة ابن المنذر بن سعد بن,4141,575,12,13.885534894952912
 ومن الاوهام. PageV05P216,13426,2865,51,21.33919261135111
 ومن الاوهام:,243,119,1,48.971193415637856
 ومن الاوهام:,11553,1673,37,14.481087163507315
 من اسمه حبيش,389,96,1,24.67866323907455
 من اسمه حجاج,7112,829,21,11.656355455568054
 من اسمه حجر وحجير وحجين وحجية,1962,618,10,31.49847094801223
 من اسمه حدرد وحديج وحدير 1142 بخ د: حدرد بن ابي حدرد ابوخراش السلمي (1) ويقال: الاسلمي (2) ، له,691,108,2,15.629522431259044
 من اسمه حذيفة وحذيم 1145 م 4: حذيفة بن اسيد (1) ، ويقال: ابن امية بن اسيد، ابو سريحة,3354,511,14,15.235539654144306
 من اسمه حر وحرام,746,0,0,0
 من اسمه حرب وحرشف,1945,268,6,13.778920308483292
