section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
,198,0,0,0
 مقدمة,429,0,0,0
 مقدمات وفصول لا بد منها,567,0,0,0
 ............ ,564,0,0,0
 ذكر البحار والانهار,951,0,0,0
 ......... ,2007,65,2,3.2386646736422517
 ذكر الاسامي واختلافها,1262,0,0,0
 ذكر الخصاءص في الاقاليم,722,0,0,0
 ذكر المذاهب والذمة,1189,40,1,3.36417157275021
 ذكر ما عاينت من الاسباب,546,13,1,2.380952380952381
 ذكر المواضع المختلف فيها [1],293,34,3,11.604095563139932
 باب اختصرناه للفقهاء,1322,0,0,0
 ....... ,728,0,0,0
 ذكر اقاليم العالم ومركز القبلة,283,0,0,0
 الاقليم الاول,107,0,0,0
 الاقليم الثاني,78,0,0,0
 الاقليم الثالث,136,0,0,0
 الاقليم الرابع,106,0,0,0
 الاقليم الخامس,74,0,0,0
 الاقليم السادس,102,0,0,0
 الاقليم السابع,684,0,0,0
 جزيرة العرب,4605,158,5,3.4310532030401735
 جمل [1] شءون هذا الاقليم,2829,116,3,4.100388829975256
 ..... ,161,0,0,0
 ...... ,132,0,0,0
 اقليم العراق,2368,59,2,2.491554054054054
 جمل شءون هذا الاقليم,2136,17,1,0.7958801498127341
 اقليم اقور,1234,84,2,6.807131280388978
 جمل شءون هذا الاقليم,1737,0,0,0
 اقليم الشام,5519,128,3,2.3192607356405146
 جمل شءون هذا الاقليم,2898,0,0,0
 اقليم مصر,1753,0,0,0
 جمل شءون هذا الاقليم,100,0,0,0
 اقليم المغرب,2715,34,1,1.2523020257826887
 اقليم المغرب,2999,0,0,0
 جمل شءون هذا الاقليم,1604,0,0,0
 .... ,682,0,0,0
 ..... ,223,0,0,0
 ذكر بادية العرب,588,0,0,0
 ............... ,7,0,0,0
 .............. ,1357,0,0,0
 اقليم المشرق,298,0,0,0
 جانب هيطل,3345,0,0,0
 ذكر جيحون وما عليه,1493,0,0,0
 ذكر المعابر والشعب [3],250,0,0,0
 جانب خراسان,4810,35,1,0.7276507276507277
 جمل شءون هذا الاقليم,5029,0,0,0
 اقليم الديلم,2376,0,0,0
 جمل شءون هذا الاقليم,745,35,1,4.697986577181208
 .... ,1007,0,0,0
 اقليم الرحاب,1006,0,0,0
 جمل شءون هذا الاقليم,150,0,0,0
 ..... ,684,0,0,0
 .... ,14,0,0,0
 ..... ,212,0,0,0
 .... ,3,0,0,0
 .... ,10,0,0,0
 اقليم الجبال,1937,0,0,0
 جمل شءون هذا الاقليم,1350,0,0,0
 اقليم خوزستان,2361,0,0,0
 جمل شءون هذا الاقليم,1264,47,1,3.7183544303797467
 اقليم فارس,3020,0,0,0
 جمل شءون هذا الاقليم,3251,10,1,0.30759766225776686
 اقليم كرمان,1562,0,0,0
 جمل شءون هذا الاقليم,1073,0,0,0
 اقليم السند,1043,0,0,0
 جمل شءون هذا الاقليم,1075,0,0,0
 المفازة التي بين هذه اقاليم,1384,0,0,0
