section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
,1492,721,22,48.32439678284182
 ( سءل عن فضاءل ابي بكر الصديق رحمة الله ms005 عليه ورضوانه ),923,265,9,28.710725893824485
 سءل عن قول علي بن ابي طالب وغيره @Auto_ISB@ خير هذه الامة بعد نبيها ابو بكر وعمر,1506,617,21,40.96945551128818
 قوله صلي الله عليه وسلم لو كنت متخذا من الناس خليلا لاتخذت ابا بكر خليلا,775,313,11,40.38709677419355
 قوله صلي الله عليه وسلم مروا ابا بكر فليصل بالناس,943,457,9,48.46235418875928
 ( بقية قوله مروا ابا بكر يصلي بالناس ),11104,3275,123,29.493876080691646
 ( ان اول من اسلم ابو بكر ),1082,494,16,45.65619223659889
 ( ما روي ان ابا بكر جاء ليستاذن فقال النبي صلي الله عليه وسلم اءذن,1496,322,9,21.524064171122994
 ( فضاءل امير المءمنين عمر بن الخطاب رضي الله عنه ),4094,1646,57,40.205178309721546
 ( اسلام عمر بن الخطاب رضي الله عنه ),4677,749,25,16.014539234552064
 ( باب خير هذه الامة بعد نبيها ),5061,1860,71,36.75163011262597
 ( ومن فضاءل عمر بن الخطاب من حديث ابي بكر بن مالك عن مشاءخه غير,14923,4618,158,30.9455203377337
 ( فضاءل عثمان بن عفان رضي الله عنه ),9110,2250,89,24.69813391877058
 ( ومن فضاءل عثمان من حديث ابي بكر بن مالك عن شيوخه سوي عبد الله بن,4309,1200,44,27.84868879090276
 ( اخيار امير المءمنين علي بن ms205 ابي طالب وزهده رضوان الله عليه ),2605,992,42,38.08061420345489
 ( نسب امير المءمنين علي بن ابي طالب رضي الله عنه ),133,44,2,33.08270676691729
 ( اسم امه ونسبها ),672,243,9,36.160714285714285
 ( فضاءل علي عليه السلام ),6275,2246,86,35.79282868525897
 ( ومن فضاءل علي رضي الله عنه من حديث ابي بكر بن مالك عن شيوخه غير,16614,5365,172,32.292042855423134
 ( فضاءل عبد الرحمن بن عوف رضي الله عنه ),702,282,11,40.17094017094017
 ( فضاءل الزبير بن العوام ms295 رضي الله عنه ),833,339,16,40.69627851140456
 ( فضاءل ابي عبيدة بن الجراح رضي الله عنه ),699,183,8,26.180257510729614
 ( فضاءل طلحة بن عبيد الله رضي الله عنه ),829,269,13,32.448733413751505
 ( فضاءل سعد بن ابي وقاص رضي الله عنه ),888,402,18,45.27027027027027
 ( فضاءل فاطمة بنت رسول الله صلي الله عليه وسلم ),2019,653,24,32.34274393263992
 ( فضاءل الحسن والحسين رضي الله عنهما ),3678,1475,58,40.103317020119626
 ( فضاءل الانصار رضي الله عنهم ),3685,1484,59,40.27137042062415
 ( فضاءل خالد بن الوليد رحمه الله ),493,248,9,50.30425963488844
 ( فضاءل سعد بن معاذ رحمه الله ),1460,374,15,25.616438356164384
 ( فضاءل حارثة بن النعمان رضي الله عنه ),134,49,2,36.56716417910448
 ( فضاءل صهيب رضي الله عنه ),81,17,1,20.98765432098765
 ( فضاءل العرب ),863,237,11,27.46234067207416
 ( فضاءل اسامة بن زيد رضي الله عنه ),477,163,8,34.17190775681342
 ( @Auto_ISB@ فضاءل عبد الله بن مسعود رضي الله عنه ),1033,407,19,39.399806389157796
 ( @Auto_ISB@ فضاءل عبد الله بن عباس رضي الله عنهما ),262,181,6,69.08396946564885
 ( فضاءل خديجة وغيرها ),1611,849,29,52.7001862197393
 ( فضاءل عمار بن ياسر رضي الله عنه ),479,193,10,40.292275574112736
 ( فضاءل اهل اليمن ),919,470,17,51.142546245919476
 ( فضاءل عاءشة ام المءمنين رضي الله عنها وغير ذلك في اهل اليمن ),2213,747,35,33.75508359692725
 ( فضاءل بني غفار واسلم وغيرهم ),1191,595,26,49.95801847187238
 ( فضاءل جعفر بن ابي طالب رضي الله عنه ),178,65,3,36.51685393258427
 ( فضاءل جرير بن عبد الله رضي الله عنه ),362,108,5,29.83425414364641
 ( @Auto_ISB@ فضاءل عبد الله بن عمر رضي الله عنهما ),228,99,5,43.42105263157895
 ( فضاءل قوم شتي من اهل الشام ),1251,554,21,44.284572342126296
 ( فضاءل اصحاب النبي صلي الله عليه وسلم ),578,286,12,49.48096885813148
 ( فضاءل عمرو بن العاص رضي الله عنه ),305,180,5,59.01639344262295
 ( فضاءل معاوية بن ابي سفيان رضي الله عنهما ),162,75,2,46.2962962962963
 ( فضاءل ابي الفضل العباس بن عبد المطلب عم رسول الله صلي الله عليه,5661,1786,66,31.54919625507861
 ( فضاءل عبد الله بن عباس رضي الله عنه ),6380,2500,100,39.18495297805642
