section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
EDITOR|,215,0,0,0
 [الجزء الاول],2,0,0,0
EDITOR|,988,0,0,0
 المقدمة,581,0,0,0
 [صورة الارض],3393,0,0,0
 [ديار العرب],5896,0,0,0
 [بحر فارس],4493,0,0,0
 [المغرب],11904,10,1,0.08400537634408602
 [الاندلس],2318,0,0,0
 [صقليه],3514,0,0,0
 [مصر],8027,0,0,0
 [الشام],5680,9,1,0.15845070422535212
 [بحر الروم],3364,0,0,0
 [الجزيرة],5752,0,0,0
 [العراق],3922,18,1,0.4589495155532891
 الجزء الثاني,2,0,0,0
 [خوزستان],2322,16,1,0.6890611541774333
 [فارس],9669,9,1,0.09308098045299411
 [كرمان],2042,0,0,0
 [السند],2800,0,0,0
 [ارمينيه واذربيجان والران],5402,8,1,0.1480932987782303
 [الجبال],3605,0,0,0
 [الديلم وطبرستان],2283,0,0,0
 [بحر الخزر],2865,0,0,0
 [مفازة خراسان وفارس],2370,0,0,0
 [سجستان],2973,0,0,0
 [خراسان],7000,0,0,0
 [ما وراء النهر],14385,0,0,0
 [خاتمة الكتاب],421,0,0,0
