section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
,1,0,0,0
 تاريخ بغداد,43,0,0,0
 الجزء الاول,2,0,0,0
 مقدمة المحقق,186,0,0,0
 التعريف بالخطيب البغدادي,3,0,0,0
 اسمه ونسبه ومولده:,60,0,0,0
 نشاته:,488,160,1,32.78688524590164
 رحلاته في طلب العلم:,72,0,0,0
 رحلته الي المدن القريبة من بغداد:,160,0,0,0
 رحلته الي الكوفة والبصرة:,131,0,0,0
 رحلته الاولي الي المشرق:,601,0,0,0
 رحلته الثانية الي المشرق:,245,99,1,40.40816326530612
 استقرار الخطيب ببغداد فترة طويلة:,149,0,0,0
 رحلته الي الشام:,338,0,0,0
 رحلته الي الحجاز:,26,0,0,0
 عودته الي بغداد:,32,0,0,0
 صفات الخطيب البغدادي:,105,0,0,0
 مكانته العلمية وثقافته:,87,0,0,0
 توثيقه:,233,0,0,0
 مصنفات الخطيب البغدادي:,124,22,1,17.741935483870968
 في علم الحديث:,3,0,0,0
 1- ,1,0,0,0
 2- ,7,0,0,0
 3- ,8,0,0,0
 4- ,2,0,0,0
 5- ,9,0,0,0
 6- ,7,0,0,0
 7- ,7,0,0,0
 8- ,8,0,0,0
 9- ,16,0,0,0
 10- ,10,0,0,0
 11- ,2,0,0,0
 12- ,9,0,0,0
 13- ,4,0,0,0
 14- ,7,0,0,0
 15- ,4,0,0,0
 16- ,16,0,0,0
 17- ,4,0,0,0
 18- ,4,0,0,0
 في الاحاديث المخرجة:,3,0,0,0
 19- ,3,0,0,0
 20- ,11,0,0,0
 21- ,10,0,0,0
 22- ,8,0,0,0
 23- ,10,0,0,0
 24- ,22,0,0,0
 25- ,9,0,0,0
 26- ,13,0,0,0
 27- ,12,0,0,0
 28- ,7,0,0,0
 في مصطلح الحديث:,3,0,0,0
 29- ,4,0,0,0
 30- ,8,0,0,0
 31- ,3,0,0,0
 32- ,6,0,0,0
 في اداب المحدث:,3,0,0,0
 33- ,3,0,0,0
 34- ,3,0,0,0
 35- ,3,0,0,0
 36- ,4,0,0,0
 37- ,2,0,0,0
 38- ,5,0,0,0
 في علم رجال الحديث:,4,0,0,0
 39- ,7,0,0,0
 40- ,4,0,0,0
 41- ,16,0,0,0
 42- ,8,0,0,0
 43- ,5,0,0,0
 44- ,5,0,0,0
 45- ,7,0,0,0
 46- ,7,0,0,0
 47- ,6,0,0,0
 48- ,12,0,0,0
 49- ,5,0,0,0
 50- ,6,0,0,0
 51- ,7,0,0,0
 52- ,3,0,0,0
 53- ,7,0,0,0
 54- ,5,0,0,0
 55- ,14,0,0,0
 56- ,9,0,0,0
 57- ,7,0,0,0
 58- ,2,0,0,0
 59- ,13,0,0,0
 60- ,5,0,0,0
 في التاريخ:,2,0,0,0
 61- ,6,0,0,0
 62- ,2,0,0,0
 63- ,4,0,0,0
 في العقاءد:,2,0,0,0
 64- ,4,0,0,0
 65- ,6,0,0,0
 في اصول الفقه:,3,0,0,0
 66- ,2,0,0,0
 67- ,7,0,0,0
