section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
 [شرح الموطا],39,0,0,0
 كتاب وقوت الصلاة,6322,140,5,2.2144890857323634
 شرح حديث: ((من ادرك ركعة من الصبح قبل ان تطلع الشمس فقد ادرك الصبح، ومن ادرك ركعة من العصر قبل ان تغرب الشمس فقد ادرك العصر)),1206,0,0,0
" شرح حديث: عن مالك عن نافع مولي عبد الله بن عمر ان عمر بن الخطاب كتب الي عماله: ""ان اهم امركم عندي الصلاة فمن حفظها وحافظ عليها حفظ دينه، ومن ضيعها فهو لما سواها اضيع، ثم كتب ان صلوا الظهر اذا كان الفء ذراعا الي ان يكون ظل احدكم مثله، والعصر والشمس مرتفعة بيضاء نقية قدر ما يسير الراكب فرسخين او ثلاثة قبل غروب الشمس، والمغرب اذا غربت الشمس، والعشاء اذا غاب الشفق الي ثلث الليل، فمن نام فلا نامت عينه، فمن نام فلا نامت عينه، فمن نام فلا نامت عينه، والصبح والنجوم بادية مشتبكة"".",754,0,0,0
" شرح حديث: ""عن مالك عن عمه ابي سهيل عن ابيه ان عمر بن الخطاب كتب الي ابي موسي: ""ان صل الظهر اذا زاغت الشمس، والعصر والشمس بيضاء نقية، قبل ان يدخلها صفرة، والمغرب اذا غربت الشمس، واخر العشاء ما لم تنم، وصل الصبح والنجوم بادية مشتبكة، واقرا فيها بسورتين طويلتين من المفصل"".",564,0,0,0
" شرح حديث: ""عن مالك عن هشام بن عروة عن ابيه ان عمر بن الخطاب كتب الي ابي موسي الاشعري: ""ان صل العصر والشمس بيضاء نقية قدر ما يسير الراكب ثلاثة فراسخ، وان صل العشاء ما بينك وبين ثلث الليل، فان اخرت فالي شطر الليل، ولا تكن من الغافلين"".",357,10,1,2.801120448179272
" شرح حديث: ""عن مالك عن يزيد بن زياد عن عبد الله بن رافع مولي ام سلمة زوج النبي -صلي الله عليه وسلم- انه سال ابا هريرة عن وقت الصلاة فقال ابو هريرة: ""انا اخبرك صل الظهر اذا كان ظلك مثلك، والعصر اذا كان ظلك مثليك، والمغرب اذا غربت الشمس، والعشاء ما بينك وبين ثلث الليل، وصل الصبح بغبش، يعني ms0031 الغلس"".",437,0,0,0
" شرح حديث: ""عن مالك @Auto_ISB@ عن اسحق بن عبد الله بن ابي طلحة عن انس بن مالك انه قال: ""كنا @Auto_ISE@ نصلي العصر ثم يخرج الانسان الي بني عمرو بن عوف فيجدهم يصلون العصر"".",278,53,3,19.06474820143885
" @Auto_ISB@ شرح حديث: ""عن مالك عن ابن شهاب عن انس بن مالك انه قال: ""كنا @Auto_ISE@ نصلي العصر ثم يذهب الذاهب الي قباء فياتيهم والشمس مرتفعة"".",179,26,2,14.52513966480447
" شرح حديث: ""عن مالك عن ربيعة بن ابي عبد الرحمن عن القاسم بن محمد انه قال: ""ما ادركت الناس الا وهم يصلون الظهر بعشي"".",234,0,0,0
 كتاب وقوت الصلاة (2),81,0,0,0
 باب وقت الجمعة:,1115,13,1,1.1659192825112108
" شرح حديث: ""عن مالك عن عمرو بن يحيي المازني عن ابن ابي سليط ان عثمان بن عفان صلي الجمعة بالمدينة، وصلي العصر بملل، قال مالك: ""وذلك للتهجير وسرعة السير"".",204,0,0,0
 شرح: باب من ادرك ركعة من الصلاة:,769,17,1,2.2106631989596877
" شرح حديث: ""عن مالك عن نافع ان عبد الله بن عمر بن الخطاب كان يقول: ""اذا فاتتك الركعة فقد فاتتك السجدة"".",427,0,0,0
" شرح حديث: ""عن مالك انه بلغه ان عبد الله بن عمر وزيد بن ثابت كانا يقولان: ""من ادرك الركعة فقد ادرك السجدة"".",571,0,0,0
" شرح حديث: ""عن مالك انه بلغه ان ابا هريرة كان يقول: ""من ادرك الركعة فقد ادرك السجدة، ومن فاته قراءة ام القران فقد فاته خير كثير"".",409,0,0,0
 شرح: باب: ما جاء في دلوك الشمس وغسق الليل:,221,0,0,0
" شرح حديث: "" @Auto_ISB@ عن مالك عن داود بن الحصين قال: اخبرني مخبر ان عبد الله بن عباس كان @Auto_ISE@ يقول: ""دلوك الشمس اذا فاء الفء، وغسق الليل اجتماع الليل وظلمته""",658,45,3,6.838905775075988
 شرح: باب: جامع الوقوت:,605,0,0,0
" شرح حديث: ""عن مالك عن يحيي بن سعيد ان عمر بن الخطاب انصرف من صلاة العصر فلقي رجلا لم يشهد العصر فقال عمر: ""ما حبسك عن صلاة العصر؟ "" فذكر له الرجل عذرا، فقال عمر: ""طففت"" قال يحيي: قال مالك: ""ويقال: لكل شء وفاء وتطفيف"".",2234,41,2,1.8352730528200536
" شرح حديث: ""عن مالك عن نافع ان عبد الله بن عمر اغمي عليه فذهب عقله فلم يقض الصلاة، قال مالك: ""وذلك فيما نري -والله اعلم- ان الوقت قد ذهب، فاما من افاق في الوقت فانه يصلي"".",1463,0,0,0
 شرح: باب: النوم عن الصلاة:,2177,0,0,0
 كتاب وقوت الصلاة (3),3,0,0,0
 شرح باب: النهي عن الصلاة في الهاجرة، ,482,0,0,0
 شرح باب: النهي عن الصلاة في الهاجرة:,1035,37,2,3.5748792270531404
 شرح: باب النهي عن دخول المسجد بريح الثوم وتغطية الفم:,1876,0,0,0
 كتاب الطهارة,17,0,0,0
 كتاب الطهارة:,2,0,0,0
 باب العمل في الوضوء:,368,0,0,0
 باب العمل في الوضوء:,4906,67,5,1.3656746840603342
 باب: وضوء الناءم اذا قام الي الصلاة,1726,24,2,1.3904982618771726
 كتاب الطهارة (6),58,0,0,0
 باب: جامع الوضوء,7483,159,10,2.1248162501670453
 باب: ما جاء في المسح بالراس والاذنين,2590,0,0,0
 كتاب الطهارة (7),1383,0,0,0
 باب: ما جاء في المسح علي الخفين,3755,17,2,0.4527296937416778
 باب: العمل في المسح علي الخفين,521,0,0,0
 باب: ما جاء من الرعاف,247,0,0,0
 .... ,71,0,0,0
 .... ,460,0,0,0
 باب: العمل في الرعاف,362,0,0,0
 باب: العمل فيمن غلبه الدم من جرح او رعاف,1103,0,0,0
 .... ,265,0,0,0
 باب: الوضوء من المذي,1317,35,2,2.6575550493545936
 باب: الرخصة في ترك الوضوء من المذي,470,11,1,2.3404255319148937
 كتاب الطهارة (8),1793,0,0,0
 .... ,442,0,0,0.0
 باب: الوضوء من مس الفرج,2237,108,6,4.827894501564596
 باب: الوضوء من قبلة الرجل امراته,1442,66,3,4.5769764216366156
 باب: العمل في غسل الجنابة,1405,36,2,2.5622775800711746
 .... ,402,0,0,0
 باب: واجب الغسل اذا التقي الختانان,1918,28,2,1.4598540145985401
 باب: وضوء الجنب اذا اراد ان ينام او يطعم قبل ان يغتسل,610,17,1,2.7868852459016393
 .... ,243,18,1,7.4074074074074066
 كتاب الطهارة (9),1167,8,1,0.6855184233076265
 باب: اعادة الجنب الصلاة,408,0,0,0
 باب: اعادة الجنب الصلاة,3092,12,1,0.38809831824062097
 باب: غسل المراة اذا رات في المنام مثلما يري الرجل,1579,67,3,4.243191893603546
 باب: جامع غسل الجنابة,1343,0,0,0
 هذا باب: في التيمم,2520,65,3,2.579365079365079
 كتاب الطهارة (10),346,0,0,0
 .... ,844,11,1,1.3033175355450237
 باب: العمل في التيمم,962,0,0,0
 باب: تيمم الجنب,1332,0,0,0
 باب: ما يحل للرجل من امراته وهي حاءض,1428,22,2,1.5406162464985995
 باب: طهر الحاءض,931,42,2,4.511278195488721
 باب: جامع الحيضة,799,0,0,0
 .... ,2092,53,3,2.5334608030592736
 كتاب الطهارة (11),2660,0,0,0.0
 باب: المستحاضة,865,48,3,5.5491329479768785
 .... ,2180,131,6,6.009174311926606
 باب: ما جاء في بول الصبي,1132,61,3,5.3886925795053005
 باب: ما جاء في البول قاءما وغيره,1463,23,2,1.5721120984278878
 باب: ما جاء في السواك,1744,72,4,4.128440366972478
 كتاب الصلاة,3,0,0,0
 : كتاب الصلاة: باب: ما جاء في النداء للصلاة، ,44,0,0,0
 كتاب الصلاة: ,2,0,0,0
 باب: ما جاء في النداء للصلاة:,1075,90,4,8.372093023255815
 باب: ما جاء في النداء للصلاة:,8259,115,7,1.3924203898777092
 باب: النداء في السفر وعلي غير وضوء:,1089,0,0,0
 كتاب الصلاة (2),3,0,0,0
 : باب: قدر السحور من النداء، ,1116,14,1,1.2544802867383513
 باب: قدر السحور من النداء:,1542,77,3,4.993514915693904
 باب: افتتاح الصلاة:,3313,144,8,4.3465137337760344
 باب: القراءة في المغرب والعشاء:,1533,162,8,10.567514677103718
 باب: العمل في القراءة:,3369,57,3,1.6918967052537845
 كتاب الصلاة (3),3,0,0,0
 : باب: القراءة في الصبح، ,1274,15,1,1.1773940345368918
 باب: القراءة في الصبح:,1213,48,3,3.9571310799670236
 باب: ما جاء في ام القران:,1935,10,1,0.516795865633075
 باب: القراءة خلف الامام فيما لا يجهر فيه بالقراءة:,1378,42,4,3.0478955007256894
 باب: ترك القراءة خلف الامام فيما جهر فيه:,872,8,1,0.9174311926605505
 باب: ما جاء في التامين خلف الامام:,3897,162,7,4.157043879907621
 كتاب الصلاة (4),10,0,0,0
 باب: التشهد في الصلاة، ,59,0,0,0
 باب: العمل في الجلوس في الصلاة:,2424,24,2,0.9900990099009901
