section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
 [مقدمة],65749,18537,232,28.19358469330332
 فصل,2611,0,0,0
 ذكر خروج السلطان الاعظم علاء الدين خوارزمشاه في عساكره وذلك في سنة,119,0,0,0
 ذكر قصد القان الاعظم الطاغية الاكبر السلطان جنكزخان امهات مداءن,2601,0,0,0
 الطبقة الاولي,39869,2475,62,6.207830645363566
 الطبقة الثانية,125398,6214,167,4.955421936554012
 الطبقة الرابعة فيمن توفي بين الاربعماءة والخمسماءة,128473,5104,128,3.9728191915811104
 الطبقة الخامسة من اصحاب الامام المطلبي ابي عبد الله الشافعي رضي الله,57288,1385,31,2.417609272447982
 بقية الطبقة الخامسة فيمن توفي بين الخمسماءة والستماءة,56764,747,27,1.315974913677683
 الطبقة السادسة فيمن توفي بين الستماءة والسبعماءة,64380,1560,50,2.423112767940354
 الطبقة السابعة فيمن توفي بعد السبعماءة,62687,2375,39,3.7886643163654345
 بقية الطبقة السابعة فيمن توفي بعد السبعماءة,62442,1914,39,3.0652445469395597
