section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
 [المقدمة] ,628,0,0,0
 (الطبقة الاولي) tab01 ,2,0,0,0
 (الحوادث) ,1,0,0,0
 -السنة الاولي من الهجرة ,2479,43,3,1.7345703912868091
 -سنة اثنتين ,15141,943,46,6.22812231688792
 قصة النجاشي ,2112,69,4,3.2670454545454546
 -ثم دخلت سنة ثلاث ,15264,903,54,5.915880503144654
 -السنة الرابعة ,4990,323,15,6.472945891783567
 -السنة الخامسة ,14467,1011,61,6.988318241515172
 -سنة ست من الهجرة ,12418,860,50,6.925430826220003
 -السنة السابعة ,11077,963,53,8.693689627155367
 -ثم دخلت سنة ثمان من الهجرة ,27045,2062,111,7.624329820669256
 -السنة التاسعة ,9414,476,27,5.056299128956873
 -السنة العاشرة ,6555,404,24,6.16323417238749
 -سنة احدي عشرة ,105252,9687,480,9.203625584311938
 -سنة اثنتي عشرة ,3171,99,5,3.122043519394513
 -سنة ثلاث عشرة ,4893,143,9,2.9225424075209485
 -سنة اربع عشرة ,1997,0,0,0
 -سنة خمس عشرة ,2164,52,3,2.4029574861367835
 -سنة ست عشرة ,991,33,2,3.3299697275479314
 -سنة سبع عشرة ,268,35,2,13.059701492537313
 -سنة ثماني عشرة ,1432,9,1,0.6284916201117319
 -سنة تسع عشرة ,621,6,1,0.966183574879227
 -سنة عشرين PageV02P110 ,2724,121,8,4.441997063142438
 -سنة احدي وعشرين ,1945,133,7,6.838046272493574
 -سنة اثنتين وعشرين ,1303,56,2,4.297774366845741
 -سنة ثلاث وعشرين ,7589,225,16,2.9648174990117275
 -سنة اربع وعشرين PageV02P169 ,1036,0,0,0
 -سنة خمس وعشرين ,190,0,0,0
 -سنة ست وعشرين ,94,0,0,0
 -سنة سبع وعشرين ,767,28,2,3.650586701434159
 -سنة ثمان وعشرين ,169,0,0,0
 -سنة تسع وعشرين ,510,0,0,0
 -سنة ثلاثين ,3305,144,6,4.357034795763994
 الطبقة الرابعة 31 - 40 ه PageV02P197 tab04 ,3,0,0,0
 -ثم دخلت سنة احدي وثلاثين ,898,81,4,9.020044543429844
 -سنة اثنتين وثلاثين ,5139,344,22,6.693909320879548
 -سنة ثلاث وثلاثين ,466,0,0,0
 -سنة اربع وثلاثين ,799,30,2,3.754693366708386
 -سنة خمس وثلاثين ,9028,220,15,2.4368630926007975
 -سنة ست وثلاثين PageV02P270 ,6876,366,21,5.322862129144852
 -سنة سبع وثلاثين PageV02P301 ,7421,586,28,7.896509904325563
