section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
EDITOR|,2967,0,0,0
 جزيرة العرب,2,0,0,0
 الابوا,13,0,0,0
 ايلة,118,0,0,0
 تدمر,33,0,0,0
 تيماء,39,0,0,0
 جرش,21,0,0,0
 الجماء,23,0,0,0
 خيوان,18,0,0,0
 ذات عرق,12,0,0,0
 زبيد,12,0,0,0
 السرين,15,0,0,0
 الشبا,27,0,0,0
 شبام (قصبة حضرموت),22,0,0,0
 صحار (قصبة عمان),34,0,0,0
 صعدة,55,0,0,0
 صنعاء,16,0,0,0
 عسفان,32,0,0,0
 فيد,24,0,0,0
 قرن,26,0,0,0
 هجر,12,0,0,0
 الهماء,8,0,0,0
 اليمامة,12,0,0,0
 ديار مصر,2,0,0,0
 ابوتيج,23,0,0,0
 ارمنت,12,0,0,0
 الاشتوم,69,0,0,0
 بنا,32,0,0,0
 بنها,31,0,0,0
 تنيس,119,0,0,0
 الجفار,175,0,0,0
 دمياط,111,0,0,0
 رشيد,26,0,0,0
 سندفا,12,0,0,0
 شطا,32,0,0,0
 طنتثنا,34,0,0,0
 العريش,108,0,0,0
 العلاقي,29,0,0,0
 الفرما:,111,0,0,0
 الفيوم,10,0,0,0
 القس,62,0,0,0
 القلزم,27,0,0,0
 مدينة مصر,29,0,0,0
 مشتول,26,0,0,0
 ولاة مصر,412,0,0,0
 بلاد المغرب,2,0,0,0
 اطرابلس الغرب,8,0,0,0
 اودغست,184,0,0,0
 برقة,73,0,0,0
 بنزرت,37,0,0,0
 بونة,35,0,0,0
 تاهرت,70,0,0,0
 تونس,45,0,0,0
 زويلة,14,0,0,0
 سوسة,28,0,0,0
 طبنة,15,0,0,0
 غذامس,42,0,0,0
 قابس,16,0,0,0
 القيروان,51,0,0,0
 المسيلة,24,0,0,0
 مرماجنة,7,0,0,0
 بلاد السودان,2,0,0,0
 اكسنتلا,100,0,0,0
 زغاوة,196,0,0,0
 كوكو,95,0,0,0
 جزيرة الاندلس,2,0,0,0
 سمورة,15,0,0,0
 شنتياقو,17,0,0,0
 ليون,47,0,0,0
 الجانب الشمالي من الارض,4,0,0,0
 ارطنوج,9,0,0,0
 بلاد البلغار,104,0,0,0
 جبل القيتق,123,0,0,0
 رومية,19,0,0,0
 قسطنطينية,66,0,0,0
 ذكر الشام,2,0,0,0
 اذرعات,86,0,0,0
 ارسوف,33,0,0,0
 اريحا,53,0,0,0
 افامية,21,0,0,0
 انطاكية,263,0,0,0
 بالس,37,0,0,0
 بانياس,78,0,0,0
 بصري,37,0,0,0
 بعلبك,55,0,0,0
 بغراس,42,0,0,0
 بلنياس,14,0,0,0
 بيت المقدس,18,0,0,0
 صفة بيت المقدس,1372,0,0,0
 مسجد ابراهيم الخليل,77,0,0,0
 بيروت,48,0,0,0
 جبلة,27,0,0,0
 حلب,374,0,0,0
 حمص,54,0,0,0
 دمشق,772,0,0,0
 رفح,83,0,0,0
 الرملة,69,0,0,0
 سليمة,14,0,0,0
 سيسية (سيس),23,0,0,0
 شيزر,48,0,0,0
 صيدا,67,0,0,0
 طبرية,43,0,0,0
 طرابلس,21,0,0,0
 طرسوس,510,0,0,0
 عرقة,42,0,0,0
 عسقلان,36,0,0,0
 عكا,32,0,0,0
 عمتا,25,0,0,0
 عمواس,17,0,0,0
 عين زربة,13,0,0,0
 غزة,56,0,0,0
 قيسارية,25,0,0,0
 كفر طاب,22,0,0,0
 اللاذقية,35,0,0,0
 ماب [مءاب],14,0,0,0
 مرعش,21,0,0,0
 المصيصة,84,0,0,0
 معرة النعمان,18,0,0,0
 معرة مصرين,36,0,0,0
 مءتة,22,0,0,0
 نابلس,72,0,0,0
 نهر ابي فطرس,158,0,0,0
 الهارونية,21,0,0,0
 ذكر الجزيرة بين دجلة والفرات,5,0,0,0
 امد,32,0,0,0
 برقعيد,29,0,0,0
 بلد,12,0,0,0
 تل اعفر,18,0,0,0
 الحديثة,19,0,0,0
 الرها,22,0,0,0
 حران,30,0,0,0
 راس عين,23,0,0,0
 السن,22,0,0,0
 قرقيسيا,27,0,0,0
 ماكسين,16,0,0,0
 نصيبين,13,0,0,0
 ذكر العراق,23,0,0,0
 اقر,24,0,0,0
 البردان,17,0,0,0
 جلولا,11,0,0,0
 الحيرة,45,0,0,0
 خانقين,36,0,0,0
 الدسكرة,21,0,0,0
 سر من راي,117,0,0,0
 صرصر,16,0,0,0
 عكبرا,11,0,0,0
 عين جمل,21,0,0,0
 عين صيد,13,0,0,0
 فم الصلح,32,0,0,0
 قصر ابن هبيرة,15,0,0,0
 كلواذا,16,0,0,0
 الكوفة,28,0,0,0
 لعلع,31,0,0,0
 المداءن,49,0,0,0
 نهر الملك,42,0,0,0
 هيت,31,0,0,0
 ذكر خوزستان,2,0,0,0
 ارجان,18,0,0,0
 الاهواز,10,0,0,0
 بصني,17,0,0,0
 تستر,33,0,0,0
 جنديسابور,16,0,0,0
 حصن المهدي,29,0,0,0
 الدورق,20,0,0,0
 رامهرمز,18,0,0,0
 رستاق الزط,14,0,0,0
 عسكر مكرم,78,0,0,0
 قرقوب,18,0,0,0
 مهروبان,8,0,0,0
 ذكر فارس,136,0,0,0
 اصطخر,10,0,0,0
 البيضاء,15,0,0,0
 جنابة,10,0,0,0
 جور,28,0,0,0
 حصن ابن عمارة,13,0,0,0
 دارابجرد,11,0,0,0
 شيراز,42,0,0,0
 كازرون,9,0,0,0
 ذكر كرمان,2,0,0,0
 بم,13,0,0,0
 جيرفت,13,0,0,0
 زرند,12,0,0,0
 ذكر سجستان,2,0,0,0
 بست,14,0,0,0
 سجستان,9,0,0,0
 ذكر السند,2,0,0,0
 ازور,16,0,0,0
 بيرون,13,0,0,0
 المنصورة,150,0,0,0
 الملتان,24,0,0,0
 ذكر الهند,2,0,0,0
 التبت,14,0,0,0
 سندان,28,0,0,0
 قامرون,27,0,0,0
 قنوج,48,0,0,0
 ذكر جزاءر بحر الشرق,4,0,0,0
 جزيرة خارك,19,0,0,0
 جزيرة سريرة,51,0,0,0
 جزيرة سقطرة,14,0,0,0
 جزيرة كله,31,0,0,0
 الدردور,33,0,0,0
 ذكر ارمينية واران واذربيجان,4,0,0,0
 اردبيل,36,0,0,0
 ارمية,40,0,0,0
 باب الابواب,29,0,0,0
 بدليس,9,0,0,0
 برزند,33,0,0,0
 بركري,9,0,0,0
 البيلقان,10,0,0,0
 خلاط,9,0,0,0
 خوي,13,0,0,0
 دبيل,20,0,0,0
 سلماس,36,0,0,0
 مراغة,34,0,0,0
 مرند,28,0,0,0
 موقان,50,0,0,0
 وسطان,19,0,0,0
 بلاد الجبل (عراق العجم),4,0,0,0
 اسد اباذ,26,0,0,0
 اوة,37,0,0,0
 الدينور,22,0,0,0
 ساوة,26,0,0,0
 شهرزور,37,0,0,0
 قاشان,18,0,0,0
 قرماسين,18,0,0,0
 قم,26,0,0,0
 نهاوند,10,0,0,0
 بلاد الديلم وكيلان,3,0,0,0
 بلاد الجيل والديلم,37,0,0,0
 سالوس,42,0,0,0
 كلار,13,0,0,0
 كوتم,8,0,0,0
 طبرستان,46,0,0,0
 استراباذ,16,0,0,0
 امل,13,0,0,0
 جرجان,81,0,0,0
 الدامغان,17,0,0,0
 رويان,26,0,0,0
 مامطير,52,0,0,0
 بلاد خراسان,2,0,0,0
 الداندانقان,27,0,0,0
 سرخس,22,0,0,0
 شبورقان,12,0,0,0
 الشرمجان,26,0,0,0
 الطابران,18,0,0,0
 فارياب,13,0,0,0
 كشميهين,23,0,0,0
 نسا,12,0,0,0
 نوقان,40,0,0,0
 زابلستان,1,0,0,0
 الباميان,13,0,0,0
 غزنة,13,0,0,0
 طخارستان,1,0,0,0
 الطايقان,28,0,0,0
 ولواش,30,0,0,0
 خوارزم,28,0,0,0
 درعان,18,0,0,0
 كاث,28,0,0,0
 هزار سب,17,0,0,0
 بلاد ما وراء النهر,4,0,0,0
 اسروشنة,10,0,0,0
 اسفيجاب,12,0,0,0
 اشتيخن,17,0,0,0
 دبوسية,17,0,0,0
 الطواويس,17,0,0,0
 فاراب,33,0,0,0
 كرمينية,30,0,0,0
 نخشب,29,0,0,0
 كش,11,0,0,0
 شلج,16,0,0,0
 واشجرد,12,0,0,0
 كاشغر,13,0,0,0
 ختن,11,0,0,0
 مواضع مجهولة,2,0,0,0
 جولي: ,8,0,0,0
 حديلاء,10,0,0,0
 ضدني,9,0,0,0
 قرحياء,10,0,0,0
 قروري,8,0,0,0
 قنوي,5,0,0,0
 الهنيما,9,0,0,0
EDITOR|,1860,80,2,4.301075268817205
