section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
 الجزء الاول,2,0,0,0
 مقدمة التحقيق,1974,9,1,0.4559270516717325
 (بيان بالرموز),37,0,0,0
 مقدمة المءلف,2,0,0,0
 خطبة الكتاب,2411,0,0,0
 الفصل الاول في فضل الادب واهله وذم الجهل وحمله,2730,36,4,1.3186813186813187
 فصل [ثان] في فضيلة علم الاخبار,943,0,0,0
 حرف Milestone300 الالف,100253,1400,84,1.3964669386452275
 محتويات الجزء الاول,1012,83,1,8.201581027667984
 الجزء الثاني,2,0,0,0
 تتمة حرف الالف,58315,944,54,1.6187944782645975
 حرف الباء,6105,255,18,4.176904176904177
 حرف التاء,319,0,0,0
 حرف الثاء,751,15,1,1.9973368841544608
 حرف الجيم,5551,143,7,2.576112412177986
 حرف الحاء,34744,791,32,2.2766520838130324
 محتويات الجزء الثاني,1017,163,2,16.027531956735498
 الجزء الثالث,2,0,0,0
 تتمة حرف الحاء,53865,138,10,0.25619604566972987
 حرف الخاء,10188,61,4,0.5987436199450333
 حرف الدال,3430,17,2,0.49562682215743437
 حرف الذال,185,0,0,0
 حرف الراء,2567,20,1,0.7791195948578107
 حرف الزاي,4949,135,3,2.727823802788442
 حرف السين,13740,49,2,0.35662299854439594
 حرف الشين,3302,72,5,2.1804966686856453
 محتويات الجزء الثالث,1436,94,2,6.545961002785515
 الجزء الرابع,6,0,0,0
 حرف الصاد,2333,51,4,2.186026575225032
 حرف الضاد,522,28,3,5.363984674329502
 حرف الطاء,1111,0,0,0
 حرف الظاء,2696,0,0,0
 حرف Milestone300 العين,98915,1509,80,1.5255522418237881
 محتويات الجزء الرابع,1427,9,1,0.6306937631394535
 الجزء الخامس,2,0,0,0
 تتمة حرف العين,56575,1131,61,1.999116217410517
 حرف الغين,163,0,0,0
 حرف الفاء,6174,249,7,4.033041788143829
 حرف القاف,13611,190,10,1.3959297626919405
 حرف الكاف,2156,9,1,0.4174397031539889
 حرف اللام,2161,47,5,2.1749190189726977
 حرف الميم,27466,461,28,1.678438797058181
 محتويات الجزء الخامس,1041,162,2,15.561959654178676
 الجزء السادس,2,0,0,0
 تكملة حرف الميم,79175,1011,69,1.276918219134828
 حرف النون,3727,38,2,1.0195867990340757
 حرف الهاء,6425,15,1,0.23346303501945526
 حرف الواو,1992,0,0,0
 حرف الياء,8941,33,2,0.3690862319651046
 ملحق,1172,9,1,0.7679180887372014
 محتويات الجزء السادس,1727,218,3,12.623045744064854
 دراسة في ياقوت وكتابه معجك الادباء,6,0,0,0
 مصادر ترجمة ياقوت ومراجعها,4,0,0,0
 1- مصادر ترجمة ياقوت الحموي:,184,0,0,0
 2- المراجع العربية والمعربة:,103,0,0,0
 3- المراجع بغير العربية:,3,0,0,0
 1- ترجمة ياقوت:,4952,0,0,0
 2- شخصية ياقوت واخلاقه:,1111,0,0,0
 3- ثقافة ياقوت وشيوخه,3,0,0,0
 1- نظرة عامة في ثقافته:,448,0,0,0
 2- شيوخ ياقوت:,807,0,0,0
 4- ياقوت المءلف,2,0,0,0
 1- منهجه في التاليف:,531,0,0,0
 2- مءلفات ياقوت:,42,0,0,0
 I مءلفات في التاريخ، وهي:,103,0,0,0
 II مءلفات في المعاجم، وهي نوعان:,42,0,0,0
 III مءلفات في النحو:,124,0,0,0
 IV مختصرات لكتب مشهورة او اختيارات,183,0,0,0
 V كتب مفردة،,26,0,0,0
 3- تفصيل القول في معاجم ياقوت:,1426,0,0,0
 2- المشترك وضعا والمفترق صنعا,207,0,0,0
 3- اخبار الشعراء,287,0,0,0
 4- معجم الادباء,2,0,0,0
 1- اسم الكتاب:,102,0,0,0
 2- كلمة «ادباء» علي من تطلق:,308,0,0,0
 3- ترتيب الكتاب:,151,0,0,0
 4- تاريخ تاليف معجم الادباء:,122,0,0,0
 5- مصادر المءلف في معجم الادباء:,298,0,0,0
 6- مختصر معجم الادباء:,68,0,0,0
 7- خاتمة:,28,0,0,0
 5- ياقوت الاديب الناقد:,729,0,0,0
 6- شعر ياقوت:,2,0,0,0
 - 1-,150,0,0,0
 - 2-,28,0,0,0
 - 3-,100,0,0,0
 - 4-,55,0,0,0
 - 5-,53,0,0,0
 - 6-,30,0,0,0
 - 7-,25,0,0,0
 - 8-,52,0,0,0
 - 9-,46,0,0,0
 - 10-,66,0,0,0
 - 11-,41,0,0,0
 - 12-,65,0,0,0
 - 13-,48,0,0,0
 - 14-,46,0,0,0
 - 15-,72,0,0,0
 - 16-,121,0,0,0
 - 17-,65,0,0,0
 - 18-,42,0,0,0
 - 19-,87,0,0,0
 - 20-,49,0,0,0
 - 21-,86,0,0,0
 - 22-,26,0,0,0
 - 23-,78,0,0,0
 - 24-,50,0,0,0
 - 25-,116,0,0,0
 - 26-,40,0,0,0
 - 27-,26,0,0,0
 - 28-,53,0,0,0
 - 29-,39,0,0,0
 ملاحظات ملحقة,2,0,0,0
 (1) ترجمة طلحة بن محمد النعماني,89,0,0,0
 (2) ترجمة ناصر بن عبد السيد المطرزي شارح المقامات,64,0,0,0
 (3),590,0,0,0
 الفهارس,1,0,0,0
 1- فهرس الايات القرانية الكريمة,4,0,0,0
 1- الفاتحة,5,0,0,0
 2- البقرة,47,0,0,0
 3- ال عمران,53,0,0,0
 4- النساء,35,0,0,0
 5- الماءدة,23,0,0,0
 6- الانعام,22,0,0,0
 7- الاعراف,30,0,0,0
 8- الانفال,20,0,0,0
 9- التوبة,27,0,0,0
 10- يونس,9,0,0,0
 11- هود,21,0,0,0
 12- يوسف,55,0,0,0
 13- الرعد,8,0,0,0
 14- ابراهيم,10,0,0,0
 15- الحجر,19,0,0,0
 16- النحل,11,0,0,0
 17- الاسراء,18,0,0,0
 18- الكهف,42,0,0,0
 19- مريم,19,0,0,0
 20- طه,9,0,0,0
