section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
 مقدمة,731,0,0,0
 باب في ذكر اصل اشتقاق تسمية الشام عن العالمين بالنقل والعارفين,871,228,7,26.176808266360506
 باب تاريخ بناء مدينة دمشق ومعرفة من بناها وحكاية الاقوال في ذلك,1754,469,12,26.738882554161915
 فصل في اشتقاق تسمية دمشق واماكن من نواحيها وذكر ما بلغني من الاقوال,941,234,6,24.867162592986187
 باب اشتقاق اسم التاريخ واصله وسببه وذكر الفاءدة الداعية الي,752,431,8,57.31382978723404
 باب في مبتدا التاريخ واصطلاح الامم علي التواريخ,2164,875,17,40.43438077634011
 باب ذكر اختلاف الصحابة رضي الله تعالي عنهم في التاريخ,2624,1339,28,51.02896341463414
 باب ذكر تاريخ الهجرة والاقتصاد في ذكره للشهرة,536,364,6,67.91044776119402
 باب ذكر القول المشهور في اشتقاق تسمية الايام والشهور,820,530,8,64.63414634146342
 باب ذكر السبب الذي حمل الاءمة والشيوخ علي ان قيدوا المواليد,487,314,5,64.47638603696099
 باب ذكر اصل اشتقاق تسمية الشام وحث المصطفي عليه السلام امته علي,12304,7010,104,56.97334200260078
 باب بيان ان الايمان يكون بالشام عند وقوع الفتن وكون الملاحم,3613,2359,31,65.29200110711321
 باب ما جاء في نبينا المصطفي خاتم النبيين عليه الصلاة والسلام عن,1134,495,8,43.65079365079365
 باب فيما جاء ان الشام صفوة الله من بلاده واليها يحشر خيرته من,1435,830,14,57.8397212543554
 باب اختصاص الشام عن غيره من البلدان بما يبسط عليه من اجنحة,1092,781,11,71.52014652014653
 باب دعاء النبي صلي الله عليه وسلم للشام بالبركة وما يرجي بيمن,2516,1449,24,57.591414944356124
 باب بيان ان الشام ارض مباركة وان الطاف الله باهلها متداركة,1511,1105,19,73.13037723362011
 باب ما جاء من الايضاح والبيان ان الشام الارض المقدسة المذكورة في,2057,999,17,48.565872630043756
 باب اعلام النبي صلي الله عليه وسلم امته واخباره ان بالشام من,1576,1042,14,66.11675126903553
 باب ما جاء في ان الشام مهاجر ابراهيم الخليل وانه من المواضع,1586,708,14,44.640605296343
 باب ما جاء في اختصاص الشام وقصوره بالاضاءة عند مولد النبي صلي,2299,1211,13,52.675076120052196
 باب ما جاء عن سيد البشر عليه السلام ان الشام ارض المحشر والمنشر,2535,1238,20,48.83629191321499
 باب @Auto_ISE@ ما جاء من ان الشام يكون ملك اهل الاسلام,1682,934,14,55.529131985731276
 باب ما حفظ عن الطبقة العليا من ان الشام سرة الدنيا,1004,545,9,54.28286852589641
 باب ما جاء من الاخبار والاثار ان الشام يبقي عامرا بعد خراب,793,479,9,60.40353089533418
 باب تمصير الامصار في قديم الاعصار,651,439,6,67.4347158218126
 ابواب ما جاء من النصوص في فضل دمشق علي الخصوص,20,0,0,0
 باب ذكر الايضاح والبيان عما ورد في فضلها من القران,4453,3011,44,67.61733662699304
 باب ما ورد من السنة من انها من ابواب الجنة,1017,603,8,59.29203539823009
 باب ما جاء عن صاحب الحوض والشفاعة انها مهبط عيسي بن مريم قبل,1539,820,13,53.28135152696556
 باب ما جاء عن المبعوث بالمرحمة انها فسطاط المسلمين يوم الملحمة,4436,2550,43,57.48422001803426
 باب ما نقل عن اهل المعرفة ان البركة فيها مضعفة,1833,922,19,50.300054555373706
 باب ما جاء عن سيد المرسلين في ان اهل دمشق لا يزالون علي الحق,4449,2511,39,56.43964935940661
 باب غناء اهل دمشق عن الاسلام في الملاحم وتقديمهم في الحروب,1279,793,11,62.00156372165755
 باب ما جاء عن كعب الحبر ان اهل دمشق يعرفون في الجنة بالثياب,608,320,4,52.63157894736842
 باب دعاء النبي صلي الله عليه وسلم لاهل الشام بان يهديهم الله,1081,648,10,59.944495837187795
 باب ما روي في ان اهل الشام مرابطون وانهم جند الله الغالبون,2104,1281,21,60.884030418250944
 باب ما جاء ان بالشام يكون الابدال الذين يصرف بهم عن الامة,4527,2670,40,58.979456593770706
 باب نفي الخبر عن اهل الاسلام عند وجود فساد اهل الشام,1237,830,11,67.09781729991916
 باب ما جاء ان بالشام يكون بقايا العرب عند حلول البلايا والامر,588,391,6,66.49659863945578
 باب ما روي عن الافاضل والاعلام من انحياز بقية المءمنين في اخر,1023,739,12,72.23851417399804
 باب ما ذكر من تمسك اهل الشام بالطاعة واعتصامهم بلزوم السنة,2126,1117,20,52.53998118532456
 باب توثيق اهل الشام في الرواية ووصفهم بصرف الهمة الي العلم,1662,984,17,59.205776173285194
 باب وصف اهل الشام بالديانة وما ذكر عنهم من الثقة والامانة,571,253,4,44.30823117338004
 باب النهي عن سب اهل الشام وما روي في ذلك عن اعلام الاسلام,1933,1136,18,58.76875323331608
 باب ما ورد من اقوال المنصفين فيمن قتل من اهل الشام بصفين,1775,1234,21,69.52112676056338
 باب ذكر ما ورد في ذم اهل الشام وبيان بطلانه عند ذوي الافهام,5351,2287,42,42.73967482713512
 باب ذكر بعض ما بلغنا من اخبار ملوك الشام قبل ان يدخل الناس في,3120,1019,15,32.66025641025641
 باب تبشير المصطفي عليه الصلاة والسلام امته المنصورة بافتتاح,5338,2666,44,49.943799175721246
 باب سرايا رسول الله صلي الله عليه وسلم الي الشام وبعوثه الاواءل,7230,1573,28,21.756569847856156
 باب غزاة النبي صلي الله عليه وسلم تبوك بنفسه وذكر مكاتبته,4763,697,14,14.633634264119252
 باب ذكر بعث النبي صلي الله عليه وسلم اسامة قبل الموت وامره اياه,4495,966,19,21.49054505005562
 باب ذكر اهتمام ابي بكر الصديق بفتح الشام وحرصه عليه ومعرفة,8442,1753,39,20.765221511490168
 باب ما روي من توقع المشركين لظهور دولة المسلمين,1799,296,6,16.453585325180654
 باب ذكر ظفر جيش المسلمين المظفر وظهوره علي الروم باجنادين وفحل,2455,1007,23,41.01832993890021
 باب كيف كان امر دمشق في الفتح وما امضاه المسلمون لاهلها من الصلح,7691,2234,47,29.046937979456505
 باب ذكر تاريخ وقعة اليرموك ومن قتل بها من سوقة الروم والملوك,6394,870,23,13.606506099468252
 باب ذكر تاريخ قدوم عمر رضي الله عنه الجابية وما سن بها من السنن,1565,600,15,38.33865814696485
 باب ذكر ما اشترط صدر هذه الامة عند افتتاح الشام علي اهل الذمة,3392,1343,22,39.59316037735849
 باب ذكر حكم الارضين وما جاء فيه عن السلف الماضية,6134,2259,38,36.82751874796218
 باب ذكر بعض ما ورد من الملاحم والفتن مما له تعلق بدمشق في غابر,1671,895,17,53.5607420706164
 باب ذكر بعض اخبار الدجال وما يكون عند خروجه من الاهوال,3786,764,14,20.17960908610671
 باب مختصر في ذكر ياجوج وماجوج,802,369,5,46.00997506234414
 باب ذكر شرف المسجد الجامع بدمشق وفضله وقول من قال انه لا يوجد في,2838,1284,28,45.243128964059196
 باب معرفة ما ذكر من الامر الشاءع الزاءغ من هدم الوليد بقية من,1755,543,11,30.94017094017094
 باب ما ذكر في بناء المسجد الجامع واختيار بانيه وموضعه علي ساءر,1696,560,10,33.0188679245283
 باب كيفية ما رخم وزوق ومعرفة كمية المال الذي عليه انفق,1237,398,9,32.17461600646726
 باب ذكر ما كان عمر بن عبد العزيز هم برقم رده علي النصاري حين,993,179,4,18.026183282980863
 باب ذكر ما كان في الجامع من القناديل والالات ومعرفة ما عمل فيه,805,200,6,24.84472049689441
 باب ما ورد في امر السبع وكيف كان ابتداء الحضور فيه والجمع,632,219,3,34.651898734177216
 باب ذكر معرفة مساجد البلد وحصرها بذكر التعريف لها والعدد,5992,399,8,6.658878504672897
 باب ذكر فضل المساجد المقصودة بالزيارة كالربوة ومقام ابراهيم وكهف,4172,1017,22,24.37679769894535
 باب في فضل مواضع بظاهر دمشق واضاحيها وفضل جبال تضاف اليها,2316,1304,27,56.303972366148535
 باب ذكر عدد كناءس اهل الذمة التي صالحوا عليها من سلف من هذه,949,117,3,12.32876712328767
 باب ذكر بعض الدور التي كانت داخل السور,1743,106,4,6.081468732071142
 باب ما جاء في ذكر الانهار المحتفرة للشرب وسقي الزرع والاشجار,3605,344,7,9.542302357836338
 باب ما ورد عن الحكماء والعلماء في مدح دمشق بطيب الهواء وعذوبة,3196,495,8,15.48811013767209
 باب ذكر تسمية ابوابها ونسبتها الي اصحابها او اربابها,365,0,0,0
 باب ذكر فضل مقابر اهل دمشق وذكر من بها من الانبياء واولي السبق,3030,1476,23,48.71287128712871
 حرف الالف,103,0,0,0
 باب ذكر قدوم رسول الله صلي الله عليه وسلم بصري ومعرفة وصوله,3157,463,10,14.665821982895153
 باب معرفة اسماءه وانه خاتم رسل الله وانبياءه,3589,2185,31,60.88046809696295
 باب ذكر معرفة كنيته ونهيه ان يجمع بينها وبين اسمه احد من امته,2358,1474,25,62.51060220525869
 باب ذكر معرفة نسبه وابراز الخلاف فيه عن العالمين به,4156,1393,23,33.51780558229066
 باب ذكر مولد @Auto_ISE@ النبي عليه الصلاة والسلام ومعرفة من كفله وما كان من,6264,2442,42,38.984674329501914
 باب معرفة امه وجداته وعمومته وعماته,5574,886,24,15.895227843559384
 باب ذكر بنيه وبناته عليه الصلاة والسلام وازواجه,27395,10829,238,39.529111151670016
 باب صفة خلقه ومعرفة خلقه,29721,12330,194,41.485818108408196
 باب ما جاء في الكتب من نعته وصفته وما بشرت به الانبياء اممها من,2678,792,13,29.574309185959674
 باب ذكر طهارة مولده وطيب اصله وكرم محتده,3240,1802,29,55.61728395061728
 باب اخبار الاحبار بنبوته والرهبان وما يذكر من امره عن العلماء,8611,1440,24,16.722796423179652
