section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
 [مقدمة],1413,0,0,0
 حرف الالف,2,0,0,0
 باب ابراهيم,2681,92,7,3.4315553897799327
 ومن الغرباء في هذا الباب,163,0,0,0
 باب ابان,2,0,0,0
 من اسمه ابان,199,0,0,0
 باب احمد,2,0,0,0
 من اسمه احمد,8359,10,1,0.11963153487259241
 ومن الغرباء القادمين من المشرق ممن اسمه احمد,651,16,1,2.457757296466974
 باب ادريس,2,0,0,0
 من اسمه ادريس,104,0,0,0
 باب اسماعيل,2,0,0,0
 من اسمه اسماعيل,956,0,0,0
 ومن الغرباء في هذا الاسم,200,0,0,0
 باب اسحاق,2,0,0,0
 من اسمه اسحاق,775,30,2,3.870967741935484
 باب اسد,2,0,0,0
 من اسمه اسد,160,0,0,0
 باب اسامة,2,0,0,0
 من اسمه اسامة,96,0,0,0
 باب الاسعد,2,0,0,0
 من اسمه اسعد,67,0,0,0
 باب اصبغ,2,0,0,0
 من اسمه اصبغ,1204,86,4,7.142857142857142
 باب افلح,2,0,0,0
 من اسمه افلح,282,0,0,0
 باب امية,2,0,0,0
 من اسمه امية,123,0,0,0
 باب ايوب,2,0,0,0
 من اسمه ايوب,516,0,0,0
 افراد من حرف الالف,421,0,0,0
 باب حرف الباء,3,0,0,0
 باب بقي,2,0,0,0
 من اسمه بقي,707,117,7,16.548797736916548
 باب بكر,2,0,0,0
 من اسمه بكر,226,9,1,3.982300884955752
 باب بدر,2,0,0,0
 من اسمه بدر,196,0,0,0
 الافراد في حرف الباء,149,0,0,0
 حرف التاء,2,0,0,0
 باب تمام,2,0,0,0
 من اسمه تمام,200,14,1,7.000000000000001
 باب الافراد,2,0,0,0
 من اسمه تميم,65,0,0,0
 ومن الغرباء,150,0,0,0
 حرف الثاء,2,0,0,0
 باب ثابت,2,0,0,0
 من اسمه ثابت,272,0,0,0
 حرف الجيم,2,0,0,0
 باب جابر,2,0,0,0
 من اسمه جابر,168,0,0,0
 باب جعفر,2,0,0,0
 من اسمه جعفر,147,0,0,0
 الافراد في حرف الجيم,221,31,2,14.027149321266968
 ومن الغرباء,30,0,0,0
 حرف الحاء,2,0,0,0
 باب حارث,2,0,0,0
 من اسمه حارث,303,0,0,0
 باب حباب,2,0,0,0
 من اسمه حباب,122,0,0,0
 باب حاتم,2,0,0,0
 من اسمه حاتم,127,0,0,0
 باب حسن,2,0,0,0
 من اسمه حسن,942,0,0,0
 باب حسين,2,0,0,0
 من اسمه حسين,438,0,0,0
 ومن الغرباء,34,0,0,0
 باب حسان,2,0,0,0
 من اسمه حسان,199,0,0,0
 باب حزم,2,0,0,0
 من اسمه حزم,190,0,0,0
 باب حفص,2,0,0,0
 من اسمه حفص,377,0,0,0
 باب حكم,2,0,0,0
 من اسمه حكم,235,0,0,0
 الغرباء في هذا الباب,200,0,0,0
 باب حمدون,2,0,0,0
 من اسمه حمدون,91,0,0,0
 باب الافراد في حرف الحاء,1424,376,12,26.40449438202247
 بخط المستنصر بالله رحمه الله PageV01P151,66,0,0,0
 ومن الغرباء في هذا الباب,227,0,0,0
 حرف الخاء,2,0,0,0
 باب خالد,2,0,0,0
 من اسمه خالد,653,12,1,1.8376722817764166
 باب خطاب,2,0,0,0
 من اسمه خطاب,200,0,0,0
 باب خلف,2,0,0,0
 من اسمه خلف,989,0,0,0
 باب خليل,2,0,0,0
 من اسمه خليل,281,46,3,16.370106761565836
 باب الافراد في حرف الخاء,230,0,0,0
 حرف الدال,2,0,0,0
 باب داود,2,0,0,0
 من اسمه داود,635,155,4,24.409448818897637
 باب دحيم,2,0,0,0
 من اسمه دحيم,164,46,1,28.04878048780488
 الافراد,33,0,0,0
 ومن الغرباء في هذا الباب,100,0,0,0
 حرف الذال,2,0,0,0
 باب ذوالة,2,0,0,0
 من اسمه ذوالة,52,0,0,0
 الافراد,15,0,0,0
 حرف الراء,2,0,0,0
 اسماء مفردة,184,0,0,0
 حرف الزاي,2,0,0,0
 باب زكرياء,2,0,0,0
 من اسمه زكرياء,690,7,1,1.0144927536231882
 ومن الغرباء في هذا الباب,166,0,0,0
 باب زهير,2,0,0,0
 من اسمه زهير,166,0,0,0
 باب زياد,2,0,0,0
 من اسمه زياد,429,13,1,3.0303030303030303
 باب زيد,2,0,0,0
 من اسمه زيد,79,0,0,0
 ومن الغرباء في هذا الباب,400,228,7,56.99999999999999
 باب الافراد,249,29,1,11.646586345381527
 حرف السين,2,0,0,0
 باب سعيد,2,0,0,0
 من اسمه سعيد,3839,120,6,3.125814014066163
 ومن الغرباء في هذا الاسم,130,0,0,0
 باب سعد,2,0,0,0
 من اسمه سعد,350,0,0,0
 وممن عرف بكنيته في هذا الحرف,28,0,0,0
 باب سعدان,2,0,0,0
 من اسمه سعدان,236,0,0,0
 باب سعدون,2,0,0,0
 من اسمه سعدون ,102,0,0,0
 باب سليمان,2,0,0,0
 من اسمه سليمان,1254,66,1,5.263157894736842
 باب سلمة,2,0,0,0
 من اسمه سلمة,160,0,0,0
 باب سهل,2,0,0,0
 من اسمه سهل,251,19,1,7.569721115537849
 باب سيد ابيه,3,0,0,0
 من اسمه سيد ابيه,119,0,0,0
 باب الافراد,415,40,1,9.63855421686747
 حرف الشين,2,0,0,0
 باب شعيب,2,0,0,0
 من اسمه شعيب,107,0,0,0
 باب شيبان,2,0,0,0
 من اسمه شيبان,51,0,0,0
 باب شمر,2,0,0,0
 من اسمه شمر,232,57,3,24.568965517241377
 الافراد,170,0,0,0
 حرف الصاد,2,0,0,0
 باب صالح,2,0,0,0
 من اسمه صالح,65,0,0,0
 باب صهيب,2,0,0,0
 من اسمه صهيب,103,0,0,0
 الافراد,501,30,2,5.9880239520958085
 ومن الغرباء,55,0,0,0
 حرف الضاد,2,0,0,0
 وهو Milestone300 افراد,84,0,0,0
 حرف الطاء,2,0,0,0
 باب طاهر,2,0,0,0
 من اسمه طاهر,294,0,0,0
 ومن الغرباء في هذا الباب,99,0,0,0
 ومن الافراد,280,16,1,5.714285714285714
 حرف الظاء,2,0,0,0
 فارغ,1,0,0,0
 حرف العين,2,0,0,0
 باب عامر,2,0,0,0
 من اسمه عامر,288,22,1,7.638888888888889
 باب عبد الله,3,0,0,0
 من اسمه عبد الله,8105,134,8,1.6533004318322022
 ومن الغرباء في هذا الباب,188,0,0,0
 باب عبيد الله,3,0,0,0
 من اسمه عبيد الله,764,0,0,0
