section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
,2651,65,3,2.4519049415314975
 [المقدمة] ,603,0,0,0
 حرف الهمزة,47514,109,6,0.22940606978995665
 حرف الباء,5793,7,1,0.1208354911099603
 حرف التاء,3101,15,1,0.4837149306675266
 حرف الثاء,1175,0,0,0
 حرف الجيم,14233,28,2,0.1967259186397808
 ملحقات,2,0,0,0
 ا - زيادات نسخة د عند وستنفيلد,12479,51,4,0.4086865934770414
 ب زيادات نسخة ايا صوفيا,8522,13,1,0.15254635062191974
 مقدمة,1192,0,0,0
 حرف الحاء,44310,225,12,0.5077860528097494
 حرف الخاء,6340,0,0,0
 حرف ms0493 الدال,4809,8,1,0.16635475150758994
 حرف الذال,340,0,0,0
 حرف الراء,5016,15,1,0.29904306220095694
 حرف الزاي,7291,38,2,0.5211905088465231
 حرف السين,18669,159,8,0.8516792543789169
 حرف الشين,9856,62,4,0.6290584415584416
 حرف الصاد,1905,26,2,1.3648293963254594
 حرف الضاد,2058,0,0,0
 حرف الطاء,4801,14,1,0.29160591543428455
 حرف الظاء,1745,0,0,0
 مقدمة,326,0,0,0
 حرف العين,102510,792,33,0.7726075504828798
 حرف الغين,2951,0,0,0
 حرف الفاء,6812,35,2,0.5137991779213152
 حرف القاف,7459,27,1,0.3619788175358627
 حرف الكاف,5848,18,1,0.307797537619699
 حرف اللام,1245,0,0,0
 حرف الميم,145630,731,39,0.5019570143514386
 حرف النون,12728,78,5,0.6128221244500315
 تذييل,271,0,0,0
 حرف الواو,7697,0,0,0
 حرف الهاء,13957,22,2,0.15762699720570322
 حرف الياء,74240,415,23,0.5589978448275862
 حرف الياء (تتمة),59930,257,15,0.42883363924578677
 نماذج من صور المخطوطات,48,0,0,0
 ملحقات,2,0,0,0
 1 - مزيد بيان في تخريج التراجم الاصلية,6783,131,5,1.9312988353236031
 2 - مزيد بيان في تخريج التراجم العارضة والتعريف ببعض الاعلام,1784,0,0,0
 3 - زيادات من النسخ وتعليقات وتخريجات لبعض النصوص,4113,0,0,0
 4 - معارضة الجزء الاول بمسودة المءلف والنسخ س ر بر,2466,0,0,0
