section heading,section tok cnt,isnad tok cnt,isnad cnt,isnad percent
 غزوة الرجيع في صفر علي راس ستة وثلاثين شهرا,2010,75,5,3.731343283582089
 غزوة بني النضير,3887,70,5,1.8008747105737073
 ذكر ما نزل من القران في بني النضير,804,0,0,0
 غزوة بدر الموعد,1497,9,1,0.6012024048096193
 سرية ابن عتيك الي ابي رافع,808,30,2,3.7128712871287126
 غزوة ذات الرقاع,1666,58,3,3.481392557022809
 غزوة دومة الجندل,361,0,0,0
 غزوة المر يسيع [ (1) ],2333,232,12,9.944277753964851
 الجزء الثاني,2,0,0,0
 ذكر ما كان من امر ابن ابي,2692,120,7,4.457652303120357
 ذكر عاءشة رضي الله عنها واصحاب الافك,3461,175,8,5.056342097659636
 غزوة الخندق,8937,437,27,4.889784043862594
 ذكر نعيم بن مسعود,3316,32,3,0.9650180940892641
 باب ما انزل الله من القران في الخندق,353,8,1,2.26628895184136
 ذكر من قتل من المسلمين يوم الخندق,115,0,0,0
 ذكر من قتل من المشركين,63,0,0,0
 ذكر ما قيل من الشعر في الخندق.,13,0,0,0
 باب غزوة بني قريظة,5849,303,17,5.1803727132843225
 ذكر قسم المغنم وبيعه,759,127,9,16.73254281949934
 ذكر سعد بن معاذ,1177,122,7,10.365335598980458
 ذكر من قتل من المسلمين في حصار بني قريظة,378,0,0,0
 باب شان سرية عبد الله بن انيس الي سفيان بن خالد بن نبيح,550,15,1,2.727272727272727
 غزوة القرطاء [ (1) ],299,27,1,9.03010033444816
 غزوة بني لحيان,427,50,2,11.7096018735363
 غزوة الغابة,2652,127,7,4.788838612368025
 ذكر من قتل من المسلمين ومن المشركين,42,0,0,0
 سرية عكاشة بن محصن الي الغمر [ (1) ] في شهر ربيع الاول سنة ست,212,23,1,10.849056603773585
 سرية محمد بن مسلمة الي ذي القصة الي بني ثعلبة وعوال في ربيع الاخر,236,9,1,3.8135593220338984
 سرية اميرها ابو عبيدة الي ذي القصة,144,17,1,11.805555555555555
 سرية ms440 زيد بن حارثة الي العيص [1] في جمادي الاولي سنة ست,475,10,1,2.1052631578947367
 سرية زيد بن حارثة الي الطرف [ (1) ] في جمادي الاخرة سنة ست,118,11,1,9.322033898305085
 سرية زيد بن حارثة الي حسمي في جمادي ms442 الاخرة سنة ست,998,40,3,4.008016032064128
 سرية اميرها عبد الرحمن بن عوف الي دومة الجندل في شعبان سنة ست,468,16,1,3.418803418803419
 سرية علي بن ابي طالب عليه السلام الي بني سعد، بفدك [ (1) ] في شعبان سنة ست,397,11,1,2.770780856423174
 سرية زيد بن حارثة الي ام قرفة في رمضان سنة ست,378,41,2,10.846560846560847
 ذكر من قتل ام قرفة,39,0,0,0
 سرية اميرها عبد الله بن رواحة الي اسير بن زارم في شوال سنة ست,618,47,3,7.605177993527508
 سرية اميرها كرز بن جابر,602,74,4,12.29235880398671
 غزوة الحديبية,14115,520,26,3.6840240878498047
 غزوة خيبر,13825,495,23,3.580470162748644
 تسمية سهمان الكتيبة,29,0,0,0
 ذكر طعم النبي صلي الله عليه وسلم في الكتيبة ازواجه وغيرهم,1393,88,3,6.317300789662599
 تسمية من استشهد بخيبر مع رسول الله صلي الله عليه وسلم,228,0,0,0
 ذكر ما قيل من الشعر في خيبر ,1079,0,0,0
 باب شان فدك,326,0,0,0
 انصراف رسول الله صلي الله عليه وسلم من خيبر الي المدينة,3380,166,9,4.911242603550296
 سرية عمر بن الخطاب رضي الله عنه الي تربة في شعبان سنة سبع,125,16,1,12.8
 سرية ابي بكر رضي الله عنه الي نجد في شعبان سنة سبع,55,17,1,30.909090909090907
 سرية بشير بن سعد الي فدك في شعبان سنة سبع,713,27,2,3.7868162692847123
 سرية بني عبد بن ثعلبة عليها غالب بن عبد الله الي الميفعة [ (1) ] في رمضان سنة سبع,252,15,1,5.952380952380952
 سرية بشير بن سعد الي الجناب [ (2) ] سنة سبع,839,16,1,1.907032181168057
 غزوة القضية,2224,275,14,12.365107913669064
 سرية ابن ابي العوجاء السلمي في ذي الحجة سنة سبع,134,0,0,0
 اسلام عمرو بن العاص,1883,49,2,2.6022304832713754
 سرية اميرها غالب بن عبد الله بالكديد في ms589 صفر سنة ثمان,391,47,2,12.020460358056265
 سرية كعب بن عمير الي ذات اطلاح في شهر ربيع الاول سنة ثمان,147,21,2,14.285714285714285
 سرية شجاع بن وهب الي السي من ارض بني عامر من ناحية ركبة، في ربيع الاول سنة ثمان، وسرية الي خثعم بتبالة,413,22,1,5.326876513317192
 غزوة مءتة,2940,299,17,10.170068027210883
 ذكر من استشهد بمءتة من بني هاشم وغيرهم,99,0,0,0
 غزوة ذات السلاسل [ (2) ],1039,30,1,2.8873917228103942
 سرية الخبط [ (2) ] اميرها ابو عبيدة,699,26,2,3.719599427753934
