begin	begin2	end	end2	gid	gid2	id	id2	matches	s1	s2	seq	seq2	uid	uid2	bw1	ew1	bw2	ew2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
529	209	669	378	-5511799060026991176	1772412992146626924	JK001259-ara1.ms001	LMN20200820-ara1.completed.ms01	97	احمده علي جزيل نعمه و--جمي-ل --------كرمه واشهد ان لا اله الا الله وحده لا شريك له -وا---ش-هد- -ا---ن م-حمدا -عبده و-----رسو-له- ارسله با-لهدي و--دين الحق ليظهره علي الدين	نحمده علي وافر نعمه ونستزيده من مواد كرمه ونشهد ان لا اله الا الله وحده لا شريك له شهادة شاهدة باخلاص ما لها من سر وعلانية ونشهد ان محمدا عبده ورسوله الذي شيد به ----الدين	1	1	-2933587653086872244	5134781673944761771	29	29	36	36	70	173	56.06936264038086	13	JK001259-ara1	LMN20200820-ara1.completed
475	1324	630	1502	-5511799060026991176	1772412992146626924	JK001259-ara1.ms001	LMN20200820-ara1.completed.ms10	92	فعا--له الا --م--ا- ي-ريده ---وي-شاءه- ---العظمة ازاره وال-كبريا-ء رداءه احمده علي-- جزيل نعمه وجميل كرمه واشهد ان لا اله الا الله وحده لا شريك له -وا----شهد ان محمدا-- عبده ورسول--ه ا	ف احمده علي نعمه التي رتعت الاعين منها في ال-روض الانف والطافه التي وقفت الشكر عليها فليس -عنه-ا م--نصر-ف واشهد ان لا اله الا الله وحده لا شريك له شهادة توجب من المخاوف امنا وتسهل من ا	1	10	-2933587653086872244	-2824493650250929253	30	30	2736	2736	66	184	50.0	11	JK001259-ara1	LMN20200820-ara1.completed
510	1512	699	1740	-5511799060026991176	1772412992146626924	JK001259-ara1.ms001	LMN20200820-ara1.completed.ms19	121	اره -و-ال-كبر-----ي--ا----ء -ردا-ءه ا-حمده علي جزيل نعمه وجميل كرم--ه واشهد ان لا اله الا الله وحده لا شريك ل--------------ه واشهد ان محمدا عبده ورسوله -ا--رسله ---بال-ه--دي- ودين الحق ليظهره علي -ا--ل--دين كله ولو كره المشركون صلي الله	انه هو الغفور الرحيم الخطبة الثانية الحمد- لله حمدا يقوم -بشكر نعماءه واشهد ان لا اله الا الله وحده لا شريك له عدة عند لقاءه واشهد ان محمدا سيد- -رس-له وانبياءه صلي الله عليه وعلي ال-ه -وصحبه عدد ما خلق في ارضه و-سماءه ا-وصيكم عباد الله	1	19	-2933587653086872244	955663746043543846	37	37	5446	5446	87	237	51.05485153198242	13	JK001259-ara1	LMN20200820-ara1.completed
560	86	714	246	-5511799060026991176	1772412992146626924	JK001259-ara1.ms001	LMN20200820-ara1.completed.ms19	99	واشهد ان لا اله الا الله وحده لا شريك له واشهد ان محمدا عبده ورسوله ارسله باله--دي- ودين ال----حق -ل-يظهره --علي الدين كله ولو كره المشركون صلي ال--له عليه و-سلم اما -ب	واشهد ان لا اله الا الله وحده لا شريك له و-----ان محمدا عبده ورسوله --صلي الله عليه وعلي اله نجوم الاهتداء واءمة ال-اقتداء الاربعة الخلفاء وعلي العباس ع-مه وكاشف غمه اب	1	19	-2933587653086872244	955663746043543846	32	32	5418	5431	71	169	58.57987976074219	15	JK001259-ara1	LMN20200820-ara1.completed
767	979	879	1121	-5511799060026991176	1772412992146626924	JK001259-ara1.ms001	LMN20200820-ara1.completed.ms19	80	عت ا--هل المشرق والمغرب مطبقين --متفقين علي ان السلطان الم----عظ--م ------------العالم العادل المجاهد ---سيف ----الدنيا والدين -سلطا---ن-- الاسلام-	عن اعداء ال-دين والم--حاماة عن المسلمين -وهذا- السلطان الملك الظاهر السيد الاجل العالم العادل المجاهد المءيد ركن الدنيا والدين قد قام بنصر الا-مامة	1	19	-2933587653086872244	955663746043543846	18	18	5423	5423	64	148	54.054054260253906	4	JK001259-ara1	LMN20200820-ara1.completed
560	1264	669	1391	-5511799060026991176	1772412992146626924	JK001259-ara1.ms001	LMN20200820-ara1.completed.ms36	74	واشهد ان لا اله الا الله وحده لا شريك له واشه-د- -ان محمدا--- عبده ورسوله ارسله باله-دي--- و---د-ين -الحق ليظهره --علي ال--دي-ن-	ونشهد ان لا اله الا الله وحده لا شريك له --شهادة عبد كثر الله عدده و-عدده واحمد امسه ويومه ونحمد ان شاء الله غده ونصلي علي سيدنا	1	36	-2933587653086872244	4908225398117630220	23	23	10528	10528	52	130	56.92307662963867	10	JK001259-ara1	LMN20200820-ara1.completed
560	962	654	1066	-5511799060026991176	1772412992146626924	JK001259-ara1.ms001	LMN20200820-ara1.completed.ms90	69	واشهد ان لا اله الا الله وحده لا شريك له واشهد ------ان- محمدا عبده ورسوله ارسله ب--ال-هد-ي ودين ---الحق لي	واشهد ان لا اله الا الله وحده لا شريك له ونصلي علي سيدنا محمد- الذي --اعلي ا-لله به الاقدار وشرف به الموالي	1	90	-2933587653086872244	716981025381855714	20	20	26722	26722	50	108	63.88888931274414	12	JK001259-ara1	LMN20200820-ara1.completed
