begin	begin2	end	end2	gid	gid2	id	id2	matches	s1	s2	seq	seq2	uid	uid2	bw1	ew1	bw2	ew2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
528	1048	623	1169	-5511799060026991176	7635508410481802022	JK001259-ara1.ms001	Shamela0000176-ara1.completed.ms001	75	ه احمده----- علي- -جزيل- --نعمه -وجميل -ك-رمه واشهد ان لا اله الا الله وحده لا شريك له و-ا-شه-د --ا-----ن --محمدا -عبده و	ه احمده حمدا يليق بجلاله وينبغي لعظمته وكماله واشهد ان لا اله الا الله وحده لا شريك له ولا ظهير ولا معاون له فيما يريده و	1	1	-2933587653086872244	-619729244154946691	21	21	25	25	54	121	61.98347091674805	12	JK001259-ara1	Shamela0000176-ara1.completed
589	331	705	449	-5511799060026991176	7635508410481802022	JK001259-ara1.ms001	Shamela0000176-ara1.completed.ms066	91	ه -لا شريك -له واشهد ا--ن محمدا عبده ورسوله ارسله بالهدي ودين الحق ليظهره علي الدين كله ولو كره المشركون صلي الله عل--ي-ه و	ه الاخر لا اله -ا-لا الله محمد- رسول --الله ارسله بالهدي ودين الحق ليظهره علي الدين كله ولو كره المشركون علي افضل الوصيين و	1	66	-2933587653086872244	-3702639013723717264	23	23	19523	19523	69	123	73.9837417602539	13	JK001259-ara1	Shamela0000176-ara1.completed
846	736	950	866	-5511799060026991176	7635508410481802022	JK001259-ara1.ms053	Shamela0000176-ara1.completed.ms119	73	ن- اقر-ب الي--ه من- -------حبل--- -ال-وريد -وقوله -تعالي ما يكون من نجوي ثلاثة الا هو رابعهم وكل عاقل --يعلم -ا---ن المراد-- منه ال	نا امر ولا يخلو منا عصر وانا لكما قال الله سبحانه وتعالي ما يكون من نجوي ثلاثة الا هو رابعهم ولا خمسة الا هو سادسهم ولا ادني من- ذل	53	119	-8179965734131948847	-3014760032708816634	15622	15622	35428	35428	52	131	55.725189208984375	8	JK001259-ara1	Shamela0000176-ara1.completed
679	726	810	889	-5511799060026991176	7635508410481802022	JK001259-ara1.ms102	Shamela0000176-ara1.completed.ms119	77	-الي--ه من- حبل الوريد و-اذا ----سا---لك- عبادي عني --فاني --قريب ما يكون من نجوي ثلاثة الا هو رابعهم -فا---ذا جاز حمل ا--لم-عية --في --هذ-ه الايا--ت علي -المعية	لا يخرج منا امر ولا يخلو منا عصر وانا لكما قال الله سبحانه وتعالي ما يكون من نجوي ثلاثة الا هو رابعهم ولا خمسة الا هو سادسهم ولا ادني من ذلك ولا اكثر الا هو معهم	102	119	209900831202867217	-3014760032708816634	30328	30328	35437	35437	53	163	47.23926544189453	9	JK001259-ara1	Shamela0000176-ara1.completed
1326	501	1498	710	-5511799060026991176	7635508410481802022	JK001259-ara1.ms105	Shamela0000176-ara1.completed.ms090	104	ا-نا --حسن-- ان يقال -ا--نه رفعه الي درجة عالية من -تلك ال-درجة وا---نه -ي----ريه من نفسه و-من--ه قوله تعالي والسابقون السابقون اولءك المقربون و------اما ---ا--لذي --تمسكوا به عاشرا وهو ال--ا---ي-ات ال-مشتملة علي-	اتوا برهانكم ان كنتم صادقين وزعم ا-ن -ذلك -بلاغ من يريد الايمان والدخول في السابقتين المذكورين في قوله تعالي والسابقون السابقون اولءك المقربون وصنع طعاما طيبا حلوا لذيذا وجعله ع--لي قدر البنادق يطعم كل من ادي اليه	105	90	-1465801249298586511	-5791069097391263160	31232	31232	26737	26737	75	214	48.59812927246094	8	JK001259-ara1	Shamela0000176-ara1.completed
