begin	begin2	end	end2	gid	gid2	id	id2	matches	s1	s2	seq	seq2	uid	uid2	bw1	ew1	bw2	ew2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
559	465	709	637	-5511799060026991176	-5211760143430319471	JK001259-ara1.ms001	Shia001131Vols-ara1.completed.ms021	97	ه وا-------شه-د- ان -لا اله الا الله وحده لا شريك له واشهد ان محمدا عبده ورسوله ارسله بالهدي ودين الحق --ل-يظهره علي ال-دين ----كله ولو كره- -ال---مشركون صلي الله -عليه وسل--م-	ه والايمان شهادة ان الا اله الا الله وحده لا شريك له و-----ان محمدا عبده ورسوله وان الجنة حق والنار حق والبعث حق وان الساعة اتية لا ريب فيها والتصديق بانبياء الله ورسله والاءمة	1	21	-2933587653086872244	-6504084382943731545	31	31	6034	6034	70	177	54.80226135253906	14	JK001259-ara1	Shia001131Vols-ara1.completed
512	548	707	776	-5511799060026991176	-5211760143430319471	JK001259-ara1.ms001	Shia001131Vols-ara1.completed.ms105	124	ه وال-كبرياء رداءه احمده عل--ي جزيل نعم----ه وجمي--ل- -----كرمه ---واشهد ان لا اله الا الله وحده لا شريك له واشهد ان محمدا عبده ورسوله ارسله باله--دي- ودين ال----حق --ل-ي-ظهر--ه علي الد-ين كله --ول--و كره المشركو-ن صلي الله عليه وسل	ه واله انه قال اذا ا-ردت الوضوء فقل بسم الله وعلي ملة رسول الله صلع اشهد ان لا اله الا الله وحده لا شريك له واشهد ان محمدا عبده ورسوله --صلي الله عليه وعلي اله فهذا كالذي ذكرناه -من الدعاء عند دخول المخرج ليس بموقت ولا لازم وفيه فضل	1	105	-2933587653086872244	-6021101351375073522	38	38	31248	31248	89	232	53.44827651977539	15	JK001259-ara1	Shia001131Vols-ara1.completed
549	582	682	716	-5511799060026991176	-5211760143430319471	JK001259-ara1.ms001	Shia001131Vols-ara1.completed.ms153	108	وجميل كرمه واشهد ان لا اله الا الله وحده لا شريك له واشهد ان محمدا عبده ورسوله ارسله بالهدي ودين الحق ليظهره -علي الدين كله ول---و كره- ا	وزكي- فلله -اشهد ان لا -له الا الله وحده لا شريك له واشهد ان محمدا عبده ورسوله ارسله بالهدي ودين الحق -بشيرا ونذيرا بين يدي الساعة اشهد ا	1	153	-2933587653086872244	-7871429215217744015	28	28	45628	45628	81	138	78.26087188720703	19	JK001259-ara1	Shia001131Vols-ara1.completed
563	781	629	844	-5511799060026991176	-5211760143430319471	JK001259-ara1.ms001	Shia001131Vols-ara1.completed.ms196	61	شه-د- ان لا اله الا الله وحده لا شريك له واشهد ان محمدا عبده ورسوله	شهادة ان لا اله الا الله وحده لا شريك له و-----ان محمدا عبده ورسوله	1	196	-2933587653086872244	-3011402966539248526	15	15	58514	58514	47	68	89.70587921142578	13	JK001259-ara1	Shia001131Vols-ara1.completed
543	132	710	303	-5511799060026991176	-5211760143430319471	JK001259-ara1.ms001	Shia001131Vols-ara1.completed.ms237	89	ل -نع-مه -و-------جميل كرمه وا-----شه-د- ان لا اله الا الله وحده لا شريك له واشهد ان محمدا عبده ورسوله ارسله بالهدي- ودين الحق ليظهره علي الدين كله ولو كره المشرك--و-ن صلي ال-ل-ه -عليه-- --وس-لم ا	ل سبع من سوابق الاعمال فتمسكوا بهن شهادة ان لا اله الا الله ----------------و-----ان محمدا عبده ورسوله --وحب اهل بيت نبي- الله حقا من قبل القلوب لا ال-زحم بالمناكب ومفارقة القلوب والجهاد في سبيل ا	1	237	-2933587653086872244	1302118126294023824	34	34	70823	70834	65	196	45.408164978027344	11	JK001259-ara1	Shia001131Vols-ara1.completed
799	567	941	736	-5511799060026991176	-5211760143430319471	JK001259-ara1.ms001	Shia001131Vols-ara1.completed.ms239	84	قين علي ا--ن --ا--لسلطان-- ال--معظم العالم- العادل الم---جاهد -سيف الدنيا والدين سلطان الاسلام والمسلمين افضل سلاطي--ن ال-حق و-الي----قي--ن ا--با --بكر بن ايوب لا زال--ت- ر---ا-ي	قين -من امره وما يثبت عنده صلع وعلي ال-اءمة اجمعين المستحفظين امور الدنيا والدين -----والاسلام والمسلمين -ذكر -ما يفسد الصوم وما يجب علي من افسده روينا عن علي صلع قال اتي رجل الي	1	239	-2933587653086872244	-770851538972788325	24	24	71432	71432	62	178	47.191009521484375	5	JK001259-ara1	Shia001131Vols-ara1.completed
535	428	652	546	-5511799060026991176	-5211760143430319471	JK001259-ara1.ms001	Shia001131Vols-ara1.completed.ms296	80	علي -جزيل --ن-عمه وجميل- كر-مه واشهد ان لا اله الا الله وحده لا شريك له واشهد ان محمدا عبده ورسوله ا---رسل-ه بالهدي ودين- --ا-لحق	علي ع انه كان اذا برز للسفر قال اشهد ان لا اله الا الله وحد-----------ه واشهد ان محمدا عبده ورسوله الحمد لله -ال-ذي هدانا للاسلام	1	296	-2933587653086872244	-5481961432858773049	25	25	88526	88526	60	131	61.068702697753906	12	JK001259-ara1	Shia001131Vols-ara1.completed
535	1000	648	1136	-5511799060026991176	-5211760143430319471	JK001259-ara1.ms001	Shia001131Vols-ara1.completed.ms410	89	علي ---جزيل -نعمه --وجميل-- -كر---مه واشهد ان لا اله الا الله وحده لا شريك له واشهد ان محمدا عبده ورسوله -ا-رسله ---بال-ه-دي ودي---ن -ا	الي من يزعم ان مع الله الها اخرا فانا اشهد ان لا اله الا الله وحده لا شريك له واشهد ان محمدا عبده ورسوله قال علي ع ففعلتها فعوفيت من سا	1	410	-2933587653086872244	542431286524676985	24	24	122731	122731	67	136	65.44117736816406	15	JK001259-ara1	Shia001131Vols-ara1.completed
559	977	684	1110	-5511799060026991176	-5211760143430319471	JK001259-ara1.ms001	Shia001131Vols-ara1.completed.ms535	104	ه واشهد ان لا اله الا الله وحده لا شريك له واشهد ان محمدا عبده ورسوله ارسله بالهدي ودين الحق ليظهر--ه علي --الدي-ن كل--ه ولو --ك--ر-ه ال--م	ه -يشهد ان لا اله الا الله وحده لا شريك له و-----ان محمدا عبده ورسوله ارسله بالهدي ودين الحق لينذر من كان حيا ويحق القول علي الكافرين اللهم	1	535	-2933587653086872244	7342175561293758602	26	26	160227	160227	79	139	74.82014465332031	18	JK001259-ara1	Shia001131Vols-ara1.completed
497	439	700	665	-5511799060026991176	-5211760143430319471	JK001259-ara1.ms001	Shia001131Vols-ara1.completed.ms537	128	اءه -ال--عظمة ازاره --والكبريا--ء رداءه ا---حمده عل---ي ---جزيل -ن--عمه- و-جميل كرمه واشهد ان لا اله الا الله وحده لا شريك له واشهد ان محمدا عبده ورسوله -ارسله بالهدي ودين الحق --ليظهره -علي الدين- كله ول-و -كر--ه المشركون -صلي الله ع	ابي طالب لاخر ايامه من ال-دنيا وهو صاءر الي برزخ الموتي والرحيل عن الاهل والاخلاء وهو يشهد ان لا اله الا الله وحده لا شريك له و-----ان محمدا عبده ورسوله وامينه -صلوات الله عليه وعلي اله وعلي اخوانه المرسلين وذريته ال-طيبين وجزي الله ع	1	537	-2933587653086872244	4989457686793665632	39	39	160843	160843	94	234	54.70085525512695	15	JK001259-ara1	Shia001131Vols-ara1.completed
