run	alignments_in_new_total	alignments_in_old_total	average_end_difference	average_start_difference	average_start_or_end_difference	combined_in_new	end_did_not_change	ends_earlier_in_new	ends_later_in_new	evaluated_alignments_in_new	evaluated_alignments_in_old	max_end_difference	max_start_difference	median_end_difference	median_start_difference	min_end_difference	min_start_difference	not_in_new	not_in_new_plus_not_in_old	not_in_old	split_in_new	start_did_not_change	start_or_end_did_not_change	starts_earlier_in_new	starts_later_in_new
10_40_700_20_nonfl	2164	1657	71.60216718266254	-25.29876160990712	48.45046439628483	2	124	195	327	438	345	1275	495	1.0	-1.0	-495	-756	6	168	162	44	77	201	461	108
10_70_300_12_nonfl	2837	1657	128.45345345345345	-11.00900900900901	69.73123123123123	0	111	174	381	540	345	1361	959	4.0	-1.0	-495	-353	0	221	221	75	59	170	495	112
10_40_500_12_nonfl	3450	1657	138.1964809384164	-32.33724340175953	85.26686217008798	2	106	165	411	621	345	1361	363	13.5	-1.0	-475	-948	0	305	305	93	67	173	521	94
10_60_100_36_float	1860	1657	128.2173913043478	57.70471014492754	92.96105072463767	0	174	105	273	402	345	1506	901	0.0	-1.0	-1040	-100	25	155	130	73	0	174	371	181
2_30_700_28_nonfl	4770	1657	40.24193548387097	-2.095307917888563	21.168621700879765	0	126	240	316	538	345	1275	998	0.0	-1.0	-682	-756	2	548	546	31	82	208	451	149
6_70_300_28_float	1876	1657	40.36349206349206	19.084126984126986	29.72380952380952	0	273	98	259	378	345	1274	962	0.0	-1.0	-815	-255	8	133	125	24	0	273	466	164
10_60_300_28_float	2016	1657	49.00155279503105	19.743788819875775	34.37267080745342	0	273	96	275	400	345	1596	962	0.0	-1.0	-815	-255	5	149	144	27	0	273	478	166
2_70_100_28_nonfl	1864	1657	133.96842105263158	37.60877192982456	85.78859649122808	0	103	174	293	398	345	1499	959	2.0	-1.0	-1038	-120	24	137	113	70	78	181	324	168
6_70_500_36_float	1463	1657	15.791208791208792	10.327838827838828	13.05952380952381	0	263	80	203	307	345	895	653	0.0	-1.0	-998	-382	25	124	99	8	0	263	416	130
8_40_300_20_float	3822	1657	91.72448979591837	1.1326530612244898	46.42857142857143	0	264	76	346	569	345	1274	629	1.0	-1.0	-473	-270	0	360	360	63	1	265	556	129
10_50_500_28_float	2250	1657	36.21493902439025	9.685975609756097	22.950457317073173	0	278	99	279	423	345	1274	962	0.0	-1.0	-815	-382	5	195	190	26	1	279	504	151
10_60_100_20_float	2787	1657	144.83633633633633	37.54204204204204	91.1891891891892	0	226	83	357	540	345	1596	965	3.0	-1.0	-499	-100	0	200	200	90	0	226	493	173
6_60_300_20_nonfl	2342	1657	71.83383233532935	3.0164670658682633	37.42514970059881	0	124	211	333	458	345	1275	959	0.0	-1.0	-495	-300	0	173	173	45	80	204	450	138
6_30_300_28_float	4808	1657	77.32058823529412	8.589705882352941	42.955147058823535	0	266	93	321	566	345	1596	957	0.0	-1.0	-681	-255	2	527	525	53	1	267	526	153
4_50_500_28_nonfl	2095	1657	34.25471698113208	-0.8694968553459119	17.562106918238996	0	125	226	285	399	345	1275	959	0.0	-1.0	-817	-500	8	178	170	22	77	202	424	135
8_60_300_36_nonfl	1371	1657	26.023166023166024	15.115830115830116	20.56949806949807	0	121	188	209	295	345	1209	717	0.0	-1.0	-999	-300	38	128	90	17	80	201	308	130
2_40_500_12_float	14825	1657	185.99707602339183	-26.86842105263158	106.43274853801171	2	193	51	440	1203	345	1405	458	39.0	-1.0	-730	-948	0	1895	1895	127	2	195	585	97
10_40_100_28_nonfl	2053	1657	203.9644128113879	32.58185053380783	118.27313167259786	0	99	132	331	451	345	1597	663	13.5	-1.0	-521	-120	26	152	126	97	80	179	333	149
6_60_500_12_nonfl	3700	1657	130.80149253731344	-25.6955223880597	78.24850746268658	2	109	169	392	610	345	1361	959	6.5	-1.0	-475	-948	0	337	337	80	64	173	504	102
8_30_100_36_nonfl	2051	1657	236.606463878327	31.19961977186312	133.90304182509504	0	85	112	329	464	345	1597	592	22.5	-1.0	-433	-120	38	159	121	108	87	172	292	147
10_70_100_20_nonfl	2107	1657	143.34504792332268	36.16613418530351	89.7555910543131	0	109	180	337	454	345	1499	966	3.0	-1.0	-495	-120	8	132	124	81	78	187	370	178
6_30_300_28_nonfl	2349	1657	83.35396825396825	-2.107936507936508	42.73095238095238	0	117	194	319	449	345	1597	631	1.0	-1.0	-682	-300	9	210	201	51	85	202	413	132
2_50_700_12_float	16858	1657	180.06637168141592	-33.3952802359882	106.73082595870206	2	199	49	430	1256	345	1302	676	32.0	-1.0	-730	-948	0	2182	2182	119	2	201	579	97
6_40_100_28_float	3636	1657	170.4578313253012	38.24548192771084	104.35165662650603	0	214	80	370	583	345	1596	818	5.0	-1.0	-438	-100	3	342	339	104	1	215	469	194
8_30_500_36_nonfl	1475	1657	25.76235741444867	-4.469581749049429	15.115969581749049	0	121	189	216	313	345	923	650	0.0	-1.0	-359	-500	38	148	110	17	79	200	339	108
4_50_500_12_nonfl	4829	1657	134.08579881656806	-29.75887573964497	81.92233727810651	2	107	167	402	693	345	1361	636	8.5	-1.0	-475	-948	0	509	509	86	67	174	516	93
8_30_100_36_float	2984	1657	212.58957654723127	38.302931596091206	125.44625407166124	0	168	81	365	568	345	1596	662	20.0	-1.0	-438	-112	12	258	246	116	1	169	424	189
4_60_300_20_float	2807	1657	82.17210682492582	8.77893175074184	45.47551928783383	0	271	77	326	497	345	1274	962	0.0	-1.0	-499	-270	0	228	228	52	0	271	536	138
2_60_500_20_float	2957	1657	71.69881305637982	-7.946587537091988	39.8227002967359	1	279	75	320	491	345	1274	962	0.0	-1.0	-499	-948	0	247	247	45	1	280	550	123
4_30_500_36_nonfl	2021	1657	26.38047138047138	5.555555555555555	15.968013468013467	0	124	210	260	385	345	959	650	0.0	-1.0	-398	-500	18	210	192	20	86	210	375	133
4_70_700_28_float	1857	1657	40.46551724137931	6.7037617554858935	23.5846394984326	1	289	92	257	375	345	1274	962	0.0	-1.0	-681	-757	5	135	130	18	0	289	483	155
2_40_300_28_float	3326	1657	68.95223880597015	11.06268656716418	40.007462686567166	0	270	91	309	491	345	1596	629	0.0	-1.0	-681	-255	3	340	337	43	1	271	510	159
8_40_700_12_float	8892	1657	184.73245614035088	-35.59795321637427	110.16520467836257	2	193	50	441	1011	345	1405	676	39.0	-1.0	-730	-948	0	1053	1053	128	2	195	584	98
6_40_700_12_nonfl	4587	1657	137.38269794721407	-43.13343108504399	90.25806451612902	2	106	167	409	697	345	1297	653	13.0	-1.0	-475	-948	0	459	459	92	65	171	519	98
6_40_700_36_nonfl	1599	1657	11.358181818181817	1.550909090909091	6.454545454545454	0	124	205	221	324	345	717	631	0.0	-1.0	-999	-700	27	157	130	10	81	205	346	123
8_40_700_36_nonfl	1391	1657	11.42175572519084	-5.603053435114504	8.512404580152673	0	124	195	205	295	345	717	592	0.0	-1.0	-999	-700	38	137	99	10	79	203	335	110
8_50_300_28_nonfl	1814	1657	55.683673469387756	8.77891156462585	32.23129251700681	0	118	203	267	370	345	1597	959	0.0	-1.0	-817	-300	16	147	131	31	79	197	371	138
8_50_700_28_nonfl	1731	1657	40.96949152542373	-7.916949152542373	24.44322033898305	0	123	207	260	358	345	1275	959	0.0	-1.0	-682	-756	16	143	127	21	76	199	390	124
6_50_300_12_nonfl	3939	1657	139.1967455621302	-16.423076923076923	77.80991124260356	0	107	167	402	648	345	1361	636	8.5	-1.0	-398	-353	0	373	373	87	62	169	510	104
2_30_100_12_nonfl	7179	1657	205.94912790697674	-0.19040697674418605	103.06976744186046	0	94	130	464	945	345	1361	492	35.0	-1.0	-538	-120	0	837	837	140	77	171	499	112
6_60_700_28_nonfl	1745	1657	39.63079470198676	-6.223509933774834	22.927152317880797	0	123	213	268	356	345	1275	959	0.0	-1.0	-682	-756	11	130	119	18	75	198	398	131
8_60_500_12_float	6462	1657	179.05671641791045	-20.713432835820896	99.88507462686567	2	205	49	416	830	345	1366	962	28.0	-1.0	-730	-948	0	705	705	113	2	207	568	100
4_30_500_20_float	7044	1657	85.18459302325581	-16.405523255813954	50.79505813953489	1	269	69	350	682	345	1274	460	2.0	-1.0	-473	-948	0	787	787	64	3	272	578	107
6_70_700_12_float	8329	1657	170.34580838323353	-27.5374251497006	98.94161676646706	2	207	53	408	901	345	1295	962	25.0	-1.0	-730	-948	0	961	961	109	2	209	556	110
4_40_500_28_float	3238	1657	48.964285714285715	7.6101190476190474	28.28720238095238	0	280	93	299	480	345	1274	672	0.0	-1.0	-681	-382	3	343	340	33	1	281	520	151
10_70_700_36_float	1435	1657	15.228937728937728	8.027472527472527	11.628205128205128	0	267	80	199	304	345	895	636	0.0	-1.0	-998	-382	29	125	96	7	0	267	420	126
2_50_100_12_nonfl	4483	1657	187.5119760479042	8.832335329341317	98.17215568862275	0	97	144	427	720	345	1361	523	20.0	-1.0	-398	-120	0	430	430	117	70	167	467	131
10_60_300_12_float	4977	1657	179.89732142857142	-9.105654761904763	94.50148809523809	0	207	49	416	740	345	1366	962	27.0	-1.0	-319	-679	0	473	473	112	1	208	567	104
4_70_100_28_nonfl	1838	1657	134.84330985915494	37.644366197183096	86.24383802816902	0	103	172	293	393	345	1499	959	2.0	-1.0	-1038	-120	25	130	105	70	78	181	324	166
8_40_700_12_nonfl	3934	1657	137.38269794721407	-43.13343108504399	90.25806451612902	2	106	167	409	656	345	1297	653	13.0	-1.0	-475	-948	0	373	373	92	65	171	519	98
6_50_700_28_float	2262	1657	40.132218844984806	3.8267477203647418	21.979483282674774	1	284	97	277	422	345	1274	962	0.0	-1.0	-681	-948	4	199	195	25	1	285	507	150
10_50_300_36_float	1982	1657	43.74143835616438	22.458904109589042	33.10017123287671	0	258	87	239	376	345	1596	873	0.0	-1.0	-998	-255	18	191	173	25	1	259	437	146
10_40_100_36_float	2668	1657	189.9933110367893	43.792642140468224	116.89297658862876	0	168	91	339	524	345	1596	662	8.5	-1.0	-672	-100	15	227	212	103	1	169	413	184
8_70_300_28_float	1862	1657	40.859872611464965	19.156050955414013	30.00796178343949	0	273	96	259	375	345	1274	962	0.0	-1.0	-815	-255	8	129	121	24	0	273	464	164
6_70_700_20_float	2636	1657	73.97910447761194	-14.1	44.03955223880597	2	283	73	314	464	345	1274	962	0.0	-1.0	-499	-948	0	201	201	41	1	284	548	121
6_60_500_36_float	1641	1657	15.84452296819788	14.015901060070671	14.930212014134277	0	270	83	213	328	345	895	653	0.0	-1.0	-998	-382	15	138	123	9	0	270	429	137
2_70_300_28_float	1893	1657	40.36349206349206	19.084126984126986	29.72380952380952	0	273	98	259	378	345	1274	962	0.0	-1.0	-815	-255	8	134	126	24	0	273	466	164
2_30_100_20_nonfl	5972	1657	161.62898550724637	24.444927536231884	93.03695652173913	0	106	171	413	724	345	1623	966	12.5	-1.0	-538	-120	0	613	613	115	88	194	437	165
4_70_500_12_nonfl	4067	1657	124.70209580838323	-26.09131736526946	75.39670658682635	2	111	174	383	615	345	1361	959	4.0	-1.0	-495	-948	0	395	395	74	64	175	503	101
10_70_100_36_float	1600	1657	102.30725190839695	58.64503816793893	80.47614503816794	0	172	107	245	360	345	1506	1050	0.0	-1.0	-1040	-100	39	144	105	62	0	172	350	174
6_30_300_20_float	6964	1657	101.22028985507247	-2.9391304347826086	52.07971014492754	0	261	71	358	697	345	1372	629	2.0	-1.0	-473	-270	0	768	768	73	2	263	567	121
6_40_700_36_float	2403	1657	15.558544303797468	15.080696202531646	15.319620253164558	0	289	106	237	414	345	924	818	0.0	-1.0	-656	-382	4	248	244	13	1	290	477	154
10_60_100_36_nonfl	1439	1657	128.6301652892562	56.6198347107438	92.625	0	83	154	247	342	345	1485	1067	2.0	-1.0	-1038	-120	50	135	85	69	75	158	252	157
2_70_100_12_nonfl	3407	1657	170.5625	16.021341463414632	93.29192073170732	0	101	161	394	607	345	1361	959	8.5	-1.0	-495	-120	0	287	287	101	67	168	448	141
2_50_500_28_nonfl	2150	1657	33.6	-0.459375	17.0296875	0	125	230	285	406	345	1275	959	0.0	-1.0	-817	-500	7	189	182	22	77	202	426	137
8_40_100_28_nonfl	2254	1657	192.41156462585033	39.423469387755105	115.91751700680271	0	99	144	345	483	345	1597	663	11.5	-1.0	-682	-120	16	167	151	98	82	181	337	169
6_70_700_36_nonfl	1329	1657	9.638257575757576	0.10606060606060606	4.872159090909091	0	126	197	205	285	345	717	636	0.0	-1.0	-999	-700	33	118	85	6	77	203	333	118
4_50_700_12_float	12861	1657	180.06637168141592	-33.3952802359882	106.73082595870206	2	199	49	430	1135	345	1302	676	32.0	-1.0	-730	-948	0	1588	1588	119	2	201	579	97
8_50_700_12_float	7918	1657	180.06637168141592	-33.3952802359882	106.73082595870206	2	199	49	430	944	345	1302	676	32.0	-1.0	-730	-948	0	916	916	119	2	201	579	97
6_70_300_20_float	2519	1657	78.07185628742515	8.275449101796408	43.17365269461078	0	275	81	312	469	345	1274	962	0.0	-1.0	-499	-270	0	189	189	47	0	275	528	140
6_60_300_12_float	6051	1657	179.89732142857142	-9.105654761904763	94.50148809523809	0	207	49	416	790	345	1366	962	27.0	-1.0	-319	-679	0	618	618	112	1	208	567	104
4_40_300_36_float	2800	1657	53.059375	22.6578125	37.85859375	0	273	97	270	450	345	1596	818	0.0	-1.0	-656	-255	4	274	270	33	1	274	476	163
8_60_700_28_float	1972	1657	41.43672839506173	6.768518518518518	24.102623456790123	1	287	92	269	394	345	1274	962	0.0	-1.0	-681	-757	4	149	145	20	0	287	493	155
2_70_300_12_float	7639	1657	173.26567164179104	-7.7029850746268655	90.48432835820896	0	209	53	408	806	345	1366	962	22.5	-1.0	-499	-679	0	865	865	106	1	210	558	111
6_40_300_28_nonfl	2181	1657	63.13461538461539	5.8173076923076925	34.47596153846154	0	119	210	295	419	345	1597	631	0.0	-1.0	-682	-300	9	192	183	38	81	200	399	144
8_30_500_28_nonfl	1941	1657	60.827181208053695	-8.156040268456376	34.491610738255034	0	120	194	282	401	345	1370	608	0.0	-1.0	-682	-500	16	171	155	36	81	201	399	116
6_60_500_28_float	2004	1657	35.523148148148145	10.402777777777779	22.962962962962962	0	281	98	269	398	345	1274	962	0.0	-1.0	-815	-382	5	156	151	21	0	281	494	154
6_50_100_28_float	2552	1657	140.75709779179812	44.186119873817034	92.47160883280758	0	214	90	330	500	345	1596	962	3.0	-1.0	-1039	-100	8	203	195	87	1	215	440	193
2_30_300_12_nonfl	8619	1657	148.87391304347827	-22.576811594202898	85.72536231884058	0	106	159	425	941	345	1361	458	18.0	-1.0	-475	-353	0	1082	1082	103	68	174	529	93
10_40_100_20_nonfl	2552	1657	162.29783950617283	25.021604938271604	93.65972222222221	0	107	166	375	532	345	1623	966	8.0	-1.0	-495	-120	6	175	169	99	82	189	405	161
4_70_700_28_nonfl	1689	1657	38.09375	-7.534539473684211	22.814144736842106	0	127	214	267	345	345	1275	959	0.0	-1.0	-682	-756	12	116	104	16	73	200	404	131
8_40_500_20_nonfl	2497	1657	65.51339285714286	-19.867559523809526	42.69047619047619	1	127	205	340	477	345	1275	495	1.0	-1.0	-495	-645	2	212	210	45	77	204	481	114
10_30_700_36_float	2162	1657	23.53	7.753333333333333	15.641666666666667	0	270	94	236	394	345	924	629	0.0	-1.0	-398	-382	15	221	206	17	1	271	463	136
6_70_300_36_nonfl	1369	1657	23.92528735632184	19.375478927203066	21.650383141762454	0	123	186	213	292	345	1209	1028	0.0	-1.0	-999	-300	37	125	88	16	79	202	310	133
6_70_700_12_nonfl	3546	1657	123.1497005988024	-37.80988023952096	80.47979041916167	2	109	176	383	585	345	1295	959	4.0	-1.0	-495	-948	0	305	305	74	62	171	503	103
10_40_700_12_float	7650	1657	184.73245614035088	-35.59795321637427	110.16520467836257	2	193	50	441	954	345	1405	676	39.0	-1.0	-730	-948	0	873	873	128	2	195	584	98
2_60_700_36_nonfl	1535	1657	8.969534050179211	3.270609318996416	6.120071684587813	0	128	211	219	314	345	717	636	0.0	-1.0	-999	-700	21	130	109	6	82	210	348	128
10_60_500_36_nonfl	1198	1657	11.82716049382716	1.2304526748971194	6.5288065843621395	0	119	179	188	265	345	717	650	0.0	-1.0	-999	-500	50	127	77	8	73	192	311	102
2_70_700_28_nonfl	1744	1657	38.53745928338762	-6.657980456026059	22.59771986970684	0	127	218	269	353	345	1275	959	0.0	-1.0	-682	-756	10	126	116	16	73	200	406	135
8_30_700_28_nonfl	1895	1657	50.18120805369127	-13.204697986577182	31.692953020134226	0	121	200	275	393	345	1275	608	0.0	-1.0	-682	-756	16	167	151	31	81	202	399	116
10_70_300_12_float	4530	1657	173.26567164179104	-7.7029850746268655	90.48432835820896	0	209	53	408	689	345	1366	962	22.5	-1.0	-499	-679	0	410	410	106	1	210	558	111
2_50_300_12_nonfl	5998	1657	139.1967455621302	-16.423076923076923	77.80991124260356	0	107	167	402	748	345	1361	636	8.5	-1.0	-398	-353	0	670	670	87	62	169	510	104
8_50_100_12_nonfl	3586	1657	187.5119760479042	8.832335329341317	98.17215568862275	0	97	144	427	659	345	1361	523	20.0	-1.0	-398	-120	0	307	307	117	70	167	467	131
6_60_700_20_float	2872	1657	77.26112759643917	-14.565281899109792	45.91320474777448	2	281	69	324	489	345	1274	962	0.0	-1.0	-499	-948	0	236	236	45	1	282	555	118
2_50_500_20_nonfl	2962	1657	60.842182890855455	-15.657817109144542	38.25	1	127	209	342	497	345	1275	959	1.0	-1.0	-495	-645	0	270	270	40	80	207	476	122
8_50_700_20_nonfl	2356	1657	68.25451807228916	-26.44277108433735	47.348644578313255	2	127	199	338	452	345	1275	959	2.0	-1.0	-495	-756	2	193	191	40	76	203	477	111
10_50_700_20_float	3063	1657	78.13382352941177	-14.75294117647059	46.44338235294118	2	278	70	332	512	345	1274	962	0.0	-1.0	-499	-948	0	280	280	48	2	280	561	117
2_40_500_28_float	3254	1657	48.964285714285715	7.6101190476190474	28.28720238095238	0	280	93	299	480	345	1274	672	0.0	-1.0	-681	-382	3	344	341	33	1	281	520	151
4_60_500_36_nonfl	1529	1657	10.731751824817518	7.846715328467154	9.289233576642335	0	125	203	220	310	345	717	650	0.0	-1.0	-999	-500	24	131	107	8	82	207	338	128
8_60_100_36_nonfl	1561	1657	117.7431906614786	58.38715953307393	88.06517509727627	0	87	168	259	362	345	1485	1067	1.0	-1.0	-1038	-120	39	135	96	69	84	171	260	170
4_30_700_28_float	5386	1657	47.37243401759531	-1.0087976539589443	24.190615835777127	1	284	99	299	567	345	1274	672	0.0	-1.0	-681	-948	1	637	636	36	1	285	536	145
2_50_500_12_nonfl	7682	1657	134.08579881656806	-29.75887573964497	81.92233727810651	2	107	167	402	806	345	1361	636	8.5	-1.0	-475	-948	0	903	903	86	67	174	516	93
2_30_700_28_float	6138	1657	47.37243401759531	-1.0087976539589443	24.190615835777127	1	284	99	299	581	345	1274	672	0.0	-1.0	-681	-948	1	737	736	36	1	285	536	145
10_30_700_28_nonfl	1678	1657	54.03191489361702	-13.693262411347519	33.86258865248227	0	121	189	254	357	345	1275	608	0.0	-1.0	-359	-700	26	152	126	29	77	198	386	101
2_70_500_12_float	11502	1657	173.6182634730539	-19.34131736526946	96.47979041916167	2	207	53	408	978	345	1366	962	25.0	-1.0	-730	-948	0	1434	1434	109	2	209	559	107
2_50_500_28_float	2308	1657	35.753799392097264	9.645896656534955	22.69984802431611	0	278	101	279	426	345	1274	962	0.0	-1.0	-815	-382	5	205	200	26	1	279	506	151
2_50_700_20_float	3386	1657	78.13382352941177	-14.75294117647059	46.44338235294118	2	278	70	332	524	345	1274	962	0.0	-1.0	-499	-948	0	317	317	48	2	280	561	117
8_60_300_20_nonfl	2211	1657	72.790273556231	2.5972644376899696	37.693768996960486	0	124	207	327	441	345	1275	959	0.0	-1.0	-495	-300	2	154	152	45	77	201	446	135
2_30_500_12_float	17845	1657	190.25801749271136	-30.239067055393587	110.24854227405247	2	191	49	446	1370	345	1405	371	43.0	-1.0	-730	-948	0	2328	2328	135	3	194	600	83
8_70_700_28_nonfl	1551	1657	38.638888888888886	-6.684027777777778	22.661458333333332	0	125	205	246	327	345	1275	959	0.0	-1.0	-682	-756	18	114	96	16	73	198	377	126
2_30_300_36_float	3524	1657	64.32530120481928	22.908132530120483	43.61671686746988	0	267	98	299	494	345	1596	957	0.0	-1.0	-681	-255	3	368	365	44	1	268	491	172
8_70_700_28_float	1823	1657	41.08517350157729	6.790220820189274	23.937697160883282	1	287	90	257	371	345	1274	962	0.0	-1.0	-681	-757	6	127	121	18	0	287	480	154
8_40_500_36_nonfl	1429	1657	12.992366412213741	-1.0209923664122138	7.0066793893129775	0	121	195	208	299	345	717	650	0.0	-1.0	-999	-500	38	140	102	12	79	200	333	112
8_50_300_36_nonfl	1440	1657	40.675	8.976923076923077	24.825961538461538	0	119	181	220	305	345	1597	592	0.0	-1.0	-999	-300	38	135	97	23	80	199	317	123
10_40_700_20_float	3774	1657	84.30555555555556	-17.40204678362573	50.853801169590646	2	276	68	340	552	345	1274	523	0.0	-1.0	-467	-948	0	365	365	54	2	278	569	113
4_40_300_12_nonfl	5076	1657	144.46929824561403	-20.960526315789473	82.71491228070175	0	106	161	417	744	345	1361	363	15.0	-1.0	-398	-353	0	543	543	95	62	168	519	103
10_50_700_20_nonfl	2086	1657	68.85625	-23.90625	46.38125	2	124	193	323	423	345	1275	959	1.0	-1.0	-495	-756	6	157	151	40	76	200	456	108
10_70_500_28_float	1819	1657	35.517405063291136	10.549050632911392	23.033227848101262	0	281	94	257	372	345	1274	962	0.0	-1.0	-815	-382	7	128	121	19	0	281	479	153
8_30_700_12_nonfl	4205	1657	145.2274052478134	-44.690962099125365	94.95918367346938	2	106	163	417	692	345	1346	653	15.5	-1.5	-475	-948	0	413	413	99	71	177	526	89
8_50_100_28_float	2543	1657	141.56803797468353	44.25158227848101	92.90981012658227	0	214	88	330	497	345	1596	962	3.0	-1.0	-1039	-100	8	200	192	87	1	215	440	191
4_50_100_20_nonfl	2919	1657	145.01501501501502	33.81981981981982	89.41741741741743	0	110	183	373	550	345	1623	966	3.0	-1.0	-495	-120	1	228	227	91	84	194	403	179
4_50_500_12_float	10673	1657	182.31710914454277	-25.70206489675516	104.00958702064896	2	197	49	432	1038	345	1366	454	33.0	-1.0	-730	-948	0	1289	1289	120	2	199	584	92
2_60_300_20_nonfl	2592	1657	71.83383233532935	3.0164670658682633	37.42514970059881	0	124	211	333	471	345	1275	959	0.0	-1.0	-495	-300	0	201	201	45	80	204	450	138
6_30_700_28_nonfl	2196	1657	46.72698412698413	-11.634920634920634	29.18095238095238	0	122	212	296	424	345	1275	631	0.0	-1.0	-682	-756	9	204	195	31	82	204	424	124
10_40_300_36_float	2248	1657	56.874581939799334	17.043478260869566	36.95903010033445	0	256	85	257	407	345	1596	629	0.0	-1.0	-656	-255	15	218	203	32	1	257	454	143
10_70_500_20_nonfl	1915	1657	61.37697160883281	-13.317034700315457	37.34700315457413	1	124	201	309	397	345	1275	959	0.0	-1.0	-495	-645	6	131	125	35	75	199	440	119
8_40_100_20_float	3995	1657	162.69590643274853	27.960526315789473	95.328216374269	0	217	74	393	639	345	1628	965	11.0	-1.0	-502	-112	0	344	344	109	1	218	522	161
2_60_700_28_float	2024	1657	40.828220858895705	6.684049079754601	23.756134969325153	1	289	94	269	398	345	1274	962	0.0	-1.0	-681	-757	3	159	156	20	0	289	496	156
10_60_700_36_float	1601	1657	14.109929078014185	10.551418439716311	12.330673758865249	0	274	83	207	323	345	895	636	0.0	-1.0	-998	-382	21	141	120	7	0	274	433	131
6_60_700_36_float	1617	1657	14.210526315789474	11.001754385964912	12.606140350877194	0	278	83	209	327	345	895	636	0.0	-1.0	-998	-382	15	137	122	7	0	278	435	135
6_40_500_36_nonfl	1640	1657	14.049090909090909	5.916363636363636	9.982727272727272	0	121	203	226	329	345	717	650	0.0	-1.0	-999	-500	27	160	133	13	81	202	344	125
6_50_700_36_nonfl	1541	1657	10.313186813186814	1.3003663003663004	5.8067765567765575	0	124	205	217	315	345	717	631	0.0	-1.0	-999	-700	27	147	120	8	80	204	344	122
10_40_100_20_float	3973	1657	162.69590643274853	27.960526315789473	95.328216374269	0	217	74	393	639	345	1628	965	11.0	-1.0	-502	-112	0	341	341	109	1	218	522	161
10_70_100_12_nonfl	2799	1657	170.5625	16.021341463414632	93.29192073170732	0	101	161	394	568	345	1361	959	8.5	-1.0	-495	-120	1	204	203	101	67	168	448	141
4_40_300_28_float	3312	1657	68.95223880597015	11.06268656716418	40.007462686567166	0	270	91	309	491	345	1596	629	0.0	-1.0	-681	-255	3	339	336	43	1	271	510	159
2_60_100_36_nonfl	1755	1657	109.95925925925926	62.55925925925926	86.25925925925925	0	87	176	277	386	345	1485	1067	2.0	0.0	-1038	-120	27	145	118	69	88	175	266	186
6_60_100_36_nonfl	1707	1657	112.07330827067669	62.48684210526316	87.28007518796993	0	87	174	271	379	345	1485	1067	2.0	0.0	-1038	-120	31	143	112	69	86	173	264	182
10_50_700_28_float	2226	1657	40.60670731707317	3.8490853658536586	22.227896341463417	1	284	95	277	419	345	1274	962	0.0	-1.0	-681	-948	4	191	187	25	1	285	505	150
4_40_500_12_float	11952	1657	185.99707602339183	-26.86842105263158	106.43274853801171	2	193	51	440	1116	345	1405	458	39.0	-1.0	-730	-948	0	1465	1465	127	2	195	585	97
2_40_300_20_float	3967	1657	91.72448979591837	1.1326530612244898	46.42857142857143	0	264	76	346	574	345	1274	629	1.0	-1.0	-473	-270	0	377	377	63	1	265	556	129
8_70_300_20_float	2495	1657	78.07185628742515	8.275449101796408	43.17365269461078	0	275	81	312	468	345	1274	962	0.0	-1.0	-499	-270	0	186	186	47	0	275	528	140
2_30_500_20_nonfl	5706	1657	67.65988372093024	-21.44622093023256	44.5530523255814	1	125	205	358	620	345	1275	495	2.0	-1.0	-475	-645	0	630	630	51	83	208	493	112
4_50_700_28_nonfl	2073	1657	37.437106918238996	-6.940251572327044	22.18867924528302	0	126	224	286	396	345	1275	959	0.0	-1.0	-682	-756	8	177	169	21	77	203	426	133
2_40_700_28_nonfl	2761	1657	41.13981762917933	-4.764437689969605	22.95212765957447	0	128	230	300	449	345	1275	631	0.0	-1.0	-682	-756	3	278	275	25	78	206	435	145
2_70_300_36_nonfl	1417	1657	23.986842105263158	18.590225563909776	21.288533834586467	0	125	188	219	299	345	1209	1028	0.0	-1.0	-999	-300	34	125	91	16	81	206	317	134
4_30_300_12_nonfl	6313	1657	148.87391304347827	-22.576811594202898	85.72536231884058	0	106	159	425	841	345	1361	458	18.0	-1.0	-475	-353	0	740	740	103	68	174	529	93
6_70_500_12_float	7081	1657	173.6182634730539	-19.34131736526946	96.47979041916167	2	207	53	408	829	345	1366	962	25.0	-1.0	-730	-948	0	794	794	109	2	209	559	107
6_50_100_28_nonfl	2291	1657	150.64686468646866	42.51155115511551	96.57920792079209	0	102	174	330	466	345	1597	959	3.0	-1.0	-1038	-120	14	179	165	84	82	184	345	179
6_50_500_28_nonfl	1985	1657	34.842443729903536	-0.8713826366559485	17.856913183279744	0	123	221	278	388	345	1275	959	0.0	-1.0	-817	-500	9	168	159	22	77	200	413	132
10_30_500_36_float	2214	1657	29.843333333333334	8.003333333333334	18.923333333333332	0	260	92	248	402	345	924	653	0.0	-1.0	-398	-382	15	225	210	23	1	261	463	136
8_40_700_20_nonfl	2475	1657	70.90746268656716	-27.762686567164177	49.33507462686567	2	127	201	342	471	345	1275	495	2.0	-1.0	-495	-756	2	208	206	44	77	204	482	111
2_50_500_36_nonfl	1817	1657	8.296875	6.494791666666667	7.395833333333334	0	124	220	232	347	345	717	650	0.0	-1.0	-999	-500	15	169	154	10	83	207	361	132
8_40_100_12_float	5948	1657	226.10058309037902	5.313411078717201	115.7069970845481	0	180	41	465	882	345	1405	523	50.0	-1.0	-467	-114	0	605	605	153	1	181	573	112
