run,alignments_in_new_total,alignments_in_old_total,average_end_difference,average_start_difference,average_start_or_end_difference,combined_in_new,end_did_not_change,ends_earlier_in_new,ends_later_in_new,evaluated_alignments_in_new,evaluated_alignments_in_old,max_end_difference,max_start_difference,median_end_difference,median_start_difference,min_end_difference,min_start_difference,not_in_new,not_in_new_plus_not_in_old,not_in_old,split_in_new,start_did_not_change,start_or_end_did_not_change,starts_earlier_in_new,starts_later_in_new,score
2_60_500_28_float,2030,1657,35.52314814814815,10.402777777777779,22.962962962962962,0,281,98,269,398,345,1274,962,0.0,-1.0,-815,-382,5,160,155,21,0,281,494,154,20.0
8_60_500_20_nonfl,2184,1657,60.98176291793313,-15.37386018237082,38.17781155015198,1,127,207,324,432,345,1275,959,0.0,-1.0,-495,-645,2,156,154,36,75,202,464,119,20.0
6_60_300_28_float,2043,1657,48.492260061919495,19.671826625387002,34.08204334365325,0,273,98,275,403,345,1596,962,0.0,-1.0,-815,-255,5,154,149,27,0,273,480,166,20.0
4_60_300_28_float,2056,1657,48.492260061919495,19.671826625387002,34.08204334365325,0,273,98,275,403,345,1596,962,0.0,-1.0,-815,-255,5,156,151,27,0,273,480,166,20.0
8_60_500_28_float,1986,1657,35.990712074303396,10.445820433436532,23.218266253869967,0,281,96,269,395,345,1274,962,0.0,-1.0,-815,-382,5,151,146,21,0,281,492,154,20.0
4_50_300_28_float,2341,1657,51.713414634146346,15.201219512195122,33.45731707317073,0,270,101,285,434,345,1596,962,0.0,-1.0,-815,-255,5,200,195,33,1,271,494,161,20.0
2_70_700_28_float,1870,1657,40.46551724137932,6.7037617554858935,23.584639498432605,1,289,92,257,375,345,1274,962,0.0,-1.0,-681,-757,5,136,131,18,0,289,483,155,20.0
10_60_500_28_float,1972,1657,35.990712074303396,10.445820433436532,23.218266253869967,0,281,96,269,395,345,1274,962,0.0,-1.0,-815,-382,5,150,145,21,0,281,492,154,20.0
8_60_300_28_float,2028,1657,49.00155279503105,19.743788819875775,34.372670807453424,0,273,96,275,400,345,1596,962,0.0,-1.0,-815,-255,5,150,145,27,0,273,478,166,20.0
2_50_300_28_float,2349,1657,51.713414634146346,15.201219512195122,33.45731707317073,0,270,101,285,434,345,1596,962,0.0,-1.0,-815,-255,5,200,195,33,1,271,494,161,20.0
8_60_700_20_nonfl,2172,1657,66.75379939209725,-24.90577507598784,45.829787234042556,2,127,203,328,428,345,1275,959,0.0,-1.0,-495,-756,2,152,150,36,75,202,469,114,20.0
2_60_300_28_float,2064,1657,48.492260061919495,19.671826625387002,34.08204334365325,0,273,98,275,403,345,1596,962,0.0,-1.0,-815,-255,5,156,151,27,0,273,480,166,20.0
6_50_500_28_float,2282,1657,35.753799392097264,9.645896656534957,22.69984802431611,0,278,101,279,426,345,1274,962,0.0,-1.0,-815,-382,5,201,196,26,1,279,506,151,20.0
8_70_700_20_nonfl,2039,1657,65.33384146341463,-24.257621951219512,44.79573170731707,2,127,203,326,413,345,1275,959,0.0,-1.0,-495,-756,2,136,134,35,75,202,464,117,20.0
10_70_700_28_float,1810,1657,41.08517350157729,6.7902208201892735,23.937697160883285,1,287,90,257,371,345,1274,962,0.0,-1.0,-681,-757,6,126,120,18,0,287,480,154,30.0
8_70_700_28_float,1823,1657,41.08517350157729,6.7902208201892735,23.937697160883285,1,287,90,257,371,345,1274,962,0.0,-1.0,-681,-757,6,127,121,18,0,287,480,154,30.0
6_70_700_28_float,1844,1657,40.592767295597476,6.7578616352201255,23.675314465408807,1,287,92,257,374,345,1274,962,0.0,-1.0,-681,-757,6,134,128,18,0,287,482,154,30.0
8_60_300_20_nonfl,2211,1657,72.790273556231,2.5972644376899696,37.69376899696049,0,124,207,327,441,345,1275,959,0.0,-1.0,-495,-300,2,154,152,45,77,201,446,135,30.0
6_70_500_28_float,1849,1657,35.0410094637224,10.50473186119874,22.77287066246057,0,281,96,257,375,345,1274,962,0.0,-1.0,-815,-382,7,134,127,19,0,281,481,153,40.0
2_40_700_36_nonfl,2347,1657,5.659163987138264,6.07556270096463,5.867363344051447,0,128,240,254,401,345,717,631,0.0,-1.0,-999,-700,7,245,238,10,86,214,389,147,40.0
2_70_500_28_float,1871,1657,35.0410094637224,10.50473186119874,22.77287066246057,0,281,96,257,375,345,1274,962,0.0,-1.0,-815,-382,7,137,130,19,0,281,481,153,40.0
2_50_700_28_nonfl,2134,1657,37.86760124610592,-6.1074766355140175,21.98753894080997,0,126,228,288,404,345,1275,959,0.0,-1.0,-682,-756,6,188,182,21,77,203,428,137,40.0
8_70_500_28_float,1832,1657,35.517405063291136,10.549050632911392,23.03322784810127,0,281,94,257,372,345,1274,962,0.0,-1.0,-815,-382,7,129,122,19,0,281,479,153,40.0
4_70_500_28_float,1860,1657,35.0410094637224,10.50473186119874,22.77287066246057,0,281,96,257,375,345,1274,962,0.0,-1.0,-815,-382,7,136,129,19,0,281,481,153,40.0
2_40_500_36_nonfl,2390,1657,7.220257234726688,9.935691318327974,8.577974276527332,0,125,238,259,406,345,717,650,0.0,-1.0,-999,-500,7,248,241,13,86,211,387,149,40.0
10_70_500_28_float,1819,1657,35.517405063291136,10.549050632911392,23.03322784810127,0,281,94,257,372,345,1274,962,0.0,-1.0,-815,-382,7,128,121,19,0,281,479,153,40.0
8_70_300_28_float,1862,1657,40.859872611464965,19.15605095541401,30.007961783439487,0,273,96,259,375,345,1274,962,0.0,-1.0,-815,-255,8,129,121,24,0,273,464,164,50.0
2_70_300_28_float,1893,1657,40.36349206349207,19.084126984126986,29.723809523809518,0,273,98,259,378,345,1274,962,0.0,-1.0,-815,-255,8,134,126,24,0,273,466,164,50.0
6_70_300_28_float,1876,1657,40.36349206349207,19.084126984126986,29.723809523809518,0,273,98,259,378,345,1274,962,0.0,-1.0,-815,-255,8,133,125,24,0,273,466,164,50.0
10_70_300_28_float,1851,1657,40.859872611464965,19.15605095541401,30.007961783439487,0,273,96,259,375,345,1274,962,0.0,-1.0,-815,-255,8,128,120,24,0,273,464,164,50.0
8_50_700_20_nonfl,2356,1657,68.25451807228916,-26.442771084337355,47.348644578313255,2,127,199,338,452,345,1275,959,2.0,-1.0,-495,-756,2,193,191,40,76,203,477,111,50.0
4_70_300_28_float,1885,1657,40.36349206349207,19.084126984126986,29.723809523809518,0,273,98,259,378,345,1274,962,0.0,-1.0,-815,-255,8,134,126,24,0,273,466,164,50.0
2_40_300_36_nonfl,2484,1657,42.467637540453076,17.360841423948223,29.914239482200646,0,122,216,280,423,345,1597,631,0.0,-1.0,-999,-300,9,252,243,29,88,210,374,156,60.0
10_40_700_20_nonfl,2164,1657,71.60216718266254,-25.29876160990712,48.45046439628483,2,124,195,327,438,345,1275,495,1.0,-1.0,-495,-756,6,168,162,44,77,201,461,108,60.0
10_40_500_20_nonfl,2186,1657,68.85339506172839,-18.492283950617285,43.67283950617285,1,124,197,327,444,345,1275,495,1.0,-1.0,-495,-645,6,172,166,45,77,201,460,111,60.0
2_50_500_28_nonfl,2150,1657,33.6,-0.459375,17.0296875,0,125,230,285,406,345,1275,959,0.0,-1.0,-817,-500,7,189,182,22,77,202,426,137,60.0
6_30_700_28_nonfl,2196,1657,46.72698412698413,-11.634920634920634,29.180952380952377,0,122,212,296,424,345,1275,631,0.0,-1.0,-682,-756,9,204,195,31,82,204,424,124,60.0
4_50_700_28_nonfl,2073,1657,37.437106918239,-6.940251572327044,22.188679245283016,0,126,224,286,396,345,1275,959,0.0,-1.0,-682,-756,8,177,169,21,77,203,426,133,60.0
10_50_500_20_nonfl,2105,1657,64.44704049844236,-15.713395638629287,40.08021806853582,1,124,197,321,428,345,1275,959,0.5,-1.0,-495,-645,6,161,155,40,76,200,453,113,70.0
4_50_500_28_nonfl,2095,1657,34.25471698113208,-0.8694968553459119,17.562106918238996,0,125,226,285,399,345,1275,959,0.0,-1.0,-817,-500,8,178,170,22,77,202,424,135,70.0
10_50_700_20_nonfl,2086,1657,68.85625,-23.90625,46.38125,2,124,193,323,423,345,1275,959,1.0,-1.0,-495,-756,6,157,151,40,76,200,456,108,70.0
2_50_300_28_nonfl,2190,1657,49.14733542319749,8.899686520376175,29.023510971786838,0,121,224,293,415,345,1597,959,0.0,-1.0,-817,-300,7,187,180,31,80,201,409,149,70.0
10_70_300_20_nonfl,1939,1657,69.71924290220821,1.6198738170347002,35.669558359621455,0,123,203,308,405,345,1275,959,0.0,-1.0,-495,-300,6,130,124,42,77,200,425,132,70.0
6_30_500_28_nonfl,2246,1657,56.798412698412704,-6.8587301587301575,31.82857142857143,0,121,206,303,432,345,1370,631,0.0,-1.0,-682,-500,9,209,200,36,82,203,424,124,70.0
10_60_700_20_nonfl,2002,1657,67.3044164037855,-22.28706624605678,44.79574132492114,2,124,197,313,405,345,1275,959,0.0,-1.0,-495,-756,6,139,133,36,75,199,448,111,80.0
10_70_700_20_nonfl,1907,1657,65.83227848101266,-21.60601265822785,43.719145569620245,2,124,197,311,393,345,1275,959,0.0,-1.0,-495,-756,6,128,122,35,75,199,443,114,80.0
