run	alignments_in_new_total	alignments_in_old_total	average_end_difference	average_start_difference	average_start_or_end_difference	combined_in_new	end_did_not_change	ends_earlier_in_new	ends_later_in_new	max_end_difference	max_start_difference	median_end_difference	median_start_difference	min_end_difference	min_start_difference	not_in_new	not_in_new_plus_not_in_old	not_in_old	split_in_new	start_did_not_change	start_or_end_did_not_change	starts_earlier_in_new	starts_later_in_new
4_60_500_28_float	2019	1657	43.287694388100064	2.364097363083164	22.825895875591613	2	953	527	1478	1280	962	0.0	-1.0	-815	-519	69	476	407	117	17	970	2247	694
8_70_500_20_nonfl	2043	1657	66.70211360634082	-14.18943894389439	40.4457762751176	6	416	882	1730	1275	959	4.0	-1.0	-1109	-746	42	369	327	178	354	770	2074	602
8_30_700_36_float	2307	1657	41.51720430107527	8.460931899641578	24.989068100358423	12	889	533	1368	1385	901	0.0	-1.0	-661	-822	91	865	774	126	15	904	2032	743
10_30_300_28_nonfl	1814	1657	97.62926249008723	-5.401665344964314	51.51546391752577	0	347	664	1511	1597	806	9.0	-1.0	-657	-320	183	445	262	246	316	663	1680	526
2_30_700_20_nonfl	5739	1657	87.748	-26.768142681426813	57.25807134071341	15	404	868	1978	1383	963	11.0	-2.5	-513	-821	0	3766	3766	290	377	781	2291	584
6_60_300_20_float	2765	1657	84.03930817610063	-0.820125786163522	42.429716981132074	3	945	456	1779	1288	962	7.0	-1.0	-804	-883	12	862	850	274	15	960	2511	654
10_40_500_20_nonfl	2186	1657	79.51414141414142	-19.476446837146703	49.495294125644065	6	401	805	1764	1275	806	8.0	-1.0	-513	-746	64	474	410	242	349	750	2082	541
6_50_300_36_float	1997	1657	52.4603115727003	21.26446587537092	36.86238872403561	0	831	519	1346	1596	957	0.0	-1.0	-998	-319	115	600	485	153	15	846	1927	754
10_40_300_20_float	3777	1657	95.72738461538462	-4.765846153846154	50.24661538461539	3	922	437	1891	1288	805	13.0	-1.0	-625	-883	4	1725	1721	348	19	941	2595	636
8_50_500_28_float	2264	1657	47.53156480859637	1.8186702484889188	24.675117528542646	2	939	525	1514	1280	962	2.0	-1.0	-815	-519	63	678	615	140	16	955	2275	687
6_40_300_28_float	3297	1657	68.0203488372093	8.919896640826874	38.47012273901809	2	887	541	1668	1596	805	3.0	-1.0	-712	-553	30	1506	1476	236	18	905	2322	756
6_50_700_12_float	9719	1657	177.15888137676706	-39.999078057775044	108.57897971727105	13	672	282	2300	1494	845	61.0	-1.0	-847	-1162	1	7181	7180	640	25	697	2743	486
4_40_300_20_nonfl	3349	1657	81.17757875231625	-7.883570105003089	44.53057442865967	2	403	920	1915	1336	969	9.0	-1.0	-806	-546	7	1390	1383	288	367	770	2231	640
4_60_500_12_float	9737	1657	166.3179581795818	-28.800123001230013	97.55904059040591	7	713	297	2242	1494	962	54.0	-1.0	-757	-1008	1	7293	7292	588	26	739	2734	492
10_30_100_20_nonfl	2786	1657	168.10973982655102	14.130420280186792	91.12008005336891	0	300	677	2021	1623	966	34.0	-1.0	-539	-149	62	548	486	561	325	625	1909	764
4_50_100_36_nonfl	2111	1657	96.97086247086247	58.683372183372185	77.82711732711732	0	238	938	1398	1597	1211	3.0	0.0	-1415	-120	144	555	411	333	304	542	1247	1023
4_30_100_28_nonfl	3494	1657	163.1026991441738	28.569453587886766	95.83607636603028	0	252	795	1991	1597	806	30.0	-1.0	-768	-130	46	1219	1173	570	343	595	1739	956
4_60_500_28_nonfl	1839	1657	41.107697740113	-2.635593220338983	21.87164548022599	2	403	938	1491	1275	960	2.0	-1.0	-817	-520	96	402	306	106	341	744	1833	658
2_40_500_20_nonfl	3546	1657	73.82697044334975	-19.016923076923078	46.421946760136414	6	416	902	1930	1275	806	8.5	-2.0	-561	-746	3	1632	1629	244	369	785	2278	603
6_40_500_20_float	3880	1657	87.32114320835895	-14.02027027027027	50.67070673931461	5	949	420	1885	1280	805	11.0	-1.0	-561	-948	3	1882	1879	304	20	969	2631	605
10_30_100_36_nonfl	1875	1657	207.56150234741784	28.149295774647886	117.85539906103287	0	202	471	1457	1597	806	41.0	-1.0	-713	-120	299	433	134	451	265	467	1178	687
2_30_300_36_nonfl	2737	1657	76.21833910034601	13.793425605536331	45.00588235294117	0	352	917	1621	1597	899	4.0	-1.0	-713	-320	76	1092	1016	244	371	723	1722	797
10_40_300_36_nonfl	1365	1657	77.8746465598492	8.146088595664468	43.01036757775683	0	314	623	1185	1597	884	4.0	-1.0	-999	-320	299	414	115	169	284	598	1311	527
6_40_300_12_nonfl	4404	1657	141.64880587875078	-23.9213104715248	82.78505817513779	5	355	672	2239	1588	776	39.0	-4.0	-517	-443	2	2050	2048	528	313	668	2476	477
8_70_700_12_float	6730	1657	164.126400996264	-36.83302180685358	100.4797114015588	13	711	315	2186	1494	962	50.0	-1.0	-847	-1162	1	4374	4373	545	25	736	2660	525
6_60_100_20_float	2812	1657	123.2864077669903	32.47766990291262	77.88203883495146	0	792	513	1785	1596	965	12.0	-1.0	-895	-152	31	749	718	423	19	811	2141	930
6_30_300_36_float	2653	1657	78.36526533425224	16.201240523776704	47.28325292901447	2	833	514	1555	1596	901	3.0	-1.0	-712	-553	70	993	923	249	17	850	2091	794
8_70_100_20_float	2513	1657	111.45490454246215	35.53982883475971	73.49736668861092	0	794	537	1707	1506	965	8.0	-1.0	-1110	-119	40	554	514	377	19	813	2077	942
10_50_700_36_nonfl	1207	1657	37.69460500963391	-0.9527938342967245	19.32369942196532	10	344	677	1055	1388	806	2.0	-1.0	-999	-720	300	399	99	63	281	625	1296	499
8_60_700_36_float	1611	1657	29.817498020585905	8.919239904988123	19.368368962787013	12	879	476	1171	1385	957	0.0	-1.0	-1108	-822	154	438	284	61	15	894	1830	681
6_30_300_12_nonfl	5111	1657	150.25866261398176	-26.20212765957447	88.23039513677811	5	347	642	2301	1588	776	43.0	-4.0	-505	-654	1	2663	2662	577	323	670	2526	441
2_70_500_12_nonfl	6547	1657	125.4292364990689	-33.55803848541279	79.49363749224085	9	367	741	2114	1490	959	26.0	-4.0	-495	-1005	3	4422	4419	404	299	666	2415	508
2_40_500_36_nonfl	2390	1657	29.229681978798588	10.059717314487633	19.64469964664311	1	381	1016	1433	1388	899	1.5	-1.0	-999	-520	83	936	853	111	365	746	1693	772
4_70_300_20_float	2555	1657	78.06893265565438	0.25984752223634056	39.16439008894536	3	949	469	1730	1288	962	5.5	-1.0	-1108	-883	15	712	697	246	14	963	2467	667
8_70_700_20_float	2582	1657	82.12713472485768	-15.939633375474083	49.033384050165886	13	961	436	1765	1280	962	6.0	-1.0	-513	-948	9	754	745	221	19	980	2509	636
10_50_300_36_nonfl	1300	1657	59.674407582938386	13.677251184834123	36.67582938388625	0	323	664	1123	1597	1211	2.0	-1.0	-999	-320	299	402	103	134	277	600	1291	542
4_60_100_36_nonfl	1741	1657	76.40722082283796	66.48866498740554	71.44794290512175	0	233	898	1251	1487	1211	2.0	0.0	-1114	-120	200	436	236	262	278	511	1139	965
6_40_100_28_nonfl	2534	1657	134.76863023420867	37.02235628105039	85.89549325762954	0	253	844	1721	1597	899	16.0	-1.0	-890	-120	96	634	538	437	316	569	1566	936
4_70_300_36_nonfl	1398	1657	32.96103896103896	21.45974025974026	27.210389610389612	0	350	790	1170	1388	1211	1.5	-1.0	-1109	-320	231	378	147	93	307	657	1365	638
10_50_300_28_nonfl	1626	1657	68.83426517571885	4.436900958466453	36.635583067092654	0	356	749	1399	1597	960	3.0	-1.0	-817	-320	183	370	187	168	305	661	1622	577
8_50_300_12_nonfl	3576	1657	135.29722222222222	-21.261419753086418	78.27932098765432	5	357	696	2187	1588	960	34.0	-4.0	-517	-443	5	1319	1314	482	306	663	2436	498
2_30_100_12_float	9935	1657	217.82019405700424	-0.04790782292298363	108.93405093996361	2	600	225	2473	1590	683	76.0	-1.0	-530	-160	1	6918	6917	845	26	626	2719	553
8_40_300_12_nonfl	3876	1657	141.63228974831185	-24.027624309392266	82.82995702885205	5	355	672	2231	1588	776	38.0	-4.0	-517	-443	4	1529	1525	527	313	668	2470	475
4_30_700_20_nonfl	4838	1657	87.77541589648798	-27.029864532019705	57.40264021425384	15	404	868	1974	1383	963	11.0	-2.5	-513	-821	2	2869	2867	290	377	781	2289	582
2_40_700_12_float	18356	1657	182.6834862385321	-41.03211009174312	111.85779816513761	13	660	275	2335	1494	845	66.0	-1.0	-847	-1162	0	15718	15718	680	25	685	2784	461
4_60_300_20_nonfl	2489	1657	74.78136882129277	-4.431558935361217	39.60646387832699	2	408	928	1820	1336	969	7.0	-1.0	-806	-546	17	658	641	235	359	767	2148	649
8_30_700_20_nonfl	2628	1657	90.6422077922078	-27.992212848799483	59.31721032050364	15	396	809	1875	1383	963	11.0	-2.0	-513	-821	30	771	741	289	366	762	2178	538
10_30_100_12_nonfl	3947	1657	186.7231430325353	-0.5276243093922652	93.62538367096377	3	297	590	2371	1588	806	54.0	-1.0	-538	-209	7	1238	1231	709	328	625	2319	611
2_70_700_36_float	1458	1657	30.03027823240589	7.513502454991817	18.771890343698853	12	858	446	1140	1385	957	0.0	-1.0	-1108	-822	177	355	178	55	12	870	1788	644
8_50_300_12_float	6143	1657	175.04136029411765	-16.497242647058822	95.76930147058823	4	696	268	2300	1590	776	61.0	-1.0	-457	-775	0	3595	3595	637	23	719	2749	492
4_70_500_12_float	9061	1657	160.17399380804954	-27.195046439628484	93.68452012383901	7	730	309	2191	1494	962	49.0	-1.0	-757	-1008	2	6700	6698	545	25	755	2690	515
6_60_300_36_float	1693	1657	45.254901960784316	23.417254901960785	34.33607843137255	0	823	476	1251	1385	1144	0.0	-1.0	-1108	-319	155	444	289	125	13	836	1820	717
4_70_700_36_float	1454	1657	30.299425758818703	7.257178014766202	18.778301886792452	12	858	442	1138	1385	957	0.0	-1.0	-1108	-822	178	355	177	55	12	870	1784	642
8_50_500_28_nonfl	1760	1657	47.47218045112782	-6.090977443609023	26.78157894736842	2	385	849	1426	1275	960	2.0	-1.0	-817	-520	137	429	292	122	327	712	1736	597
6_70_100_12_nonfl	3055	1657	138.5804487179487	16.75224358974359	77.66634615384615	3	327	785	2008	1490	960	23.0	-1.0	-600	-209	20	875	855	464	285	612	2047	788
6_50_300_20_float	3114	1657	91.27213216957605	-2.135286783042394	46.70370947630922	3	931	439	1838	1288	962	10.0	-1.0	-625	-883	8	1147	1139	306	16	947	2544	648
8_60_500_36_nonfl	1328	1657	27.09433962264151	4.26774483378257	15.68104222821204	1	357	769	1100	1388	960	0.0	-1.0	-1109	-520	254	403	149	63	294	651	1373	559
2_60_700_36_float	1625	1657	28.971394984326018	9.031347962382446	19.001371473354233	12	885	485	1182	1385	957	0.0	-1.0	-1108	-822	146	431	285	61	15	900	1847	690
8_30_300_20_float	6846	1657	110.42188449848024	-8.072948328267477	59.247416413373855	3	898	405	1987	1383	805	18.0	-1.0	-625	-883	1	4685	4684	415	20	918	2657	613
4_50_100_12_nonfl	4076	1657	160.54226675015656	9.160613650594865	84.8514402003757	3	313	699	2182	1588	960	36.0	-1.0	-699	-209	10	1665	1655	575	307	620	2169	718
8_30_500_12_nonfl	4194	1657	147.58943833943835	-39.39316239316239	93.49130036630036	9	348	647	2281	1490	506	41.0	-4.0	-486	-1005	1	1787	1786	556	326	674	2530	420
6_30_700_36_nonfl	1650	1657	43.28176567656766	-1.155115511551155	22.218440594059405	11	358	785	1281	1388	806	2.0	-1.0	-713	-726	194	513	319	107	316	674	1501	607
2_70_500_36_float	1471	1657	26.078647106764468	11.678076609616951	18.878361858190708	1	856	459	1139	1385	957	0.0	-1.0	-1108	-519	182	364	182	59	12	868	1800	642
4_30_500_28_float	5449	1657	59.53714107365793	-1.3274032459425718	30.43227215980025	4	947	566	1691	1383	805	3.0	-1.0	-889	-588	12	3590	3578	230	17	964	2472	715
6_70_700_36_float	1450	1657	30.44650205761317	7.401646090534979	18.924074074074074	12	856	439	1135	1385	957	0.0	-1.0	-1108	-822	180	357	177	55	12	868	1778	640
6_60_100_28_nonfl	1986	1657	104.91457858769931	45.278663629460894	75.09662110858011	0	268	876	1490	1499	1336	6.0	-1.0	-1157	-120	140	413	273	323	291	559	1423	920
2_70_500_20_nonfl	2464	1657	64.85732323232324	-15.253627760252366	40.055475496287805	6	419	932	1817	1275	959	5.0	-1.0	-1109	-746	11	689	678	178	364	783	2179	627
10_40_100_12_float	5724	1657	200.59386503067483	5.030981595092024	102.81242331288342	2	635	282	2343	1590	691	64.0	-1.0	-530	-160	3	2908	2905	755	25	660	2619	616
4_40_100_28_nonfl	3076	1657	124.7706081081081	39.163513513513514	81.9670608108108	0	262	929	1769	1597	899	13.0	-1.0	-890	-120	57	1066	1009	437	322	584	1637	1001
2_50_100_28_float	2560	1657	109.25154639175258	42.13917525773196	75.69536082474227	0	681	607	1622	1596	962	8.0	-1.0	-1155	-119	81	691	610	381	20	701	1931	959
6_30_700_12_float	13275	1657	192.1929181929182	-43.03449328449329	117.61370573870575	13	640	259	2377	1494	845	71.0	-1.0	-847	-1162	0	10525	10525	734	26	666	2825	425
10_30_100_20_float	6696	1657	170.83647990255787	17.218940316686968	94.02771010962242	0	713	373	2198	1628	805	42.0	-1.0	-895	-174	2	4125	4123	652	26	739	2417	841
4_50_700_36_float	1894	1657	30.886516853932584	8.816104868913857	19.851310861423222	12	900	521	1249	1385	957	0.0	-1.0	-998	-822	112	587	475	76	15	915	1935	720
8_30_700_20_float	6765	1657	101.26378676470588	-20.810049019607842	61.036917892156865	13	915	399	1950	1383	683	16.0	-1.0	-513	-948	0	4692	4692	356	21	936	2661	582
8_40_100_36_float	2814	1657	140.89212207239177	45.95031937544358	93.42122072391767	0	574	618	1626	1596	1131	15.0	-1.0	-930	-119	91	854	763	467	23	597	1755	1040
2_50_500_12_float	13377	1657	173.44036697247705	-30.729357798165136	102.08486238532109	7	689	273	2308	1494	836	60.0	-1.0	-757	-1008	1	10831	10830	640	25	714	2773	472
6_30_100_20_nonfl	3698	1657	155.2599502487562	17.69402985074627	86.47699004975124	0	312	776	2128	1623	966	30.0	-1.0	-888	-149	10	1280	1270	580	341	653	2014	861
8_70_500_36_float	1456	1657	26.927924217462934	11.58978583196046	19.258855024711696	1	850	450	1128	1385	957	0.0	-1.0	-1108	-519	194	374	180	59	12	862	1783	633
8_50_300_20_nonfl	2411	1657	80.91291585127202	-5.378995433789954	43.145955642530986	2	401	869	1796	1336	969	8.0	-1.0	-806	-546	36	612	576	258	355	756	2100	611
8_60_700_12_float	7219	1657	170.1326530612245	-38.21768707482993	104.17517006802721	13	694	306	2234	1494	962	55.0	-1.0	-847	-1162	1	4780	4779	589	26	720	2704	504
8_30_100_28_nonfl	2509	1657	185.34272997032642	22.126483679525222	103.73460682492582	0	231	622	1843	1597	806	39.0	-1.0	-768	-130	134	523	389	541	325	556	1579	792
4_40_300_12_float	9264	1657	181.12172854534387	-18.139683505782106	99.63070602556299	4	684	259	2343	1590	683	65.0	-1.0	-529	-775	0	6604	6604	681	24	708	2792	470
4_40_700_36_nonfl	1904	1657	32.41284403669725	2.810015290519878	17.611429663608565	10	378	894	1344	1388	806	2.0	-1.0	-999	-821	139	633	494	92	349	727	1578	689
