run	alignments_in_new_total	alignments_in_old_total	average_end_difference	average_start_difference	average_start_or_end_difference	combined_in_new	end_did_not_change	ends_earlier_in_new	ends_later_in_new	max_end_difference	max_start_difference	median_end_difference	median_start_difference	min_end_difference	min_start_difference	not_in_new	not_in_new_plus_not_in_old	not_in_old	split_in_new	start_did_not_change	start_or_end_did_not_change	starts_earlier_in_new	starts_later_in_new
10_60_100_36_float	1860	1657	87.12267206477733	62.86234817813765	74.99251012145749	0	567	655	1248	1506	1203	2.0	-1.0	-1116	-119	175	459	284	284	14	581	1492	964
2_30_700_28_nonfl	4770	1657	47.23150510204081	-7.440369897959184	27.3359375	12	411	1017	1708	1275	998	3.0	-1.0	-1079	-821	20	3020	3000	174	374	785	2042	720
6_70_300_28_float	1876	1657	52.49755415793152	12.42417889587701	32.46086652690426	0	884	510	1468	1280	962	3.0	-1.0	-1108	-319	85	366	281	150	13	897	2139	710
10_60_300_28_float	2016	1657	58.07295251204405	12.062973158981418	35.06796283551273	0	888	513	1505	1596	962	3.0	-1.0	-815	-319	82	460	378	165	14	902	2171	721
2_70_100_28_nonfl	1864	1657	89.41145038167939	46.65496183206107	68.03320610687022	0	273	905	1442	1499	1336	3.0	-1.0	-1157	-120	144	360	216	284	289	562	1414	917
6_70_500_36_float	1463	1657	26.470491803278687	11.590573770491803	19.030532786885246	1	854	452	1134	1385	957	0.0	-1.0	-1108	-519	187	368	181	59	12	866	1790	638
8_40_300_20_float	3822	1657	95.72738461538462	-4.765846153846154	50.24661538461539	3	922	437	1891	1288	805	13.0	-1.0	-625	-883	4	1770	1766	348	19	941	2595	636
10_50_500_28_float	2250	1657	47.86234817813765	1.8890013495276654	24.87567476383266	2	937	521	1506	1280	962	2.0	-1.0	-815	-519	66	674	608	140	16	953	2264	684
10_60_100_20_float	2787	1657	123.2864077669903	32.47766990291262	77.88203883495146	0	792	513	1785	1596	965	12.0	-1.0	-895	-152	31	724	693	423	19	811	2141	930
6_60_300_20_nonfl	2342	1657	75.66720051249199	-4.389814221652787	40.028507367072386	2	407	913	1802	1336	969	6.5	-1.0	-806	-546	23	534	511	235	358	765	2123	641
6_30_300_28_float	4808	1657	87.18290383406662	2.6690760527969832	44.9259899434318	2	877	515	1790	1596	957	8.0	-1.0	-681	-553	19	2858	2839	317	18	895	2440	724
4_50_500_28_nonfl	2095	1657	42.741391184573004	-3.3415977961432506	23.041494490358126	2	404	956	1544	1275	960	2.0	-1.0	-817	-520	78	583	505	122	350	754	1889	665
8_60_300_36_nonfl	1371	1657	39.83692722371968	20.08939802336029	29.963162623539983	0	335	758	1133	1388	1211	2.0	-1.0	-1109	-320	257	407	150	104	291	626	1323	612
2_40_500_12_float	14825	1657	179.14029214850882	-31.29032258064516	105.21530736457699	7	679	261	2346	1494	836	65.0	-1.0	-757	-1008	0	12180	12180	679	25	704	2807	454
10_40_100_28_nonfl	2053	1657	159.96934713375796	31.78980891719745	95.87957802547771	0	239	652	1621	1597	851	24.0	-1.0	-890	-120	183	400	217	430	287	526	1436	789
6_60_500_12_nonfl	3700	1657	130.47708978328174	-34.808049535603715	82.64256965944273	9	363	716	2151	1490	959	30.0	-4.0	-486	-1005	5	1524	1519	439	300	663	2441	489
8_30_100_36_nonfl	2051	1657	200.7739244951712	29.843722563652328	115.30882352941177	0	209	516	1553	1597	806	40.0	-1.0	-713	-120	254	464	210	474	291	500	1233	754
10_70_100_20_nonfl	2107	1657	107.73272854152128	34.32030704815073	71.02651779483601	0	323	890	1653	1499	966	8.0	-1.0	-1113	-120	89	328	239	343	293	616	1669	904
