,run,score,min-match,min-align,gap,ngrams,ngram-type
542,2_70_100_12_nonfl,12605,2,70,100,12,nonfl
354,2_70_100_20_float,1580,2,70,100,20,float
305,2_70_100_20_nonfl,750,2,70,100,20,nonfl
85,2_70_100_28_float,80,2,70,100,28,float
247,2_70_100_28_nonfl,440,2,70,100,28,nonfl
286,2_70_100_36_float,670,2,70,100,36,float
297,2_70_100_36_nonfl,710,2,70,100,36,nonfl
737,2_70_300_12_float,58685,2,70,300,12,float
644,2_70_300_12_nonfl,28250,2,70,300,12,nonfl
332,2_70_300_20_float,1240,2,70,300,20,float
1,2_70_300_20_nonfl,0,2,70,300,20,nonfl
63,2_70_300_28_float,50,2,70,300,28,float
155,2_70_300_28_nonfl,150,2,70,300,28,nonfl
218,2_70_300_36_float,300,2,70,300,36,float
328,2_70_300_36_nonfl,1160,2,70,300,36,nonfl
779,2_70_500_12_float,100780,2,70,500,12,float
695,2_70_500_12_nonfl,45880,2,70,500,12,nonfl
380,2_70_500_20_float,2380,2,70,500,20,float
2,2_70_500_20_nonfl,0,2,70,500,20,nonfl
56,2_70_500_28_float,40,2,70,500,28,float
136,2_70_500_28_nonfl,130,2,70,500,28,nonfl
261,2_70_500_36_float,510,2,70,500,36,float
339,2_70_500_36_nonfl,1370,2,70,500,36,nonfl
791,2_70_700_12_float,137140,2,70,700,12,float
739,2_70_700_12_nonfl,60140,2,70,700,12,nonfl
408,2_70_700_20_float,3450,2,70,700,20,float
254,2_70_700_20_nonfl,490,2,70,700,20,nonfl
42,2_70_700_28_float,20,2,70,700,28,float
114,2_70_700_28_nonfl,110,2,70,700,28,nonfl
278,2_70_700_36_float,620,2,70,700,36,float
346,2_70_700_36_nonfl,1460,2,70,700,36,nonfl
764,4_30_100_12_float,82155,4,30,100,12,float
696,4_30_100_12_nonfl,46040,4,30,100,12,nonfl
731,4_30_100_20_float,55800,4,30,100,20,float
657,4_30_100_20_nonfl,32885,4,30,100,20,nonfl
689,4_30_100_28_float,41970,4,30,100,28,float
548,4_30_100_28_nonfl,13400,4,30,100,28,nonfl
545,4_30_100_36_float,13170,4,30,100,36,float
419,4_30_100_36_nonfl,3780,4,30,100,36,nonfl
783,4_30_300_12_float,109380,4,30,300,12,float
697,4_30_300_12_nonfl,46380,4,30,300,12,nonfl
716,4_30_300_20_float,50620,4,30,300,20,float
643,4_30_300_20_nonfl,27210,4,30,300,20,nonfl
664,4_30_300_28_float,33800,4,30,300,28,float
452,4_30_300_28_nonfl,5830,4,30,300,28,nonfl
439,4_30_300_36_float,5050,4,30,300,36,float
149,4_30_300_36_nonfl,150,4,30,300,36,nonfl
793,4_30_500_12_float,138780,4,30,500,12,float
708,4_30_500_12_nonfl,49165,4,30,500,12,nonfl
713,4_30_500_20_float,50080,4,30,500,20,float
638,4_30_500_20_nonfl,26200,4,30,500,20,nonfl
654,4_30_500_28_float,32030,4,30,500,28,float
429,4_30_500_28_nonfl,4410,4,30,500,28,nonfl
403,4_30_500_36_float,3230,4,30,500,36,float
148,4_30_500_36_nonfl,150,4,30,500,36,nonfl
796,4_30_700_12_float,163160,4,30,700,12,float
720,4_30_700_12_nonfl,51515,4,30,700,12,nonfl
714,4_30_700_20_float,50240,4,30,700,20,float
637,4_30_700_20_nonfl,25880,4,30,700,20,nonfl
652,4_30_700_28_float,31200,4,30,700,28,float
418,4_30_700_28_nonfl,3730,4,30,700,28,nonfl
391,4_30_700_36_float,2710,4,30,700,36,float
158,4_30_700_36_nonfl,150,4,30,700,36,nonfl
715,4_40_100_12_float,50560,4,40,100,12,float
648,4_40_100_12_nonfl,29840,4,40,100,12,nonfl
606,4_40_100_20_float,19480,4,40,100,20,float
553,4_40_100_20_nonfl,13750,4,40,100,20,nonfl
557,4_40_100_28_float,14110,4,40,100,28,float
484,4_40_100_28_nonfl,7850,4,40,100,28,nonfl
516,4_40_100_36_float,9780,4,40,100,36,float
340,4_40_100_36_nonfl,1375,4,40,100,36,nonfl
760,4_40_300_12_float,78800,4,40,300,12,float
655,4_40_300_12_nonfl,32100,4,40,300,12,nonfl
585,4_40_300_20_float,16690,4,40,300,20,float
522,4_40_300_20_nonfl,10130,4,40,300,20,nonfl
504,4_40_300_28_float,8940,4,40,300,28,float
385,4_40_300_28_nonfl,2540,4,40,300,28,nonfl
397,4_40_300_36_float,3010,4,40,300,36,float
161,4_40_300_36_nonfl,150,4,40,300,36,nonfl
782,4_40_500_12_float,108270,4,40,500,12,float
667,4_40_500_12_nonfl,35495,4,40,500,12,nonfl
587,4_40_500_20_float,16860,4,40,500,20,float
517,4_40_500_20_nonfl,9800,4,40,500,20,nonfl
486,4_40_500_28_float,7980,4,40,500,28,float
362,4_40_500_28_nonfl,1730,4,40,500,28,nonfl
369,4_40_500_36_float,1960,4,40,500,36,float
159,4_40_500_36_nonfl,150,4,40,500,36,nonfl
790,4_40_700_12_float,132280,4,40,700,12,float
675,4_40_700_12_nonfl,38000,4,40,700,12,nonfl
590,4_40_700_20_float,17410,4,40,700,20,float
513,4_40_700_20_nonfl,9770,4,40,700,20,nonfl
477,4_40_700_28_float,7580,4,40,700,28,float
341,4_40_700_28_nonfl,1400,4,40,700,28,nonfl
348,4_40_700_36_float,1500,4,40,700,36,float
154,4_40_700_36_nonfl,150,4,40,700,36,nonfl
674,4_50_100_12_float,36495,4,50,100,12,float
613,4_50_100_12_nonfl,21280,4,50,100,12,nonfl
520,4_50_100_20_float,9890,4,50,100,20,float
459,4_50_100_20_nonfl,6290,4,50,100,20,nonfl
355,4_50_100_28_float,1640,4,50,100,28,float
304,4_50_100_28_nonfl,750,4,50,100,28,nonfl
301,4_50_100_36_float,730,4,50,100,36,float
246,4_50_100_36_nonfl,440,4,50,100,36,nonfl
744,4_50_300_12_float,64760,4,50,300,12,float
628,4_50_300_12_nonfl,24665,4,50,300,12,nonfl
489,4_50_300_20_float,8160,4,50,300,20,float
413,4_50_300_20_nonfl,3640,4,50,300,20,nonfl
41,4_50_300_28_float,20,4,50,300,28,float
83,4_50_300_28_nonfl,80,4,50,300,28,nonfl
116,4_50_300_36_float,110,4,50,300,36,float
151,4_50_300_36_nonfl,150,4,50,300,36,nonfl
774,4_50_500_12_float,93820,4,50,500,12,float
645,4_50_500_12_nonfl,28485,4,50,500,12,nonfl
497,4_50_500_20_float,8570,4,50,500,20,float
409,4_50_500_20_nonfl,3510,4,50,500,20,nonfl
25,4_50_500_28_float,20,4,50,500,28,float
75,4_50_500_28_nonfl,70,4,50,500,28,nonfl
97,4_50_500_36_float,90,4,50,500,36,float
152,4_50_500_36_nonfl,150,4,50,500,36,nonfl
786,4_50_700_12_float,117610,4,50,700,12,float
651,4_50_700_12_nonfl,31100,4,50,700,12,nonfl
507,4_50_700_20_float,9270,4,50,700,20,float
412,4_50_700_20_nonfl,3640,4,50,700,20,nonfl
12,4_50_700_28_float,0,4,50,700,28,float
73,4_50_700_28_nonfl,60,4,50,700,28,nonfl
105,4_50_700_36_float,90,4,50,700,36,float
156,4_50_700_36_nonfl,150,4,50,700,36,nonfl
642,4_60_100_12_float,26640,4,60,100,12,float
564,4_60_100_12_nonfl,14865,4,60,100,12,nonfl
441,4_60_100_20_float,5130,4,60,100,20,float
376,4_60_100_20_nonfl,2220,4,60,100,20,nonfl
203,4_60_100_28_float,250,4,60,100,28,float
236,4_60_100_28_nonfl,360,4,60,100,28,nonfl
259,4_60_100_36_float,510,4,60,100,36,float
268,4_60_100_36_nonfl,540,4,60,100,36,nonfl
727,4_60_300_12_float,54160,4,60,300,12,float
