,run,score,min-match,min-align,gap,ngrams,ngram-type
572,8_30_500_28_float,15540,8,30,500,28,float
164,8_30_500_28_nonfl,160,8,30,500,28,nonfl
96,8_30_500_36_float,90,8,30,500,36,float
281,8_30_500_36_nonfl,640,8,30,500,36,nonfl
778,8_30_700_12_float,100120,8,30,700,12,float
619,8_30_700_12_nonfl,22265,8,30,700,12,nonfl
701,8_30_700_20_float,47010,8,30,700,20,float
372,8_30_700_20_nonfl,2040,8,30,700,20,nonfl
562,8_30_700_28_float,14820,8,30,700,28,float
145,8_30_700_28_nonfl,150,8,30,700,28,nonfl
102,8_30_700_36_float,90,8,30,700,36,float
318,8_30_700_36_nonfl,1020,8,30,700,36,nonfl
692,8_40_100_12_float,43800,8,40,100,12,float
610,8_40_100_12_nonfl,20680,8,40,100,12,nonfl
600,8_40_100_20_float,18790,8,40,100,20,float
454,8_40_100_20_nonfl,5935,8,40,100,20,nonfl
554,8_40_100_28_float,13845,8,40,100,28,float
322,8_40_100_28_nonfl,1085,8,40,100,28,nonfl
443,8_40_100_36_float,5325,8,40,100,36,float
306,8_40_100_36_nonfl,765,8,40,100,36,nonfl
730,8_40_300_12_float,55790,8,40,300,12,float
595,8_40_300_12_nonfl,18500,8,40,300,12,nonfl
574,8_40_300_20_float,15600,8,40,300,20,float
334,8_40_300_20_nonfl,1320,8,40,300,20,nonfl
496,8_40_300_28_float,8550,8,40,300,28,float
179,8_40_300_28_nonfl,190,8,40,300,28,nonfl
101,8_40_300_36_float,90,8,40,300,36,float
240,8_40_300_36_nonfl,400,8,40,300,36,nonfl
747,8_40_500_12_float,67090,8,40,500,12,float
596,8_40_500_12_nonfl,18545,8,40,500,12,nonfl
568,8_40_500_20_float,15370,8,40,500,20,float
269,8_40_500_20_nonfl,540,8,40,500,20,nonfl
475,8_40_500_28_float,7530,8,40,500,28,float
176,8_40_500_28_nonfl,180,8,40,500,28,nonfl
100,8_40_500_36_float,90,8,40,500,36,float
324,8_40_500_36_nonfl,1120,8,40,500,36,nonfl
758,8_40_700_12_float,75570,8,40,700,12,float
601,8_40_700_12_nonfl,18870,8,40,700,12,nonfl
569,8_40_700_20_float,15460,8,40,700,20,float
243,8_40_700_20_nonfl,420,8,40,700,20,nonfl
467,8_40_700_28_float,7050,8,40,700,28,float
170,8_40_700_28_nonfl,170,8,40,700,28,nonfl
93,8_40_700_36_float,90,8,40,700,36,float
351,8_40_700_36_nonfl,1550,8,40,700,36,nonfl
653,8_50_100_12_float,31445,8,50,100,12,float
573,8_50_100_12_nonfl,15560,8,50,100,12,nonfl
510,8_50_100_20_float,9390,8,50,100,20,float
402,8_50_100_20_nonfl,3210,8,50,100,20,nonfl
343,8_50_100_28_float,1420,8,50,100,28,float
239,8_50_100_28_nonfl,400,8,50,100,28,nonfl
298,8_50_100_36_float,710,8,50,100,36,float
293,8_50_100_36_nonfl,690,8,50,100,36,nonfl
694,8_50_300_12_float,44450,8,50,300,12,float
559,8_50_300_12_nonfl,14585,8,50,300,12,nonfl
471,8_50_300_20_float,7270,8,50,300,20,float
233,8_50_300_20_nonfl,360,8,50,300,20,nonfl
28,8_50_300_28_float,20,8,50,300,28,float
185,8_50_300_28_nonfl,200,8,50,300,28,nonfl
142,8_50_300_36_float,140,8,50,300,36,float
